Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-06-08,28,29.2,28,28.1,743881
2006-06-09,28.6,29.1,27.9,28,313743
2006-06-12,28,28,26.5,27.1,126761
2006-06-13,26,26.6,26,26.4,123850
2006-06-14,26.5,27.1,26.5,27,14665
2006-06-16,27.6,28.3,27.6,28,56367
2006-06-19,28.3,28.3,27.5,27.9,6996
2006-06-20,27.8,28.1,27.5,28,14260
2006-06-21,28,28.1,27.9,28,14537
2006-06-22,28.1,28.2,27.9,27.9,39794
2006-06-23,28,28,27.8,28,21602
2006-06-26,28.1,28.1,27.9,28,11441
2006-06-27,27.2,28.2,27.2,28.1,19896
2006-06-28,28.1,28.1,27.5,28,21626
2006-06-29,28,28,28,28,7816
2006-06-30,28,28.1,28,28,6635
2006-07-03,28,28,27.5,28,1655
2006-07-04,28,28.1,27.6,28,8037
2006-07-05,28,28,27.8,28,31018
2006-07-06,28,28,27.5,27.9,9611
2006-07-07,27.9,28,27.7,28,1091
2006-07-10,27.8,27.8,27.6,27.8,2087
2006-07-11,27.6,27.6,27.5,27.5,501
2006-07-12,27.6,28,27.6,27.6,1168
2006-07-13,27.6,27.8,27.5,27.6,342
2006-07-14,27.2,27.9,27.2,27.8,5011
2006-07-17,27.8,28.2,27.7,28,107212
2006-07-18,28,28.1,27.9,27.9,33582
2006-07-19,27.9,28,27.2,28,7011
2006-07-20,28,28,27.7,27.8,5020
2006-07-21,27.4,28,27.4,28,1530
2006-07-24,27.9,28.2,27.9,28.1,29030
2006-07-25,28,28.3,28,28.3,23177
2006-07-26,28.3,29,28.2,29,16808
2006-07-27,29.1,31.2,29.1,30,40041
2006-07-28,30.4,30.4,29.1,30.2,9717
2006-07-31,30,30.5,29.8,30.1,19729
2006-08-01,30,30.1,29,30,61385
2006-08-02,30.1,30.2,29.5,30,24275
2006-08-03,30.5,31.4,29.6,29.8,42729
2006-08-04,30.2,31,30.2,31,34191
2006-08-07,31.4,31.9,31,31.8,27334
2006-08-08,31.9,32,31.5,31.8,10564
2006-08-09,31.5,32.5,31.5,32.3,17703
2006-08-10,32.1,32.4,31.4,31.8,6466
2006-08-11,31.5,31.9,31.4,31.6,8640
2006-08-14,31.6,32.1,30.1,31.8,4244
2006-08-16,32,32,31.3,31.9,9566
2006-08-17,31.5,31.5,31,31.2,4330
2006-08-18,31.8,31.8,31,31.3,10436
2006-08-21,30.6,31.2,30.2,31,19170
2006-08-22,30.7,31.7,30.7,31.7,10376
2006-08-23,30.8,31.3,30.7,31.3,17356
2006-08-24,31,31,30.7,31,15365
2006-08-25,30.6,31.3,30.6,30.8,12918
2006-08-28,31,31,30.4,31,5359
2006-08-29,31,31.3,30.6,31,4198
2006-08-30,31,31.1,31,31.1,8037
2006-08-31,31.3,31.3,31,31.2,4486
2006-09-01,31,31,30.6,31,6851
2006-09-04,31.15,31.15,30.21,30.75,4235
2006-09-05,30.3,31,30.3,31,2232
2006-09-06,30.99,31,30.55,31,3419
2006-09-07,30.8,31.1,30.69,31,5875
2006-09-08,31,31.9,31,31.6,10525
2006-09-11,31.6,31.6,31,31.2,1731
2006-09-12,31.5,33,31.13,32.49,10501
2006-09-13,32.99,32.99,32.05,32.55,3355
2006-09-14,32.5,32.5,32.4,32.4,578
2006-09-15,32.55,32.9,32.15,32.3,405
2006-09-18,32.15,32.15,32.12,32.12,832
2006-09-19,32.1,32.1,32,32,9933
2006-09-20,32.1,32.9,32,32.88,4312
2006-09-21,32.97,32.97,32.4,32.7,2083
2006-09-22,32.1,32.38,31.9,32.38,799
2006-09-25,32,32.2,31.8,32.1,2194
2006-09-26,32.1,32.65,32,32.65,6443
2006-09-27,32.1,32.1,32,32,9100
2006-09-28,31.6,32.01,31.52,32,4894
2006-09-29,32.09,32.45,31.4,32,2918
2006-10-02,31.9,32.2,31.9,32.2,2965
2006-10-03,32.5,32.5,31,32.18,7580
2006-10-04,32,32.2,32,32,2584
2006-10-05,32,32.2,31.55,31.8,3550
2006-10-06,31.95,31.95,31.5,31.9,6307
2006-10-09,31.3,32.18,31.2,32.18,2113
2006-10-10,32.1,32.69,32.1,32.68,9241
2006-10-11,32.68,32.69,32.4,32.4,5620
2006-10-12,32.49,32.5,31.8,32.5,25853
2006-10-13,32.5,33.4,32.5,33.1,26813
2006-10-16,33.1,33.5,32.93,33.4,7417
2006-10-17,33.25,35.5,33.25,34.25,63903
2006-10-18,34.01,34.88,34,34,5749
2006-10-19,34.3,34.3,33.8,34.25,2084
2006-10-20,34,34.3,33.7,33.7,5996
2006-10-23,34.49,34.5,33.55,34.47,85640
2006-10-24,34,34.47,33.56,34.47,2221
2006-10-25,34.1,34.25,34,34.25,9309
2006-10-26,33.9,34.65,33.6,34.64,33236
2006-10-27,34.63,34.65,34.35,34.55,7761
2006-10-30,35,35.4,34.5,35.09,10797
2006-10-31,35,35.5,34.95,35.01,16972
2006-11-02,33.61,35.6,33.61,35.6,48458
2006-11-03,35.6,36.25,35,36.17,6248
2006-11-06,36.5,36.5,35.5,35.5,4732
2006-11-07,35.85,35.85,35.5,35.5,54947
2006-11-08,35.8,35.8,35.5,35.5,42847
2006-11-09,35.6,36,35.6,35.8,6878
2006-11-10,35.97,35.99,35.8,35.98,4784
2006-11-13,36.2,36.2,36,36.19,3375
2006-11-14,36.2,36.2,35.7,36.19,12851
2006-11-15,36,36.2,36,36.2,24090
2006-11-16,36.2,37.1,36,37.1,39057
2006-11-17,37.8,37.8,36,36.5,11287
2006-11-20,36.1,37.5,36.1,37.5,2299
2006-11-21,38.5,38.95,38.21,38.9,42268
2006-11-22,39.5,39.7,39.5,39.7,55859
2006-11-23,39.89,42.5,39.8,41.8,11468
2006-11-24,43,43.6,41.2,42.7,166557
2006-11-27,43.5,43.5,42.8,42.8,25856
2006-11-28,43,43,42,43,3870
2006-11-29,42.95,43.25,42.4,43,26208
2006-11-30,42.95,44.4,42.95,44.4,8356
2006-12-01,45,45.4,44.4,45,3373
2006-12-04,45.5,45.5,44.5,45,17440
2006-12-05,43.62,45.9,43.62,45.9,22819
2006-12-06,46.85,47.5,45.25,47,2170
2006-12-07,48,49.5,48,49,31690
2006-12-08,49,50.6,48.49,50,15141
2006-12-11,52.45,52.45,50.25,51.2,10081
2006-12-12,53.2,57.9,51.2,51.3,21477
2006-12-13,50.3,51.9,46.3,50,13637
2006-12-14,48.25,48.99,46.53,47,19341
2006-12-15,45,45.99,40.56,44.5,39371
2006-12-18,43.3,45.99,43.3,45.35,10405
2006-12-19,45.5,45.5,43.51,43.51,5986
2006-12-20,43,44.5,43,43.9,38426
2006-12-21,43.05,45,43.05,45,5456
2006-12-22,45.4,45.55,44.2,45,14434
2006-12-27,45.65,48,45.6,47,7043
2006-12-28,47.8,48.73,47,48,17164
2006-12-29,46.75,50,45,50,44377
2007-01-02,49.75,50.2,49.5,49.6,2237
2007-01-03,49.1,49.6,47.52,47.52,7927
2007-01-04,47.4,47.4,45,45.2,2267
2007-01-05,43.66,45.52,43.66,45,24338
2007-01-08,45,46.99,44.11,45.8,14254
2007-01-09,46.68,46.68,45.1,45.9,1024
2007-01-10,46.45,46.45,45.26,45.5,6446
2007-01-11,45.5,46,45.05,45.4,1528
2007-01-12,46,47,45.07,47,107124
2007-01-15,47,48.4,47,48.39,5912
2007-01-16,48.5,48.99,47.66,48.2,2388
2007-01-17,47.35,48.5,46.8,48.5,7399
2007-01-18,49.4,49.89,47.3,49.89,15167
2007-01-19,49.9,49.9,48.3,48.3,2556
2007-01-22,48.3,48.35,47.01,47.38,2680
2007-01-23,48.2,49.49,47,47.3,3407
2007-01-24,47.13,48.5,47.13,47.59,3616
2007-01-25,47.99,48,45.99,47,8789
2007-01-26,46.4,47.48,45.9,47.39,2303
2007-01-29,47.39,47.9,47,47.22,14029
2007-01-30,47.15,48.15,47.1,48,4680
2007-01-31,48.5,51.65,48.5,50.5,45544
2007-02-01,52.1,53.5,52.1,52.7,22661
2007-02-02,53,53,51.2,53,27824
2007-02-05,53,56.4,53,55.3,18913
2007-02-06,56,56.4,55.1,55.85,7764
2007-02-07,55.5,55.75,55.1,55.7,4823
2007-02-08,55,55,52.5,54.1,23661
2007-02-09,52.15,55.5,52.15,54,20629
2007-02-12,53.1,53.1,52.95,53.05,3224
2007-02-13,52.2,54.2,52.2,54.2,1651
2007-02-14,55.95,55.95,54.5,55,64115
2007-02-15,55.5,55.95,53.8,54.45,85291
2007-02-16,53.1,55,53.1,54.6,6390
2007-02-19,55,55.1,53.95,54.85,617
2007-02-20,54.2,54.85,53.05,53.3,3281
2007-02-21,53.3,54.3,53.3,53.35,1823
2007-02-22,53.3,53.95,53.3,53.8,1016
2007-02-23,53.8,53.8,52.5,53.35,2056
2007-02-26,53.45,53.45,51.25,51.55,3410
2007-02-27,52,52,48.5,49.24,9388
2007-02-28,49,50,48,50,111931
2007-03-01,50,51.5,49,49,61610
2007-03-02,50,50,49,49,12644
2007-03-05,48.74,48.8,47,48.8,7291
2007-03-06,48.8,49.5,48.8,49.5,2645
2007-03-07,49,49.99,49,49.99,801
2007-03-08,49.99,51.45,49.12,51.45,915
2007-03-09,51.45,51.45,50,50.3,49921
2007-03-12,51,51,49,49.99,51985
2007-03-13,49,49.95,49,49.1,1843
2007-03-14,49,49.09,48.05,49,1415
2007-03-15,49.2,50,48.53,50,61014
2007-03-16,48.82,50.5,48.82,50,20626
2007-03-19,49.6,49.6,48.6,49.1,3682
2007-03-20,49.84,50.5,49.5,50.5,1541
2007-03-21,50.9,51,50,51,106623
2007-03-22,51.3,52.45,50.5,50.8,5005
2007-03-23,51.1,51.5,50.8,51.5,1562
2007-03-26,51.1,51.35,49.75,50.4,5745
2007-03-27,50.1,51,49.8,50.8,5652
2007-03-28,50.5,50.95,49.9,50.8,23523
2007-03-29,50.5,51.6,50.5,50.9,2168
2007-03-30,51,55,51,53.15,8235
2007-04-02,54.8,54.8,52,52,11237
2007-04-03,53.7,54.8,53.2,54.75,9708
2007-04-04,54.8,58,54.8,57.9,9262
2007-04-05,59,61.5,58.5,61,12833
2007-04-10,62.15,63,59,63,13887
2007-04-11,64,66.25,63.2,66.25,8860
2007-04-12,68.5,68.5,60,64.5,8488
2007-04-13,65.5,67,63.05,67,10844
2007-04-16,66,68,66,66.5,62761
2007-04-17,65.4,66,63,65.6,1846
2007-04-18,64,65,62.1,65,25550
2007-04-19,62.4,65,62.3,65,3557
2007-04-20,65,65.2,64.4,64.4,1893
2007-04-23,65,65,62.05,62.55,4600
2007-04-24,67.1,67.1,63,63.3,9816
2007-04-25,66.1,66.1,64.5,65,4304
2007-04-26,67.35,69,67.35,69,16998
2007-04-27,68.9,70.95,68.9,70.7,6385
2007-04-30,70.95,70.95,69,70.9,2992
2007-05-02,68.15,71,68.15,69.9,2711
2007-05-04,70.2,70.2,68.3,70,1951
2007-05-07,68.3,68.65,66,68.5,1361
2007-05-08,69,69,67.15,67.15,1520
2007-05-09,68.6,68.6,64,66.95,22475
2007-05-10,66.9,66.9,64.45,65,8126
2007-05-11,65,65,61,63.6,4550
2007-05-14,65,65,63.6,65,1167
2007-05-15,65.1,66,63.75,66,36885
2007-05-16,64.05,65.9,64.05,65.5,1078
2007-05-17,65,66.9,65,66.9,876
2007-05-18,68.45,68.45,65.35,66.5,1312
2007-05-21,68.3,68.3,67,67.1,41900
2007-05-22,68,68.25,67.1,67.1,1566
2007-05-23,67.5,67.5,66.1,67,1630
2007-05-24,67,67,63,66.5,1159
2007-05-25,65.95,67.4,63.9,65,7017
2007-05-28,65.5,66.9,65.5,66.2,529
2007-05-29,67.2,67.2,66.3,66.5,1967
2007-05-30,66.8,66.8,64,66,1916
2007-05-31,65.1,66,65.1,66,811
2007-06-01,66.5,67,65.05,67,3038
2007-06-04,65.15,67,64.65,66.6,2425
2007-06-05,63,65,63,65,13883
2007-06-06,63.55,64.85,63,64.8,164
2007-06-08,63,63.5,62.3,63.3,15576
2007-06-11,64,65,63.05,65,4138
2007-06-12,65,66.3,65,66.25,2916
2007-06-13,64.05,67.45,64,67.15,1869
2007-06-14,67,67,65.7,66,1726
2007-06-15,68.1,69.7,67.35,68.1,2490
2007-06-18,69.7,76,69.1,74,41010
2007-06-19,74,78.5,74,75.5,7040
2007-06-20,76,77,74,75.6,5250
2007-06-21,77,77,74,75.5,1271
2007-06-22,75,75.45,72.5,72.9,3318
2007-06-25,71.1,73.5,68.65,73.5,3324
2007-06-26,72.5,75,70,74.9,1723
2007-06-27,75.4,75.4,73.15,75,3382
2007-06-28,74.9,75.5,72.35,75,30042
2007-06-29,75,76,74,76,43445
2007-07-02,75,77.9,72.3,75,7637
2007-07-03,75,76,73.35,75,25804
2007-07-04,73.55,75.4,73.35,75.4,1549
2007-07-05,75.4,75.4,73.85,74.9,21750
2007-07-06,74.1,74.35,72.65,73.1,12896
2007-07-09,73,73.1,72,73.1,1440
2007-07-10,72.5,73.1,71.8,72.5,1146
2007-07-11,71.8,75,71,72.5,408
2007-07-12,72.7,74.3,72.7,74,875
2007-07-13,74.75,74.8,71.7,74,888
2007-07-16,73.95,73.95,70,70.5,3653
2007-07-17,70.2,70.5,68.2,69.95,1492
2007-07-18,70,73.8,70,72,679
2007-07-19,73.95,74,71.7,72,1239
2007-07-20,72.2,72.2,70.5,71,230
2007-07-23,71,71.95,68.25,71.5,1043
2007-07-24,72,72,69.25,71.45,3900
2007-07-25,69.15,70,68.1,68.6,5619
2007-07-26,68.2,68.3,55.5,55.5,5038
2007-07-27,60,64,56.1,60,14380
2007-07-30,63,63,60.5,61,7839
2007-07-31,61,64,60,61,34147
2007-08-01,60.7,60.7,58,59.9,10701
2007-08-02,59.05,59.8,59,59,3113
2007-08-03,58.1,58.1,53,53,20934
2007-08-06,54,54,48,49.5,11235
2007-08-07,51.05,51.4,49,50,3854
2007-08-08,51.4,51.4,48.6,50,3148
2007-08-09,50,50,48,49.8,2101
2007-08-10,45,50,45,50,45466
2007-08-13,50,51,48,50,2542
2007-08-14,51,51,48.13,50,3904
2007-08-16,47,50,45,50,34403
2007-08-17,51,52,48,52,3122
2007-08-20,54.7,54.7,51,51.4,1464
2007-08-21,54.3,54.3,49.05,49.98,31844
2007-08-22,50.5,50.5,49.5,50,9971
2007-08-23,51,51,49.5,50,5570
2007-08-24,50,50.25,49.01,50,3179
2007-08-27,51.8,51.8,49.52,49.6,4576
2007-08-28,49.9,50,49,49,2058
2007-08-29,48.2,49,48,49,2364
2007-08-30,50,50,47,47,7648
2007-08-31,47,47,45,45,9303
2007-09-03,47.5,47.5,45,45,9723
2007-09-04,45.02,45.7,44.51,45,2534
