Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,15.523,15.636,15.464,15.523,10150
2005-01-04,15.582,15.582,15.464,15.523,34399
2005-01-05,15.523,15.636,15.351,15.582,325537
2005-01-06,15.523,15.636,15.523,15.582,6017
2005-01-07,15.582,15.582,15.411,15.411,3130
2005-01-10,15.18,15.867,15.18,15.814,55351
2005-01-11,16.156,16.67,16.156,16.5,1473357
2005-01-12,16.5,16.903,16.5,16.731,40669
2005-01-13,16.5,16.903,16.5,16.903,33705
2005-01-14,16.903,16.903,16.67,16.79,1622
2005-01-17,16.67,16.79,16.618,16.67,4247
2005-01-18,16.5,16.5,16.098,16.441,16261
2005-01-19,16.27,16.329,16.098,16.098,21962
2005-01-20,16.039,16.039,15.867,15.985,10509
2005-01-21,15.985,15.985,15.582,15.754,4447
2005-01-24,15.582,16.098,15.582,15.814,6918
2005-01-25,15.867,15.927,15.867,15.927,493
2005-01-26,15.754,15.927,15.582,15.582,5455
2005-01-27,15.754,15.814,15.523,15.582,22977
2005-01-28,15.582,15.582,15.464,15.464,9173
2005-01-31,15.464,15.523,15.351,15.464,20481
2005-02-01,15.464,15.927,15.464,15.867,11568
2005-02-02,15.867,16.67,15.867,16.618,20194
2005-02-03,16.731,16.731,16.388,16.441,4928
2005-02-04,16.388,17.022,16.388,17.022,26185
2005-02-07,17.133,17.648,16.963,17.133,30714
2005-02-08,17.304,17.304,16.27,17.022,9825
2005-02-09,16.731,16.903,16.67,16.67,8669
2005-02-10,16.67,16.67,16.388,16.67,23550
2005-02-11,16.67,16.67,16.559,16.67,3175
2005-02-14,16.559,16.559,16.388,16.388,6116
2005-02-15,16.388,16.388,16.098,16.098,3071
2005-02-16,15.867,16.441,15.867,16.388,6934
2005-02-17,16.329,16.388,16.27,16.388,20063
2005-02-18,16.098,16.388,16.098,16.388,4501
2005-02-21,16.098,16.388,16.098,16.388,14212
2005-02-22,16.388,16.441,16.27,16.388,14097
2005-02-23,16.388,16.388,16.216,16.388,3993
2005-02-24,16.216,16.329,16.216,16.329,27064
2005-02-25,16.388,16.441,16.098,16.329,5324
2005-02-28,16.156,16.388,16.156,16.388,3961
2005-03-01,16.216,16.216,16.156,16.156,1844
2005-03-02,16.098,16.27,15.985,16.27,31565
2005-03-03,16.098,16.27,16.039,16.098,26903
2005-03-04,16.039,16.098,16.039,16.098,1199
2005-03-07,16.098,16.098,16.098,16.098,1041
2005-03-08,16.27,16.388,16.039,16.098,40954
2005-03-09,16.098,16.216,16.098,16.156,25042
2005-03-10,16.098,16.329,16.039,16.329,39298
2005-03-11,16.388,16.441,16.27,16.388,48081
2005-03-14,16.156,16.27,16.098,16.216,105695
2005-03-15,16.098,16.216,16.098,16.216,4278
2005-03-16,16.156,16.156,15.814,16.098,9731
2005-03-17,15.927,15.927,15.754,15.927,4564
2005-03-18,15.814,15.927,15.814,15.814,2381
2005-03-21,15.582,15.582,15.351,15.351,3000
2005-03-22,15.351,15.351,14.659,15.239,2579
2005-03-23,15.239,15.351,15.12,15.239,4454
2005-03-24,15.411,15.582,15.411,15.582,57064
2005-03-29,15.464,15.464,15.18,15.464,1199
2005-03-30,15.293,15.695,15.293,15.695,1706
2005-03-31,15.695,15.867,15.582,15.867,5512
2005-04-01,15.927,16.216,15.927,16.216,5905
2005-04-04,16.098,16.216,16.098,16.216,3257
2005-04-05,16.216,16.67,16.216,16.67,7212
2005-04-06,16.67,16.67,16.5,16.67,3150
2005-04-07,16.731,16.844,16.156,16.156,3181
2005-04-11,16.098,16.216,16.039,16.039,22030
2005-04-12,16.039,16.039,15.867,15.867,549
2005-04-13,15.867,16.098,15.867,15.867,383
2005-04-14,15.927,16.098,15.927,15.927,915
