Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.16,1.16,0.98,0.98,15265
2005-01-04,0.94,0.98,0.94,0.98,17817
2005-01-05,0.96,0.96,0.96,0.96,11996
2005-01-06,0.92,0.94,0.92,0.94,24779
2005-01-07,0.94,0.94,0.94,0.94,13407
2005-01-10,0.94,0.94,0.94,0.94,2470
2005-01-11,0.96,0.96,0.96,0.96,2705
2005-01-12,0.98,1.02,0.98,1.02,18981
2005-01-13,1.04,1.04,0.98,0.98,8573
2005-01-14,0.94,0.94,0.94,0.94,38162
2005-01-17,1,1,1,1,12
2005-01-18,1,1,0.98,0.98,5492
2005-01-19,0.92,0.98,0.92,0.98,2035
2005-01-21,0.92,0.98,0.92,0.98,1188
2005-01-24,0.94,0.94,0.94,0.94,10667
2005-01-28,0.94,0.94,0.94,0.94,1353
2005-02-01,0.9,0.9,0.9,0.9,1176
2005-02-02,0.92,0.92,0.92,0.92,34481
2005-02-03,0.94,0.94,0.94,0.94,1188
2005-02-04,0.84,0.9,0.84,0.9,2952
2005-02-07,0.94,0.94,0.94,0.94,8209
2005-02-08,0.94,0.94,0.94,0.94,3317
2005-02-09,0.92,0.92,0.92,0.92,5292
2005-02-11,0.9,0.9,0.9,0.9,2047
2005-02-14,0.86,0.88,0.86,0.88,5892
2005-02-15,0.88,0.9,0.88,0.9,20275
2005-02-16,0.94,0.94,0.94,0.94,24697
2005-02-17,0.92,0.92,0.92,0.92,5880
2005-02-18,0.9,0.9,0.9,0.9,7738
2005-02-21,0.94,0.94,0.94,0.94,30177
2005-02-22,0.98,0.98,0.96,0.96,24132
2005-02-23,0.94,0.94,0.94,0.94,353
2005-02-24,0.94,0.98,0.94,0.98,203217
2005-02-28,0.94,0.94,0.94,0.94,16759
2005-03-01,0.96,0.96,0.96,0.96,12
2005-03-02,0.94,0.94,0.94,0.94,529
2005-03-04,0.94,0.94,0.94,0.94,3528
2005-03-10,0.84,0.88,0.84,0.88,753
2005-03-17,0.8,0.8,0.8,0.8,83
2005-03-18,0.8,0.8,0.8,0.8,23380
2005-03-21,0.8,0.8,0.72,0.72,5433
2005-03-22,0.72,0.72,0.68,0.68,21898
2005-03-23,0.64,0.68,0.64,0.68,17923
2005-03-24,0.74,0.74,0.74,0.74,14112
2005-03-29,0.76,0.76,0.76,0.76,5292
2005-03-31,0.72,0.74,0.72,0.74,7056
2005-04-01,0.76,0.76,0.76,0.76,16300
2005-04-04,0.76,0.76,0.76,0.76,14230
2005-04-06,0.76,0.76,0.76,0.76,18393
2005-04-07,0.76,0.76,0.76,0.76,1176
2005-04-11,0.74,0.74,0.74,0.74,19993
2005-04-12,0.74,0.74,0.74,0.74,2599
2005-04-15,0.72,0.72,0.72,0.72,1176
2005-04-18,0.76,0.76,0.76,0.76,12
2005-04-22,0.76,0.76,0.76,0.76,3881
2005-04-29,0.7,0.7,0.7,0.7,12
2005-05-02,0.7,0.7,0.7,0.7,1882
2005-05-04,0.68,0.68,0.68,0.68,5880
2005-05-05,0.74,0.76,0.74,0.76,5998
2005-05-06,0.76,0.84,0.76,0.84,3940
2005-05-10,0.84,0.84,0.84,0.84,188
2005-05-23,0.68,0.68,0.68,0.68,13289
2005-05-24,0.78,0.78,0.78,0.78,12
2005-05-25,0.68,0.68,0.68,0.68,20310
2005-05-27,0.72,0.72,0.72,0.72,59
2005-05-30,0.68,0.68,0.68,0.68,8668
2005-05-31,0.68,0.68,0.68,0.68,2352
2005-06-01,0.68,0.68,0.68,0.68,3234
2005-06-02,0.66,0.68,0.66,0.68,8244
2005-06-03,0.7,0.7,0.7,0.7,12
2005-06-06,0.7,0.7,0.7,0.7,12
2005-06-08,0.7,0.7,0.7,0.7,12
2005-06-09,0.62,0.7,0.62,0.7,24
2005-06-15,0.7,0.7,0.7,0.7,8044
2005-06-20,0.7,0.7,0.7,0.7,5880
2005-06-21,0.72,0.72,0.72,0.72,4716
2005-06-22,0.74,0.74,0.74,0.74,11666
2005-06-28,0.78,0.78,0.78,0.78,36
