Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.2776,1.2776,1.2648,1.2648,16072
2005-01-04,1.2648,1.3241,1.2648,1.2818,42550
2005-01-05,1.2818,1.3367,1.2776,1.2988,66555
2005-01-06,1.2988,1.3959,1.2818,1.3959,62493
2005-01-07,1.4002,1.5864,1.4002,1.544,154160
2005-01-10,1.5652,1.6837,1.5652,1.6498,128935
2005-01-11,1.6666,1.6666,1.5228,1.544,40762
2005-01-12,1.5228,1.6161,1.5228,1.6161,43246
2005-01-13,1.6161,1.6244,1.5736,1.6244,20267
2005-01-14,1.6287,1.6287,1.5779,1.6244,19496
2005-01-17,1.6074,1.6287,1.5102,1.5736,21654
2005-01-18,1.5736,1.5991,1.5102,1.5948,30237
2005-01-19,1.5314,1.5864,1.4468,1.506,58541
2005-01-20,1.5018,1.5779,1.4848,1.506,37164
2005-01-21,1.5188,1.6074,1.5145,1.5695,43410
2005-01-24,1.5652,1.6201,1.5271,1.5652,16675
2005-01-25,1.5864,1.6117,1.5652,1.5652,10399
2005-01-26,1.5314,1.6074,1.5314,1.5567,8227
2005-01-27,1.5567,1.5652,1.4594,1.5652,1501
2005-01-28,1.5652,1.5864,1.544,1.5483,9994
2005-01-31,1.544,1.5991,1.544,1.5483,2923
2005-02-01,1.5652,1.5652,1.544,1.544,9063
2005-02-02,1.544,1.544,1.544,1.544,7479
2005-02-03,1.544,1.5736,1.544,1.5483,9044
2005-02-04,1.5567,1.5652,1.544,1.5652,14573
2005-02-07,1.5736,1.7936,1.5736,1.7555,75583
2005-02-08,1.8104,1.8908,1.8104,1.8824,74735
2005-02-09,1.8783,1.8824,1.7852,1.7852,45991
2005-02-10,1.7766,1.8613,1.7428,1.8317,11356
2005-02-11,1.8104,1.8104,1.7555,1.7555,33698
2005-02-14,1.7048,1.857,1.7048,1.8528,47747
2005-02-15,1.857,1.857,1.8191,1.8191,73679
2005-02-16,1.8191,1.946,1.8191,1.9036,123046
2005-02-17,1.9078,1.9078,1.836,1.836,62713
2005-02-18,1.8824,1.8824,1.8147,1.8613,18462
2005-02-21,1.9078,1.9078,1.8613,1.8613,6142
2005-02-22,1.8613,1.8613,1.8401,1.8401,12143
2005-02-23,1.8147,1.8147,1.7766,1.8104,2941
2005-02-24,1.7514,1.7555,1.7428,1.7555,3972
2005-02-25,1.7555,1.7766,1.7132,1.7766,17256
2005-02-28,1.7344,1.7344,1.6161,1.6921,28242
2005-03-01,1.7005,1.7301,1.6921,1.7301,6593
2005-03-02,1.6583,1.7132,1.5652,1.5736,27355
2005-03-03,1.5652,1.6413,1.5271,1.5779,46317
2005-03-04,1.5652,1.6201,1.5652,1.6033,28712
2005-03-07,1.5652,1.5864,1.5483,1.5483,3276
2005-03-08,1.544,1.6161,1.4932,1.4932,17886
2005-03-09,1.4806,1.5102,1.4382,1.4932,13701
2005-03-10,1.5188,1.5188,1.4511,1.5102,10674
2005-03-11,1.5018,1.5018,1.4002,1.4806,29110
2005-03-14,1.4425,1.4721,1.3959,1.4382,24622
2005-03-15,1.4382,1.4932,1.3959,1.4679,29786
2005-03-16,1.4679,1.4763,1.4044,1.4044,6042
2005-03-17,1.3959,1.3959,1.3283,1.3918,22358
2005-03-18,1.3791,1.3833,1.3791,1.3833,5070
2005-03-21,1.3537,1.3959,1.341,1.3918,12505
2005-03-22,1.3453,1.3959,1.3326,1.3918,6849
2005-03-23,1.3959,1.4594,1.3621,1.4297,32570
2005-03-24,1.4297,1.4594,1.4002,1.4214,26754
2005-03-29,1.3959,1.4679,1.3918,1.4256,11176
2005-03-30,1.4256,1.4679,1.4256,1.4552,9819
2005-03-31,1.4341,1.4341,1.3579,1.4087,14437
2005-04-01,1.3959,1.4297,1.3579,1.3833,35136
2005-04-04,1.3791,1.3833,1.3326,1.3494,46763
2005-04-05,1.3494,1.3833,1.3494,1.3833,9427
2005-04-06,1.3918,1.3918,1.3579,1.3579,5555
2005-04-07,1.3579,1.3791,1.3579,1.3791,931
2005-04-11,1.3791,1.3875,1.3537,1.3749,3283
2005-04-12,1.3749,1.3749,1.3749,1.3749,244
2005-04-13,1.3494,1.3494,1.3453,1.3453,1386
2005-04-14,1.3453,1.3749,1.2732,1.3114,22749
2005-04-15,1.3028,1.3537,1.2818,1.3537,16835
2005-04-18,1.3833,1.3833,1.2691,1.3198,24706
2005-04-19,1.2732,1.2732,1.2352,1.2352,20288
2005-04-20,1.2056,1.2606,1.1888,1.2606,34148
2005-04-21,1.2056,1.2394,1.2056,1.2394,14566
2005-04-22,1.2394,1.2818,1.2394,1.2818,13102
2005-04-25,1.2902,1.3241,1.248,1.3241,22055
2005-04-26,1.3326,1.3537,1.3326,1.3326,17668
2005-04-27,1.3537,1.3537,1.3114,1.3114,7119
2005-04-28,1.2944,1.3537,1.2776,1.3283,17861
2005-04-29,1.3283,1.3326,1.3283,1.3326,1512
2005-05-02,1.3326,1.3326,1.3114,1.3114,6368
2005-05-04,1.3114,1.3833,1.286,1.3705,8982
2005-05-05,1.3664,1.3664,1.3664,1.3664,1180
2005-05-06,1.3241,1.3537,1.2522,1.2944,41424
2005-05-09,1.2352,1.3537,1.2352,1.3114,52989
