Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,7.344,7.596,7.188,7.512,20146
2005-01-04,7.512,7.644,7.296,7.32,78303
2005-01-05,7.404,7.404,6.696,7.08,65309
2005-01-06,6.996,7.02,6.804,6.912,21530
2005-01-07,6.972,7.344,6.744,7.344,50838
2005-01-10,7.296,7.452,7.188,7.344,54124
2005-01-11,7.188,7.296,7.02,7.02,20736
2005-01-12,7.044,7.044,6.888,7.02,9074
2005-01-13,7.08,7.512,6.972,7.512,59035
2005-01-14,7.56,7.944,7.56,7.944,139582
2005-01-17,8.004,10.128,7.836,9.96,463814
2005-01-18,9.96,10.608,8.976,8.976,380804
2005-01-19,8.976,9.144,8.16,8.484,102905
2005-01-20,8.328,9.468,8.004,8.976,181355
2005-01-21,9.144,9.312,8.82,8.976,63841
2005-01-24,8.82,9.312,8.82,9.144,60565
2005-01-25,9.312,9.312,8.652,8.976,121959
2005-01-26,8.82,8.82,8.652,8.652,42083
2005-01-27,8.82,8.82,8.484,8.652,29752
2005-01-28,8.652,8.82,8.484,8.82,40543
2005-01-31,8.82,8.82,8.652,8.652,37479
2005-02-01,8.82,8.976,8.652,8.976,36832
2005-02-02,8.976,8.976,8.82,8.976,22138
2005-02-03,9.144,10.128,9.144,9.468,412414
2005-02-04,9.468,9.636,9.144,9.144,81407
2005-02-07,9.312,9.468,8.976,9.312,64208
2005-02-08,9.312,9.312,8.976,9.144,40730
2005-02-09,9.144,9.468,9.144,9.312,64495
2005-02-10,9.312,9.96,9.312,9.792,146319
2005-02-11,10.452,10.944,9.636,9.96,539449
2005-02-14,9.792,9.96,9.468,9.636,88136
2005-02-15,9.636,9.792,9.312,9.636,47212
2005-02-16,9.636,9.636,9.144,9.312,110927
2005-02-17,9.312,9.468,8.82,8.976,122672
2005-02-18,8.976,9.144,8.652,9.144,331241
2005-02-21,9.144,9.312,8.82,8.976,83977
2005-02-22,8.976,9.468,8.976,9.312,189001
2005-02-23,9.312,9.636,9.312,9.468,111600
2005-02-24,9.312,9.468,9.312,9.312,17837
2005-02-25,9.468,9.468,9.144,9.312,64009
2005-02-28,9.312,9.312,8.976,9.312,57899
2005-03-01,9.144,9.312,9.144,9.144,15257
2005-03-02,9.144,9.312,8.976,8.976,12917
2005-03-03,8.976,9.144,8.976,9.144,9118
2005-03-04,9.144,9.144,8.976,8.976,22499
2005-03-07,9.144,9.144,8.976,8.976,32247
2005-03-08,9.144,9.144,8.976,8.976,11655
2005-03-09,8.976,9.144,8.82,8.976,21017
2005-03-10,8.82,8.976,8.82,8.976,24802
2005-03-11,8.82,8.976,8.82,8.82,66740
2005-03-14,8.976,8.976,8.652,8.652,34256
2005-03-15,8.652,8.82,8.328,8.652,46574
2005-03-16,8.484,8.484,8.16,8.16,43700
2005-03-17,8.16,8.16,7.668,7.668,70732
2005-03-18,7.512,7.836,7.344,7.668,63461
2005-03-21,7.668,7.836,7.512,7.668,17867
2005-03-22,7.512,7.668,7.344,7.668,17988
2005-03-23,7.344,7.668,7.344,7.512,13152
2005-03-24,7.512,7.668,7.344,7.512,9166
2005-03-29,7.512,7.512,7.188,7.512,22710
2005-03-30,7.512,7.512,7.188,7.344,37022
2005-03-31,7.344,8.328,7.188,7.836,265845
2005-04-01,8.004,8.16,7.668,7.668,76623
2005-04-04,7.512,7.668,7.344,7.344,70577
2005-04-05,7.512,7.668,7.344,7.344,76493
2005-04-06,7.512,7.512,7.344,7.512,19495
2005-04-07,7.512,7.512,7.344,7.512,28111
2005-04-11,7.512,7.512,7.344,7.344,18162
2005-04-12,7.344,7.512,7.344,7.344,24064
2005-04-13,7.344,7.344,7.188,7.188,46296
2005-04-14,7.188,7.188,6.528,6.852,62054
2005-04-15,6.696,6.852,6.528,6.696,32969
2005-04-18,6.372,6.528,6.036,6.204,63613
2005-04-19,6.204,6.204,5.712,6.036,92323
2005-04-20,6.036,6.528,5.88,6.036,70959
2005-04-21,6.036,6.372,6.036,6.036,29424
2005-04-22,6.204,6.372,6.036,6.372,136661
2005-04-25,6.372,6.852,6.372,6.696,220625
2005-04-26,6.852,7.02,6.528,6.528,66278
2005-04-27,6.528,6.696,6.204,6.372,56555
