Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,13.482,13.482,13.311,13.392,10426
2005-01-04,13.482,13.482,13.132,13.311,8887
2005-01-05,13.132,13.132,12.616,12.706,42641
2005-01-06,12.795,12.964,12.527,12.706,18709
2005-01-07,12.706,12.964,12.492,12.571,15250
2005-01-10,12.616,12.616,12.099,12.358,16907
2005-01-11,12.099,12.099,11.67,11.965,49191
2005-01-12,11.796,12.009,11.796,11.886,10390
2005-01-13,11.752,11.752,11.404,11.404,40928
2005-01-14,11.492,11.492,11.109,11.366,107151
2005-01-17,11.404,11.582,11.366,11.448,11365
2005-01-18,11.324,11.324,10.806,11.234,75398
2005-01-19,11.145,11.627,11.145,11.627,37769
2005-01-20,11.492,11.492,11.324,11.404,14000
2005-01-21,11.404,11.404,11.324,11.404,6978
2005-01-24,11.366,11.366,11.28,11.366,3482
2005-01-25,11.189,11.366,11.189,11.28,3563
2005-01-26,11.404,11.404,11.28,11.324,7627
2005-01-27,11.28,11.324,11.145,11.234,11109
2005-01-28,11.324,11.404,11.189,11.366,19278
2005-01-31,11.404,11.796,11.404,11.67,31044
2005-02-01,11.67,11.84,11.67,11.752,15470
2005-02-02,11.752,11.752,11.492,11.67,8125
2005-02-03,11.537,11.627,11.537,11.627,3238
2005-02-04,11.582,11.67,11.448,11.627,19497
2005-02-07,11.706,11.706,11.448,11.67,25239
2005-02-08,11.796,11.886,11.404,11.67,25062
2005-02-09,11.67,11.67,11.492,11.627,18629
2005-02-10,11.537,11.627,11.404,11.627,28764
2005-02-11,11.627,11.627,11.404,11.582,9626
2005-02-14,11.582,11.582,11.366,11.448,9661
2005-02-15,11.492,11.582,11.28,11.492,23756
2005-02-16,11.448,11.448,10.806,10.806,47244
2005-02-17,10.976,11.063,10.761,10.887,47673
2005-02-18,10.806,10.806,10.503,10.539,26068
2005-02-21,10.457,10.539,10.112,10.28,50696
2005-02-22,10.112,10.154,9.853,9.986,39145
2005-02-23,9.942,10.28,9.809,10.112,35650
2005-02-24,10.021,10.887,9.986,10.887,79286
2005-02-25,11.145,11.404,11.021,11.234,244157
2005-02-28,11.234,11.324,10.539,10.806,117680
2005-03-01,10.806,10.806,10.415,10.539,42569
2005-03-02,10.369,10.628,10.28,10.539,46354
2005-03-03,10.457,10.457,10.28,10.369,6884
2005-03-04,10.28,10.28,10.199,10.28,7161
2005-03-07,10.369,11.021,10.28,10.887,95314
2005-03-08,11.063,11.189,10.673,10.761,91076
2005-03-09,10.717,10.806,10.415,10.717,49630
2005-03-10,10.584,10.673,10.369,10.539,21208
2005-03-11,10.539,10.539,10.369,10.457,11872
2005-03-14,10.457,10.457,10.154,10.369,32965
2005-03-15,10.28,10.369,10.199,10.369,19648
2005-03-16,10.244,10.584,10.244,10.503,31799
2005-03-17,10.369,10.887,10.324,10.717,39517
2005-03-18,10.717,10.761,10.628,10.761,15204
2005-03-21,10.539,10.673,10.503,10.673,1883
2005-03-22,10.539,10.628,10.503,10.628,10091
2005-03-23,10.628,10.628,10.503,10.539,3680
2005-03-24,10.539,10.539,10.415,10.539,11778
2005-03-29,10.457,10.628,10.369,10.628,26244
2005-03-30,10.628,10.628,10.369,10.539,12057
2005-03-31,10.539,10.628,10.28,10.503,13793
2005-04-01,10.369,10.457,10.369,10.457,5345
2005-04-04,10.457,10.457,10.369,10.457,7499
2005-04-05,10.503,10.628,10.457,10.539,23120
2005-04-06,10.457,10.503,10.28,10.369,5519
2005-04-07,10.154,10.457,10.112,10.28,106365
2005-04-11,10.28,10.369,10.199,10.28,3064
2005-04-12,10.199,10.199,9.55,9.809,53713
2005-04-13,9.809,10.112,9.505,9.717,20135
2005-04-14,9.505,9.505,9.1566,9.3348,56272
2005-04-15,9.2011,9.2457,8.8983,9.2457,31265
2005-04-18,9.1566,9.2457,8.7289,8.8178,40985
2005-04-19,8.6396,8.6396,8.1402,8.3096,61120
2005-04-20,8.1492,8.2117,7.7746,7.7746,244733
2005-04-21,7.5788,7.7301,7.3021,7.7301,66650
2005-04-22,7.7746,8.1315,7.7746,8.069,56745
2005-04-25,8.0334,8.1225,7.8461,7.864,20135
