Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.1707,2.211,2.1465,2.1465,763724
2005-01-04,2.1304,2.1627,2.1304,2.1465,172540
2005-01-05,2.1222,2.1384,2.0981,2.1062,377365
2005-01-06,2.1142,2.1304,2.0981,2.1062,348026
2005-01-07,2.1222,2.1465,2.1062,2.1222,420413
2005-01-10,2.1304,2.1384,2.0496,2.0577,479432
2005-01-11,2.0819,2.1222,2.0416,2.0981,528553
2005-01-12,2.0981,2.1062,2.0577,2.0657,283739
2005-01-13,2.0819,2.1142,2.0657,2.0657,365766
2005-01-14,2.0819,2.0819,2.0416,2.0577,231884
2005-01-17,2.0739,2.0981,2.0577,2.0819,540238
2005-01-18,2.0739,2.09,2.0174,2.0174,404623
2005-01-19,2.0335,2.0335,1.9851,1.9851,530061
2005-01-20,1.9851,2.0255,1.9528,1.977,446128
2005-01-21,1.9932,2.0093,1.9851,2.0012,238041
2005-01-24,2.0012,2.0093,1.9205,1.9447,631587
2005-01-25,1.9367,1.9932,1.9367,1.9932,599811
2005-01-26,2.0012,2.0416,1.9932,2.0174,610742
2005-01-27,2.0255,2.0496,2.0174,2.0416,421661
2005-01-28,2.0496,2.0577,1.9851,2.0174,438439
2005-01-31,2.0174,2.0335,1.9932,2.0093,762727
2005-02-01,2.0255,2.0255,2.0012,2.0012,824850
2005-02-02,2.0174,2.0416,2.0012,2.0012,786149
2005-02-03,2.0174,2.0255,2.0012,2.0093,272410
2005-02-04,2.0012,2.0416,1.9932,2.0174,531914
2005-02-07,2.0335,2.0416,2.0012,2.0012,811860
2005-02-08,2.0174,2.0255,1.969,2.0093,524086
2005-02-09,2.0174,2.0335,2.0012,2.0012,268923
2005-02-10,1.9932,2.0174,1.9851,2.0093,136367
2005-02-11,2.0012,2.0174,1.969,1.977,599578
2005-02-14,1.9851,1.9932,1.9609,1.977,157688
2005-02-15,1.8721,1.9125,1.8559,1.8964,1276243
2005-02-16,1.864,1.8721,1.8076,1.8237,1925472
2005-02-17,1.8076,1.8237,1.7753,1.7753,1112681
2005-02-18,1.7753,1.8559,1.7753,1.8318,1485011
2005-02-21,1.8479,1.8721,1.8157,1.8157,1189852
2005-02-22,1.8237,1.8237,1.7914,1.7994,543182
2005-02-23,1.7994,1.8237,1.7834,1.7994,416951
2005-02-24,1.8157,1.8237,1.7753,1.7914,704074
2005-02-25,1.8076,1.8076,1.743,1.7592,2039952
2005-02-28,1.7592,1.7753,1.6623,1.6623,1646566
2005-03-01,1.6865,1.7349,1.6542,1.6946,1305616
2005-03-02,1.6946,1.7027,1.6542,1.6542,999643
2005-03-03,1.6623,1.6946,1.5897,1.6219,1337738
2005-03-04,1.6219,1.6301,1.5897,1.6219,1294248
2005-03-07,1.6139,1.6219,1.5897,1.5897,513456
2005-03-08,1.5897,1.5897,1.509,1.5171,1634954
2005-03-09,1.5331,1.7672,1.5171,1.7672,4181229
2005-03-10,1.7107,1.7592,1.6542,1.6704,2643988
2005-03-11,1.6704,1.6784,1.6139,1.6382,1075425
2005-03-14,1.6382,1.6382,1.5897,1.5897,734258
2005-03-15,1.5817,1.7107,1.5817,1.6623,2331343
2005-03-16,1.6462,1.6704,1.6219,1.6301,944241
2005-03-17,1.6139,1.6784,1.6058,1.6301,894105
2005-03-18,1.6623,1.7027,1.6542,1.6542,733488
2005-03-21,1.6704,1.6704,1.5977,1.6139,885533
2005-03-22,1.6058,1.6462,1.5897,1.6382,483262
2005-03-23,1.6139,1.6704,1.6058,1.6462,957945
2005-03-24,1.6542,1.6623,1.6301,1.6301,342831
2005-03-29,1.6301,1.6462,1.6139,1.6139,397646
2005-03-30,1.6301,1.6865,1.6301,1.6623,979940
2005-03-31,1.6704,1.6946,1.6623,1.6704,717480
2005-04-01,1.6784,1.6946,1.6542,1.6623,313214
2005-04-04,1.6542,1.6704,1.6301,1.6301,382940
2005-04-05,1.6301,1.6462,1.6139,1.6219,348215
2005-04-06,1.6219,1.6382,1.6139,1.6139,318862
2005-04-07,1.6301,1.6382,1.6058,1.6058,527960
2005-04-11,1.6139,1.6139,1.5977,1.6058,593868
2005-04-12,1.6139,1.6462,1.6139,1.6219,426082
2005-04-13,1.6301,1.6301,1.6058,1.6139,265446
2005-04-14,1.6139,1.6139,1.5897,1.5977,250279
2005-04-15,1.5897,1.5897,1.5494,1.5655,453335
2005-04-18,1.5171,1.5331,1.4848,1.4929,771186
2005-04-19,1.4929,1.5494,1.4606,1.5251,600642
2005-04-20,1.5494,1.5574,1.509,1.509,585412
2005-04-21,1.5009,1.5412,1.5009,1.5171,306993
2005-04-22,1.5331,1.5412,1.509,1.509,311606
2005-04-25,1.5009,1.5171,1.4929,1.509,191258
2005-04-26,1.509,1.5171,1.4767,1.4848,199171
