Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,4.588,4.588,4.588,4.588,205
2005-01-04,4.492,4.492,4.434,4.434,1235
2005-01-06,4.414,4.414,4.414,4.414,465
2005-01-14,4.454,4.454,4.414,4.414,320
2005-01-17,4.318,4.454,4.318,4.454,2010
2005-01-18,4.414,4.454,4.414,4.454,595
2005-01-19,4.414,4.548,4.414,4.548,800
2005-01-20,4.606,4.606,4.606,4.606,260
2005-01-24,4.606,4.606,4.606,4.606,270
2005-01-27,4.414,4.606,4.414,4.606,1525
2005-01-28,4.606,4.76,4.492,4.606,2815
2005-02-02,4.606,4.606,4.606,4.606,3905
2005-02-03,4.606,4.606,4.606,4.606,2945
2005-02-08,4.414,4.606,4.414,4.51,7430
2005-02-09,4.338,4.568,4.338,4.568,280
2005-02-14,4.74,4.78,4.568,4.568,5285
2005-02-15,4.568,4.568,4.568,4.568,520
2005-02-16,4.414,4.51,4.414,4.51,310
2005-02-17,4.51,4.588,4.454,4.588,3125
2005-02-21,4.434,4.434,4.414,4.414,520
2005-02-22,4.434,4.434,4.414,4.414,1655
2005-02-24,4.414,4.414,4.338,4.338,3385
2005-02-25,4.454,4.454,4.454,4.454,5
2005-02-28,4.414,4.414,4.414,4.414,2010
2005-03-02,4.338,4.414,4.262,4.262,9270
2005-03-03,4.262,4.262,4.242,4.242,700
2005-03-04,4.242,4.242,4.204,4.204,2080
2005-03-07,4.126,4.126,4.126,4.126,2600
2005-03-08,4.126,4.126,4.126,4.126,1925
2005-03-10,4.03,4.03,4.03,4.03,1100
2005-03-11,4.03,4.126,4.03,4.126,2125
2005-03-14,3.934,4.03,3.934,4.03,135
2005-03-15,4.03,4.03,4.03,4.03,5205
2005-03-17,3.934,3.934,3.934,3.934,140
2005-03-18,3.762,3.762,3.646,3.762,1700
2005-03-21,3.666,3.762,3.666,3.762,525
2005-03-31,3.59,3.608,3.59,3.608,4165
2005-04-01,3.646,3.646,3.646,3.646,5
2005-04-04,3.646,3.646,3.646,3.646,290
2005-04-07,3.57,3.646,3.57,3.646,105
2005-04-11,3.646,3.762,3.646,3.646,1490
2005-04-12,3.59,3.59,3.59,3.59,155
2005-04-19,3.474,3.55,3.474,3.55,1045
2005-04-20,3.55,3.55,3.55,3.55,360
2005-04-27,3.388,3.388,3.388,3.388,2340
2005-05-02,3.358,3.358,3.244,3.244,1830
2005-05-04,3.358,3.358,3.186,3.34,25
2005-05-05,3.34,3.34,3.34,3.34,5
2005-05-06,3.302,3.302,3.11,3.168,1905
2005-05-09,3.12,3.168,3.072,3.168,890
2005-05-10,3.072,3.168,3.072,3.168,90
2005-05-16,3.08,3.08,3.072,3.072,3280
2005-05-17,3.032,3.072,3.032,3.072,810
2005-05-18,3.072,3.378,3.072,3.378,13540
2005-05-19,3.628,3.638,3.454,3.454,5320
2005-05-20,3.618,3.618,3.618,3.618,50
2005-05-23,3.618,3.646,3.618,3.646,1515
2005-05-24,3.608,3.608,3.608,3.608,750
2005-05-31,3.608,3.618,3.55,3.55,710
2005-06-01,3.454,3.474,3.454,3.474,1305
2005-06-02,3.512,3.512,3.512,3.512,50
2005-06-06,3.512,3.646,3.512,3.646,6260
2005-06-07,3.464,3.55,3.454,3.55,2830
2005-06-09,3.646,3.686,3.646,3.686,3485
2005-06-10,3.762,4.05,3.762,4.05,9065
2005-06-13,4.126,4.318,4.108,4.318,8365
2005-06-14,4.74,4.894,4.338,4.338,15475
2005-06-15,4.07,4.07,3.954,4.03,2820
2005-06-16,3.838,4.03,3.838,4.03,605
2005-06-17,4.03,4.318,4.03,4.318,5500
2005-06-20,4.222,4.28,4.088,4.28,765
2005-06-22,4.108,4.108,4.088,4.088,3385
2005-06-23,4.03,4.088,4.03,4.088,4965
2005-06-24,4.07,4.07,3.934,3.934,780
2005-06-27,4.088,4.088,4.088,4.088,15
2005-06-28,4.088,4.088,4.088,4.088,160
2005-06-29,3.896,3.916,3.896,3.916,3675
2005-06-30,3.916,3.992,3.916,3.992,260
2005-07-01,4.03,4.03,4.03,4.03,5
2005-07-04,3.992,3.992,3.992,3.992,415
2005-07-06,3.838,3.858,3.686,3.686,2090
2005-07-07,3.666,3.83,3.666,3.686,1550
2005-07-08,3.83,3.83,3.686,3.686,50
2005-07-11,3.686,3.686,3.686,3.686,1535
2005-07-13,3.686,3.686,3.686,3.686,260
2005-07-14,3.724,3.724,3.724,3.724,5
2005-07-15,3.686,3.686,3.666,3.666,4490
2005-07-18,3.646,3.646,3.55,3.57,5005
2005-07-20,3.55,3.638,3.55,3.638,285
2005-07-25,3.598,3.934,3.598,3.838,7105
2005-07-26,4.07,4.07,4.07,4.07,50
2005-07-27,4.03,4.414,3.838,4.146,8385
2005-07-28,3.878,3.878,3.878,3.878,40
2005-07-29,4.146,4.146,4.146,4.146,60
2005-08-01,4.03,4.146,3.934,3.934,7020
2005-08-02,4.03,4.126,4.03,4.126,80
2005-08-03,4.03,4.03,4.03,4.03,260
2005-08-04,4.03,4.03,3.858,3.858,10
2005-08-05,3.858,3.896,3.858,3.896,3250
2005-08-09,3.742,3.742,3.676,3.676,775
2005-08-11,3.646,3.974,3.646,3.974,3330
2005-08-12,3.838,3.992,3.82,3.82,2530
2005-08-17,3.82,4.222,3.82,4.07,12195
2005-08-18,4.03,4.03,3.81,3.838,11625
2005-08-19,3.838,3.916,3.838,3.838,825
2005-08-22,3.838,3.838,3.8,3.82,1350
2005-08-23,3.838,3.838,3.838,3.838,2655
2005-08-24,3.896,3.916,3.896,3.916,610
2005-08-25,3.82,3.916,3.82,3.916,1120
2005-08-29,3.838,3.838,3.838,3.838,2125
2005-08-30,3.838,3.916,3.838,3.916,2395
2005-09-01,3.742,3.916,3.742,3.838,520
2005-09-06,3.896,3.916,3.838,3.916,2610
2005-09-07,3.878,3.896,3.878,3.896,2395
2005-09-08,3.838,3.838,3.838,3.838,520
2005-09-09,3.878,3.896,3.878,3.896,1290
2005-09-12,3.916,3.916,3.916,3.916,1175
2005-09-13,3.916,3.934,3.916,3.934,1405
2005-09-15,3.878,3.916,3.878,3.916,845
2005-09-16,3.934,4.088,3.934,4.03,7015
2005-09-19,4.108,4.108,3.934,4.108,1070
2005-09-20,4.07,4.07,4.07,4.07,25
2005-09-21,4.03,4.03,3.954,3.954,535
2005-09-23,3.858,3.858,3.858,3.858,335
2005-09-26,3.838,4.07,3.838,4.07,7865
2005-09-27,4.03,4.414,4.03,4.414,29705
2005-09-28,4.548,4.78,4.338,4.702,10030
2005-09-29,4.51,4.548,4.262,4.358,29065
2005-09-30,4.358,4.414,4.358,4.358,3500
2005-10-03,4.414,4.414,4.414,4.414,5
2005-10-04,4.222,4.222,4.05,4.088,6380
2005-10-05,4.07,4.07,3.934,4.03,9175
2005-10-06,3.838,4.222,3.838,3.992,4290
2005-10-07,3.992,3.992,3.992,3.992,1195
2005-10-10,3.992,4.184,3.992,4.184,8920
2005-10-13,4.07,4.07,4.07,4.07,625
2005-10-14,3.992,4.012,3.992,4.012,3660
2005-10-17,4.012,4.012,4.012,4.012,2180
2005-10-18,3.992,3.992,3.916,3.916,2240
2005-10-19,3.878,3.878,3.838,3.838,1405
2005-10-20,3.838,4.012,3.838,4.012,300
2005-10-21,3.838,3.858,3.838,3.858,3570
2005-10-24,3.686,4.012,3.686,3.838,9135
2005-10-25,3.878,3.878,3.878,3.878,2080
2005-10-26,3.896,3.896,3.858,3.858,3130
2005-10-27,3.858,3.878,3.838,3.878,10145
2005-10-28,3.858,3.878,3.858,3.858,9740
2005-10-31,3.878,3.878,3.858,3.858,1040
2005-11-02,3.858,3.858,3.858,3.858,15165
2005-11-03,3.858,3.878,3.742,3.858,5110
2005-11-04,3.838,3.974,3.838,3.974,1690
2005-11-07,4.492,4.798,4.492,4.626,50095
2005-11-08,4.51,4.606,4.242,4.396,12225
2005-11-09,4.414,4.702,4.414,4.472,24535
2005-11-10,4.414,4.472,4.414,4.434,3730
2005-11-14,4.414,4.454,4.28,4.396,2890
2005-11-15,4.28,5.164,4.242,4.914,30200
2005-11-16,4.702,4.894,4.626,4.876,32700
2005-11-17,4.856,4.856,4.856,4.856,205
2005-11-18,4.702,4.856,4.702,4.722,9610
2005-11-21,4.856,4.856,4.856,4.856,5
2005-11-22,4.626,4.626,4.492,4.568,5275
2005-11-23,4.492,4.722,4.396,4.722,6690
2005-11-24,4.51,4.588,4.414,4.588,3095
2005-11-28,4.568,4.588,4.434,4.588,2900
2005-11-29,4.492,4.548,4.204,4.548,21650
2005-12-01,4.358,4.492,4.358,4.472,2350
2005-12-02,4.414,4.51,4.338,4.338,555
2005-12-05,4.53,4.76,4.414,4.76,12630
2005-12-06,4.606,4.76,4.548,4.76,5920
2005-12-08,4.76,4.76,4.702,4.76,3070
2005-12-09,4.626,4.74,4.588,4.74,980
2005-12-12,4.722,4.722,4.722,4.722,260
2005-12-13,4.702,4.722,4.53,4.722,1570
2005-12-14,4.626,4.702,4.626,4.702,790
2005-12-15,4.626,4.702,4.626,4.702,530
2005-12-16,5.336,5.758,5.124,5.47,101445
2005-12-19,5.72,5.72,5.144,5.412,26090
2005-12-20,5.374,5.374,5.106,5.278,8360
2005-12-21,5.336,5.336,4.99,5.26,6570
2005-12-22,5.278,5.298,5.278,5.298,1230
2005-12-23,5.278,5.298,5.182,5.298,1225
2005-12-27,5.298,5.298,5.202,5.202,205
2005-12-28,5.26,5.298,5.24,5.298,2285
2005-12-29,5.182,5.336,5.086,5.298,11030
2005-12-30,5.124,5.26,5.124,5.26,1000
2006-01-02,5.086,5.278,5.086,5.278,1220
2006-01-03,5.298,5.298,5.182,5.182,1370
2006-01-04,5.26,5.298,5.182,5.26,1225
2006-01-05,5.26,5.336,5.26,5.336,4895
2006-01-06,5.336,5.374,5.278,5.356,5815
2006-01-09,5.356,5.356,5.316,5.316,2080
2006-01-10,5.202,5.202,5.202,5.202,905
2006-01-11,5.182,5.26,5.124,5.26,2580
2006-01-12,5.182,5.374,5.182,5.374,2760
2006-01-13,5.278,5.356,5.278,5.356,2025
2006-01-16,5.336,5.566,5.26,5.528,9750
2006-01-17,5.528,5.528,5.47,5.49,4245
2006-01-18,5.432,6.142,5.432,5.662,18510
2006-01-19,6.026,6.026,5.662,5.74,15910
2006-01-20,5.758,5.758,5.508,5.682,2645
2006-01-23,5.586,5.604,5.394,5.604,1690
2006-01-24,5.47,5.566,5.394,5.566,1865
2006-01-25,5.432,5.548,5.432,5.548,1620
2006-01-26,5.412,5.624,5.374,5.624,5240
2006-01-27,5.548,5.604,5.356,5.374,18120
2006-01-30,5.336,5.49,5.26,5.49,15415
2006-01-31,5.412,5.412,5.412,5.412,520
2006-02-01,5.412,5.49,5.26,5.394,5080
2006-02-02,5.336,5.758,5.336,5.47,7085
2006-02-03,5.412,5.412,5.336,5.374,6370
2006-02-06,5.356,5.374,5.182,5.374,2380
2006-02-07,5.374,5.374,5.26,5.356,6250
2006-02-08,5.278,5.356,5.278,5.336,14095
2006-02-09,5.24,5.47,4.876,5.47,24160
2006-02-10,5.374,5.528,5.374,5.528,1250
2006-02-13,5.548,5.74,5.432,5.662,19420
2006-02-14,5.566,5.95,5.566,5.854,25920
2006-02-15,5.95,5.988,5.758,5.988,40870
2006-02-16,5.874,6.008,5.874,5.97,23860
2006-02-17,5.95,5.95,5.854,5.93,10220
2006-02-20,5.854,5.93,5.778,5.778,5060
2006-02-21,5.778,5.816,5.758,5.816,6485
2006-02-22,5.796,5.796,5.662,5.758,5305
2006-02-23,5.644,5.74,5.566,5.644,6880
2006-02-24,5.644,5.644,5.528,5.528,3180
2006-02-27,5.528,5.548,5.47,5.548,14210
2006-02-28,5.47,5.548,5.47,5.548,9945
2006-03-01,5.548,5.548,5.374,5.47,11810
2006-03-02,5.47,5.548,5.394,5.548,1015
2006-03-03,5.566,5.566,5.528,5.566,7190
2006-03-06,5.47,5.548,5.394,5.394,4175
2006-03-07,5.432,5.432,5.356,5.356,10800
2006-03-08,5.298,5.298,5.182,5.202,7160
2006-03-09,5.182,5.22,5.164,5.22,3080
2006-03-10,5.182,5.24,5.124,5.24,4100
2006-03-13,5.182,5.24,5.182,5.24,2290
2006-03-14,5.24,5.336,5.24,5.278,3585
2006-03-15,5.278,5.278,5.278,5.278,1675
2006-03-16,5.412,5.548,5.336,5.412,3485
2006-03-17,5.394,5.566,5.394,5.566,11925
2006-03-20,5.586,5.816,5.586,5.816,7290
2006-03-21,5.834,5.834,5.758,5.816,5915
2006-03-22,5.72,5.758,5.682,5.758,9085
2006-03-23,5.662,5.912,5.662,5.912,7890
2006-03-24,5.912,5.912,5.816,5.912,6985
2006-03-27,5.95,6.622,5.95,6.622,22705
2006-03-28,6.584,6.584,6.258,6.296,11675
2006-03-29,6.238,6.392,6.238,6.392,2865
2006-03-30,6.2,6.41,6.2,6.41,2030
2006-03-31,6.392,6.392,6.334,6.334,3030
2006-04-03,6.296,6.334,6.276,6.334,7005
2006-04-04,6.392,6.41,6.392,6.41,1595
2006-04-05,6.41,6.43,6.392,6.43,4965
2006-04-06,6.468,6.526,6.392,6.392,11555
2006-04-07,6.392,6.488,6.392,6.468,3725
2006-04-10,6.392,6.392,6.084,6.084,6385
2006-04-11,6.084,6.372,6.084,6.354,7200
2006-04-12,6.526,6.526,6.468,6.488,280
2006-04-13,6.43,6.43,6.334,6.41,8600
2006-04-18,6.334,6.334,6.238,6.238,1560
2006-04-19,6.41,6.488,6.218,6.334,5050
2006-04-20,6.488,6.526,6.354,6.526,8210
2006-04-21,6.526,6.526,6.372,6.372,705
2006-04-24,6.546,6.546,6.546,6.546,1550
2006-04-25,6.43,6.526,6.41,6.526,1435
2006-04-26,6.43,6.526,6.43,6.526,3950
2006-04-27,6.488,6.488,6.488,6.488,510
2006-04-28,6.488,6.488,6.43,6.43,4040
2006-05-02,6.506,6.546,6.43,6.546,7310
2006-05-04,6.526,6.66,6.43,6.66,14055
