Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-12-05,36.285,38.098,35.377,35.468,5043
2007-12-06,36.875,36.875,35.423,36.557,1214
2007-12-07,36.601,36.601,36.285,36.593,791
2007-12-10,36.829,36.829,35.83,36.647,224
2007-12-11,36.783,38.098,36.783,38.098,298
2007-12-12,38.098,40.004,38.098,40.004,479
2007-12-13,41.364,41.364,41.364,41.364,26
2007-12-14,43.813,43.994,39.913,41.364,1509
2007-12-17,41.183,41.183,39.641,40.819,353
2007-12-18,40.819,40.819,40.819,40.819,10
2007-12-19,41.637,41.637,39.913,39.913,148
2007-12-20,39.641,39.641,38.371,38.461,1268
2007-12-21,38.143,40.004,38.143,40.004,143
2007-12-27,39.913,41.274,39.913,41.274,211
2007-12-28,41.637,41.637,41.637,41.637,1
2008-01-02,41.728,41.728,41.637,41.637,237
2008-01-03,40.819,40.819,39.913,40.819,518
2008-01-07,38.416,40.367,38.416,40.367,674
2008-01-09,39.368,39.459,39.006,39.459,1267
2008-01-10,39.459,39.459,39.459,39.459,783
2008-01-11,39.459,39.459,39.459,39.459,97
2008-01-15,38.552,39.459,38.552,38.552,124
2008-01-16,36.285,36.285,34.924,34.924,386
2008-01-17,36.285,36.285,34.47,34.47,255
2008-01-18,35.286,35.83,35.286,35.83,8732
2008-01-21,35.83,35.83,35.83,35.83,332
2008-01-22,35.377,35.377,35.377,35.377,1237
2008-01-23,35.377,37.191,35.377,37.191,5704
2008-01-24,38.098,38.552,36.738,37.646,7490
2008-01-25,37.191,37.646,37.191,37.646,2348
2008-01-28,37.646,38.098,37.646,38.098,827
2008-01-29,38.542,39.006,38.542,39.006,761
2008-01-30,38.998,39.187,38.998,39.142,612
2008-01-31,39.459,39.459,37.554,39.006,1661
2008-02-01,39.459,39.913,39.459,39.913,1185
2008-02-04,40.802,40.819,39.913,39.913,4239
2008-02-05,40.367,40.811,39.913,40.811,8558
2008-02-06,39.913,40.811,39.913,39.913,1467
2008-02-07,40.276,40.276,40.276,40.276,164
2008-02-08,40.258,40.276,38.552,39.913,10144
2008-02-11,39.903,39.903,39.903,39.903,10
2008-02-12,39.187,39.187,39.187,39.187,51
2008-02-13,38.098,40.819,38.098,40.819,17969
2008-02-14,40.819,41.681,40.819,40.819,4062
2008-02-15,39.923,40.811,39.913,40.811,1323
2008-02-18,40.004,41.728,39.459,41.718,3288
2008-02-19,40.819,41.681,40.728,40.819,3086
2008-02-20,41.047,41.092,41.047,41.092,1286
2008-02-21,41.699,41.728,41.699,41.728,2528
2008-02-22,41.364,41.999,41.364,41.999,29824
2008-02-26,41.591,41.881,39.923,41.817,1648
2008-02-27,40.984,41.728,40.984,41.728,577
2008-02-28,41.627,41.627,40.819,40.819,232
2008-02-29,39.923,39.923,39.006,39.006,891
2008-03-03,38.19,39.05,38.19,39.05,635
2008-03-04,39.006,39.006,38.461,38.461,11300
2008-03-07,38.915,39.006,38.098,38.098,1028
2008-03-10,39.006,39.006,39.006,39.006,10
2008-03-11,38.098,38.961,38.098,38.961,1182
2008-03-12,38.552,38.552,38.552,38.552,11588
2008-03-13,38.552,38.897,38.552,38.897,23
2008-03-14,38.552,38.97,38.552,38.97,331
2008-03-17,37.735,37.735,37.735,37.735,55
2008-03-18,38.098,38.098,38.098,38.098,308
2008-03-19,37.209,38.098,36.375,36.375,1140
2008-03-20,37.191,37.191,36.285,36.285,226
2008-03-25,37.646,37.646,37.637,37.646,143
2008-03-26,38.008,38.008,37.646,37.646,56
2008-03-27,37.191,37.637,35.377,37.637,2883
2008-03-28,38.054,38.054,38.054,38.054,421
2008-03-31,38.045,38.045,38.045,38.045,61
2008-04-01,38.054,38.054,38.045,38.045,4
2008-04-02,37.646,38.045,36.738,37.191,6818
2008-04-03,37.191,37.554,36.285,36.285,1804
2008-04-04,37.1,37.1,35.83,35.83,231
2008-04-07,36.285,36.738,36.285,36.557,4741
2008-04-08,35.423,37.191,35.423,37.191,1209
2008-04-09,37.191,37.191,36.566,36.566,227
2008-04-10,37.191,37.972,36.919,37.918,1877
2008-04-11,37.918,37.918,37.646,37.646,495
2008-04-14,37.735,37.735,36.285,36.285,2665
2008-04-15,37.646,37.646,37.646,37.646,39
2008-04-16,37.637,37.637,37.627,37.627,58
2008-04-17,37.637,37.646,36.285,36.285,19964
2008-04-18,37.173,37.173,36.466,36.466,6063
2008-04-21,36.285,36.285,36.285,36.285,413
2008-04-22,36.103,36.194,35.377,35.377,531
2008-04-23,35.83,35.83,35.83,35.83,495
2008-04-24,35.387,35.387,35.387,35.387,77
2008-04-25,35.387,35.423,35.387,35.423,110
2008-04-28,35.387,35.387,35.387,35.387,87
2008-04-29,36.276,36.285,35.74,35.74,17659
2008-04-30,35.377,35.377,35.377,35.377,778
2008-05-05,35.387,35.387,35.377,35.377,264
2008-05-06,35.377,35.377,35.377,35.377,75
2008-05-07,35.813,35.813,35.813,35.813,23
2008-05-08,35.377,35.377,35.377,35.377,23
2008-05-09,35.83,35.83,35.377,35.377,84
2008-05-12,34.488,34.488,34.47,34.47,11266
2008-05-13,34.47,34.47,34.47,34.47,23
2008-05-14,35.014,35.014,35.014,35.014,93
2008-05-15,34.016,34.016,33.563,33.563,7055
2008-05-16,33.563,33.563,33.563,33.563,10
2008-05-19,33.563,33.563,33.563,33.563,305
2008-05-20,33.563,33.563,33.563,33.563,27
2008-05-21,32.656,32.656,32.202,32.202,5974
2008-05-26,32.202,32.474,32.202,32.202,68
2008-05-27,32.202,32.202,31.749,31.749,75
2008-05-28,32.564,32.564,31.024,32.564,246
2008-05-29,32.656,32.656,32.656,32.656,10
2008-05-30,32.656,32.656,32.656,32.656,11
2008-06-02,31.84,31.84,31.84,31.84,243
2008-06-03,31.024,31.024,30.842,31.024,9294
2008-06-04,30.388,30.388,29.027,30.388,609
2008-06-05,30.842,30.842,30.842,30.842,10
2008-06-06,31.659,31.659,31.659,31.659,10
2008-06-09,32.067,32.067,30.66,32.021,99
2008-06-10,30.66,30.66,30.66,30.66,249
2008-06-11,30.298,30.842,29.3,30.842,429
2008-06-12,29.482,29.482,29.482,29.482,320
2008-06-13,29.482,30.479,29.482,30.479,291
2008-06-16,30.842,30.842,30.842,30.842,10
2008-06-17,30.842,30.842,29.482,30.842,192
