Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.1695,5.1695,4.9226,4.9226,32829
2005-01-04,4.9226,4.9588,4.8863,4.9226,17556
2005-01-05,4.8499,4.8863,4.3925,4.6757,61756
2005-01-06,4.6757,4.9226,4.5014,4.6393,74127
2005-01-07,4.6757,4.712,4.574,4.6031,72699
2005-01-10,4.6031,4.7483,4.2182,4.3925,53791
2005-01-11,4.2182,4.5014,3.8698,3.9061,190425
2005-01-12,4.0077,4.044,3.7972,3.9351,139406
2005-01-13,4.044,4.3272,3.9714,4.3272,160072
2005-01-14,4.3636,4.6393,4.3636,4.574,135480
2005-01-17,4.6031,4.6031,4.291,4.4651,50286
2005-01-18,4.3925,4.3925,4.044,4.0804,85205
2005-01-19,4.182,4.182,3.9351,4.1457,82165
2005-01-20,4.0804,4.1457,3.9714,4.044,42954
2005-01-21,4.1166,4.1166,4.0077,4.044,31302
2005-01-24,4.0077,4.1457,3.9061,4.1457,35743
2005-01-25,4.2182,4.2546,4.182,4.2546,15510
2005-01-26,4.291,4.291,4.182,4.2182,17844
2005-01-27,4.182,4.2182,4.044,4.1457,24177
2005-01-28,4.0804,4.2182,4.0804,4.182,31011
2005-01-31,4.182,4.7483,4.182,4.6031,251550
2005-02-01,4.712,4.712,4.3636,4.4651,91024
2005-02-02,4.5014,4.5014,4.3636,4.4289,23974
2005-02-03,4.3636,4.5014,4.3636,4.5014,17261
2005-02-04,4.5014,4.574,4.3925,4.5378,27925
2005-02-07,4.5378,4.6393,4.5014,4.574,49220
2005-02-08,4.574,4.6393,4.5378,4.574,35321
2005-02-09,4.6031,4.6393,4.5014,4.6393,53262
2005-02-10,4.6393,4.6757,4.574,4.6031,35251
2005-02-11,4.574,4.6393,4.3272,4.4651,59231
2005-02-14,4.4289,4.712,4.4289,4.574,80065
2005-02-15,4.6393,4.6393,4.4651,4.574,57217
2005-02-16,4.5378,4.574,4.5014,4.5014,34698
2005-02-17,4.5014,4.5014,4.291,4.3272,68676
2005-02-18,4.4651,4.4651,4.2182,4.3272,128060
2005-02-21,4.3636,4.3925,4.2182,4.291,35124
2005-02-22,4.2546,4.291,4.182,4.2546,25784
2005-02-23,4.2182,4.2546,4.1457,4.2182,22918
2005-02-24,4.2182,4.291,4.182,4.2546,39575
2005-02-25,4.2182,4.2546,4.182,4.2546,47638
2005-02-28,4.2546,4.2546,4.182,4.2546,39740
2005-03-01,4.2546,4.291,4.2182,4.291,14150
2005-03-02,4.291,4.5378,4.291,4.3925,79795
2005-03-03,4.3636,4.3636,4.291,4.3636,15501
2005-03-04,4.3636,4.3636,4.291,4.3272,4597
2005-03-07,4.3925,4.3925,4.291,4.291,11964
2005-03-08,4.291,4.3272,4.1457,4.291,42762
2005-03-09,4.2546,4.291,4.182,4.291,7413
2005-03-10,4.291,4.291,4.182,4.182,7545
2005-03-11,4.2182,4.2182,4.1457,4.182,9131
2005-03-14,4.182,4.182,3.9714,4.044,15959
2005-03-15,3.9714,4.1166,3.9714,4.1166,24788
2005-03-16,4.044,4.2182,4.0077,4.2182,43594
2005-03-17,4.182,4.2182,4.0804,4.2182,38156
2005-03-18,4.2546,4.3272,4.1457,4.3272,16651
2005-03-21,4.291,4.3636,4.2182,4.2182,14712
2005-03-22,4.291,4.291,4.2182,4.291,9838
2005-03-23,4.2546,4.291,4.182,4.291,16992
2005-03-24,4.2182,4.291,4.182,4.291,24284
2005-03-29,4.291,4.291,4.2182,4.291,12323
2005-03-30,4.182,4.2546,4.182,4.2182,5275
2005-03-31,4.182,4.291,4.182,4.2182,29895
2005-04-01,4.291,4.4289,4.182,4.2182,93050
2005-04-04,4.291,4.291,4.2182,4.2182,3910
2005-04-05,4.2182,4.2546,4.182,4.2182,5191
2005-04-06,4.2546,4.291,4.182,4.2546,21835
2005-04-07,4.2182,4.2546,4.182,4.2182,27865
2005-04-11,4.2182,4.2546,4.2182,4.2546,5307
2005-04-12,4.2182,4.2182,4.182,4.2182,3097
2005-04-13,4.2182,4.2546,4.2182,4.2546,18269
2005-04-14,4.2182,4.291,4.2182,4.2546,27952
2005-04-15,4.2182,4.2546,4.182,4.2182,21333
2005-04-18,4.2182,4.2182,4.182,4.2182,34606
2005-04-19,4.2182,4.2182,4.1457,4.2182,37782
2005-04-20,4.2182,4.2182,4.1457,4.182,33531
2005-04-21,4.1166,4.1166,4.0804,4.1166,19000
2005-04-22,4.1457,4.1457,4.044,4.1457,9414
2005-04-25,4.1457,4.1457,4.044,4.1166,5759
2005-04-26,4.1457,4.1457,4.044,4.0804,2970
2005-04-27,4.0804,4.1457,4.044,4.1166,20605
2005-04-28,4.0804,4.0804,3.9714,4.0077,17332
2005-04-29,3.9714,4.0804,3.9714,4.044,44492
2005-05-02,4.044,4.044,3.9714,4.0077,9324
2005-05-04,4.044,4.044,3.9351,4.044,3171
2005-05-05,4.0804,4.0804,4.0077,4.0804,2515
2005-05-06,4.044,4.044,3.9351,4.0077,7443
2005-05-09,4.0077,4.0077,3.8698,4.0077,24803
2005-05-10,3.9351,3.9714,3.9061,3.9714,1514
2005-05-11,3.9351,3.9351,3.8335,3.9061,16626
2005-05-12,3.8698,3.9061,3.7608,3.8335,22640
2005-05-13,3.8698,3.8698,3.6231,3.6593,25846
2005-05-16,3.7245,3.7245,3.3398,3.3761,71869
2005-05-17,3.2381,3.3761,3.2381,3.3761,20027
2005-05-18,3.4705,3.6231,3.3761,3.5867,36709
2005-05-19,3.7972,3.7972,3.6593,3.7245,39785
2005-05-20,3.7608,3.7608,3.5867,3.6593,8845
2005-05-23,3.6231,3.7245,3.5867,3.7245,13107
2005-05-24,3.7608,3.7608,3.5867,3.7245,7571
2005-05-25,3.7608,3.7608,3.6231,3.6955,10279
2005-05-27,3.6231,3.6955,3.6231,3.6955,11832
2005-05-30,3.6955,3.6955,3.6231,3.6593,6679
2005-05-31,3.5867,3.6593,3.5867,3.6593,7037
2005-06-01,3.5867,3.6231,3.5504,3.6231,8342
2005-06-02,3.6231,3.6231,3.4705,3.5504,12404
2005-06-03,3.5504,3.5867,3.4777,3.514,5826
2005-06-06,3.5867,3.6593,3.5504,3.6593,26104
2005-06-07,3.5867,3.6955,3.5867,3.6231,21748
2005-06-08,3.6231,3.8335,3.514,3.8335,55614
2005-06-09,3.8698,4.2182,3.8698,4.182,202055
2005-06-10,4.2182,4.3925,4.0077,4.182,168929
2005-06-13,4.1457,4.2182,4.044,4.182,20104
2005-06-14,4.182,4.182,3.9351,4.0077,57489
2005-06-15,4.044,4.1166,3.9714,4.1166,30349
2005-06-16,4.1457,4.1457,3.9714,4.1166,41344
2005-06-17,4.1457,4.1457,4.0077,4.1166,28990
2005-06-20,4.1166,4.1166,4.0804,4.1166,6895
2005-06-21,4.0804,4.1166,4.0804,4.1166,10766
2005-06-22,4.0804,4.291,4.0804,4.2182,43881
2005-06-23,4.291,4.5014,4.2182,4.4651,90989
2005-06-24,4.4289,4.5014,4.3636,4.4289,45397
2005-06-27,4.3925,4.4651,4.3636,4.4651,16633
2005-06-28,4.4651,4.5378,4.4651,4.5014,14654
2005-06-29,4.5378,4.712,4.5378,4.5378,118398
2005-06-30,4.4289,4.574,4.4289,4.5378,36589
2005-07-01,4.5378,4.5378,4.4289,4.4651,20010
2005-07-04,4.3925,4.6393,4.3636,4.574,63329
2005-07-05,4.574,4.6393,4.4289,4.4289,26679
2005-07-06,4.4651,4.4651,4.3636,4.3636,43939
2005-07-07,4.3636,4.5014,4.2546,4.5014,48526
2005-07-08,4.4289,4.4651,4.3925,4.4651,5966
2005-07-11,4.4651,4.5014,4.3925,4.4651,7789
2005-07-12,4.5014,4.5014,4.3925,4.4289,3375
2005-07-13,4.4289,4.4289,4.291,4.3272,11092
2005-07-14,4.3272,4.3272,4.182,4.3272,41186
2005-07-15,4.3272,4.3272,4.2182,4.2182,7988
2005-07-18,4.2182,4.2182,4.1457,4.2182,15014
2005-07-19,4.1166,4.2182,4.1166,4.2182,20449
2005-07-20,4.291,4.3925,4.291,4.3925,53332
2005-07-21,4.4289,4.5014,4.3272,4.4289,60729
2005-07-22,4.5014,4.5014,4.4289,4.4651,14770
2005-07-25,4.3925,4.5014,4.3925,4.5014,3720
2005-07-26,4.5014,4.574,4.4289,4.574,22700
2005-07-27,4.574,4.9226,4.5014,4.7483,210895
2005-07-28,4.8863,4.8863,4.7483,4.7483,61911
2005-07-29,4.7846,4.8137,4.712,4.7846,100488
2005-08-01,4.712,4.8137,4.6757,4.7483,17149
2005-08-02,4.7483,4.7483,4.574,4.6393,36283
2005-08-03,4.6757,4.7846,4.6393,4.6757,63492
2005-08-04,4.712,4.7483,4.6393,4.7483,3949
2005-08-05,4.6757,4.7846,4.6757,4.7846,26259
2005-08-08,4.6393,4.7846,4.6393,4.7846,3448
2005-08-09,4.7846,4.7846,4.6393,4.712,8450
2005-08-10,4.712,4.712,4.5378,4.574,21997
2005-08-11,4.574,4.6393,4.574,4.6031,23405
2005-08-12,4.6393,4.6757,4.6031,4.6031,11139
2005-08-16,4.6031,4.712,4.6031,4.712,23972
2005-08-17,4.7846,4.9952,4.712,4.9226,249417
2005-08-18,4.9226,4.9226,4.8499,4.8499,18850
2005-08-19,4.8137,4.9226,4.7846,4.7846,58709
2005-08-22,4.9226,4.9226,4.8137,4.8499,12072
2005-08-23,4.8863,4.8863,4.7846,4.8499,12123
2005-08-24,4.8863,4.8863,4.7846,4.8863,11799
2005-08-25,4.8499,4.8863,4.8499,4.8863,13604
2005-08-26,4.8863,4.9226,4.8863,4.9226,9577
2005-08-29,4.8863,5.0605,4.8863,5.0605,361174
2005-08-30,5.1331,5.3072,5.0605,5.2057,131671
2005-08-31,5.271,5.3072,5.1331,5.242,32894
2005-09-01,5.1331,5.2057,5.0968,5.1695,19030
2005-09-02,5.1331,5.1695,4.9952,5.1331,46377
2005-09-05,5.1331,5.1331,5.0605,5.1331,1612
2005-09-06,5.0968,5.0968,5.0315,5.0605,10024
2005-09-07,4.9952,5.0315,4.9588,4.9952,9882
2005-09-08,4.9952,5.0315,4.9952,5.0315,15031
2005-09-09,5.0315,5.0968,4.9952,4.9952,12091
2005-09-12,4.9588,4.9588,4.7846,4.8863,12065
2005-09-13,4.7846,4.8863,4.7846,4.8863,39628
2005-09-14,4.8137,4.9952,4.8137,4.9952,9517
2005-09-15,5.0315,5.0315,4.9226,4.9226,2045
2005-09-16,4.8863,5.0315,4.8499,5.0315,20833
2005-09-19,5.0315,5.0968,4.9952,5.0315,16958
2005-09-20,5.1331,5.3436,5.0605,5.242,150413
2005-09-21,5.271,5.4526,5.271,5.3799,110857
2005-09-22,5.4163,5.4526,5.271,5.271,57614
2005-09-23,5.3436,5.3436,5.1331,5.3072,21094
2005-09-26,5.3799,5.4163,5.271,5.3799,27666
2005-09-27,5.3799,5.4163,5.3436,5.3799,32863
2005-09-28,5.4163,5.4816,5.3799,5.4526,50221
2005-09-29,5.4163,5.4816,5.3799,5.4163,21136
2005-09-30,5.4526,5.4526,5.3436,5.3799,37221
2005-10-03,5.3072,5.3799,5.271,5.3436,26337
2005-10-04,5.3436,5.3436,5.271,5.271,15835
2005-10-05,5.1695,5.3072,5.1331,5.2057,10174
2005-10-06,5.242,5.242,5.0605,5.1695,24530
2005-10-07,5.1331,5.1331,4.8499,5.0605,36768
2005-10-10,5.0315,5.0968,5.0315,5.0605,8363
2005-10-11,5.0315,5.0315,4.9226,4.9588,102903
2005-10-12,4.9226,5.1695,4.9226,5.0968,40569
2005-10-13,4.9588,5.0315,4.9226,4.9952,46542
2005-10-14,4.9588,5.1331,4.9588,5.1331,70353
2005-10-17,5.271,5.271,5.0968,5.1331,3620
2005-10-18,5.242,5.242,5.0605,5.1331,10465
2005-10-19,5.1695,5.1695,5.0968,5.1695,70272
2005-10-20,5.1695,5.2057,5.0968,5.2057,35274
2005-10-21,5.1331,5.1331,4.9226,4.9952,39029
2005-10-24,5.1331,5.1331,4.712,4.9952,175289
2005-10-25,5.0605,5.0968,5.0315,5.0968,34605
2005-10-26,5.2057,5.242,5.1331,5.2057,56266
2005-10-27,5.2057,5.2057,5.0315,5.1331,39701
2005-10-28,5.2057,5.2057,5.0605,5.2057,7228
2005-10-31,5.271,5.271,4.9952,5.271,22345
2005-11-02,5.242,5.242,5.1695,5.242,7139
2005-11-03,5.2057,5.242,5.1695,5.2057,43922
2005-11-04,5.2057,5.2057,5.2057,5.2057,3424
2005-11-07,5.242,5.242,5.0605,5.1331,2972
2005-11-08,5.0605,5.1695,5.0605,5.1695,14483
2005-11-09,5.242,5.242,5.0605,5.242,10405
2005-11-10,5.2057,5.242,5.0968,5.242,5108
2005-11-14,5.0968,5.2057,5.0968,5.0968,2985
2005-11-15,5.0968,5.2057,5.0605,5.2057,9122
2005-11-16,5.2057,5.2057,5.0968,5.2057,12294
2005-11-17,5.2057,5.2782,5.2057,5.242,28052
2005-11-18,5.2057,5.3872,5.1695,5.3509,19673
2005-11-21,5.3872,5.5251,5.3146,5.4961,73705
2005-11-22,5.5251,5.6341,5.5251,5.5251,112710
2005-11-23,5.3872,5.5251,5.3872,5.4961,35846
2005-11-24,5.4235,5.5251,5.3872,5.4961,37338
2005-11-25,5.4961,5.5251,5.4235,5.4235,32810
2005-11-28,5.4235,5.4961,5.4235,5.4961,31656
2005-11-29,5.4961,6.1714,5.4961,6.1714,242794
2005-11-30,6.1423,6.2076,5.8882,6.0697,76833
2005-12-01,6.1423,6.2439,5.9971,6.2076,52999
2005-12-02,6.106,6.2802,6.0333,6.2439,60965
2005-12-05,6.2802,6.3165,6.1714,6.3165,67202
2005-12-06,6.3529,6.6432,6.3165,6.5344,103644
2005-12-07,6.5706,6.6432,6.3891,6.4254,64143
2005-12-08,6.3165,6.4616,6.0333,6.1714,78750
2005-12-09,6.0333,6.3529,6.0333,6.3165,36262
2005-12-12,6.3165,6.4616,6.2439,6.4616,11921
2005-12-13,6.4254,6.6432,6.4254,6.607,38493
2005-12-14,6.607,7.0353,6.607,6.9265,152470
2005-12-15,6.9627,7.2895,6.9265,7.2531,118857
2005-12-16,7.2895,7.2895,6.9627,7.1442,29625
2005-12-19,7.1805,7.4636,7.1079,7.3257,52044
2005-12-20,7.1805,7.2895,7.1442,7.2895,34213
2005-12-21,7.1805,7.3257,7.1805,7.1805,205336
2005-12-22,7.2168,7.2531,7.1079,7.2168,46623
2005-12-23,7.1805,7.3257,7.1805,7.1805,45524
2005-12-27,7.7904,7.7904,7.2168,7.4999,48839
2005-12-28,7.3621,7.3983,7.2531,7.3257,57538
2005-12-29,7.3983,7.3983,7.2168,7.3257,35784
2005-12-30,7.2168,7.3621,7.1805,7.3257,31829
2006-01-02,7.3983,7.3983,7.1805,7.3621,25767
2006-01-03,7.3621,7.4636,7.3621,7.4636,60757
2006-01-04,7.5363,7.6815,7.4636,7.6088,89593
2006-01-05,7.6815,7.6815,7.3983,7.4999,13199
2006-01-06,7.6088,7.6088,7.4999,7.5725,49922
2006-01-09,7.5725,7.5725,7.3257,7.3983,52051
2006-01-10,7.1805,7.3257,7.1079,7.3257,29272
2006-01-11,7.2895,7.3621,7.1805,7.2895,46833
2006-01-12,7.3257,7.4346,7.1805,7.2895,42196
2006-01-13,7.2168,7.3621,7.1805,7.3257,28758
2006-01-16,7.2895,7.3983,7.2895,7.3257,11930
2006-01-17,7.3621,7.3983,7.2531,7.3257,43574
2006-01-18,7.2531,7.7904,7.2531,7.5363,138584
2006-01-19,7.6088,7.6815,7.4346,7.5363,25038
2006-01-20,7.6452,7.7178,7.6088,7.6815,74538
2006-01-23,7.6815,7.7541,7.6088,7.7541,65260
2006-01-24,7.7541,7.7904,7.7178,7.7541,44672
2006-01-25,7.7178,7.7904,7.7178,7.7904,92139
2006-01-26,7.7904,8.1825,7.7904,8.1462,85089
2006-01-27,8.1825,8.2187,7.9719,8.1099,26551
2006-01-30,8.3279,8.3279,7.8993,8.0082,21299
