Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.64,8.64,8.4,8.56,7594
2005-01-04,8.52,8.52,8.32,8.4,14141
2005-01-05,8.36,8.36,7.8,7.8,42323
2005-01-06,7.92,8.16,7.88,8.04,31640
2005-01-07,8.04,8.24,7.92,8.04,34637
2005-01-10,8.04,8.2,7.84,8,14597
2005-01-11,7.96,8,7.52,7.72,10929
2005-01-12,7.76,8,7.64,7.92,15397
2005-01-13,7.92,8.04,7.72,7.96,21649
2005-01-14,8.24,8.48,8,8.16,98330
2005-01-17,8.24,8.24,8,8.16,10660
2005-01-18,8.04,8.12,7.88,8,21783
2005-01-19,7.84,8,7.76,8,7456
2005-01-20,7.8,8,7.76,7.76,8196
2005-01-21,7.84,7.84,7.6,7.72,7206
2005-01-24,7.68,7.68,7.36,7.56,10116
2005-01-25,7.68,7.72,7.44,7.56,20622
2005-01-26,7.6,7.84,7.44,7.6,34094
2005-01-27,7.56,7.8,7.52,7.68,4243
2005-01-28,7.72,7.76,7.56,7.72,13433
2005-01-31,7.84,8.36,7.76,8.28,74632
2005-02-01,8.36,8.64,8,8.24,96984
2005-02-02,8.32,8.52,8.04,8.24,50507
2005-02-03,8.32,8.36,8.12,8.16,7237
2005-02-04,8.12,8.16,8,8.12,23181
2005-02-07,8.12,8.16,7.92,8.12,23336
2005-02-08,8.12,8.12,7.92,7.92,12621
2005-02-09,7.92,8,7.84,7.88,8606
2005-02-10,7.88,8.36,7.76,8.36,45615
2005-02-11,8.36,8.36,8.08,8.12,10992
2005-02-14,8.08,8.24,8.04,8.04,9855
2005-02-15,8.04,8.4,8.04,8.24,31686
2005-02-16,8.12,8.32,8.12,8.24,12402
2005-02-17,8.32,8.32,8.08,8.16,7465
2005-02-18,8.12,8.16,8,8.16,14201
2005-02-21,8.16,8.28,8.08,8.08,5795
2005-02-22,8.24,8.24,8,8.16,18504
2005-02-23,8.12,8.2,8,8,14027
2005-02-24,8.12,8.4,8,8.4,53232
2005-02-25,8.44,8.48,8.2,8.32,38303
2005-02-28,8.48,8.72,8.04,8.36,55899
2005-03-01,8.28,8.6,8.16,8.36,16782
2005-03-02,8.56,9.04,8.4,8.68,172002
2005-03-03,8.64,8.84,8.48,8.52,32762
2005-03-04,8.48,8.64,8.12,8.24,33453
2005-03-07,8.32,8.32,8,8,63949
2005-03-08,8,8.08,7.88,8.04,24134
2005-03-09,8.08,8.08,7.96,8,9806
2005-03-10,8,8.04,7.88,8,22998
2005-03-11,8,8,7.88,8,9543
2005-03-14,8,8,7.52,7.72,14146
2005-03-15,7.52,7.72,7.44,7.6,12590
2005-03-16,7.44,7.52,7.24,7.24,16639
2005-03-17,7.04,7.2,6.64,6.88,25148
2005-03-18,6.88,7.36,6.88,7.36,25578
2005-03-21,7.4,7.4,6.84,6.96,22582
2005-03-22,6.96,7.2,6.96,7.12,4175
2005-03-23,7.04,7.04,6.92,7.04,9460
2005-03-24,6.92,7.12,6.92,7.04,5955
2005-03-29,7.12,7.68,7.12,7.44,42314
2005-03-30,7.52,7.52,7.2,7.36,6208
2005-03-31,7.44,7.52,7.32,7.44,6328
2005-04-01,7.44,7.44,7.28,7.28,4907
2005-04-04,7.28,7.4,7.08,7.28,4554
2005-04-05,7.32,7.32,6.92,7.08,11727
2005-04-06,7.2,7.24,7.16,7.2,5193
2005-04-07,7.2,7.24,7.2,7.2,4985
2005-04-11,7.28,7.28,7.04,7.24,6638
