Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-09-13,10.108,10.92,8.7359,8.7981,1337076
2006-09-14,9.1659,9.1659,8.5487,8.5487,187470
2006-09-15,8.5293,8.5293,8.1736,8.4236,120055
2006-09-18,8.5487,8.5487,8.2357,8.2861,45230
2006-09-19,8.2047,8.2047,7.9244,7.9866,88701
2006-09-20,8.0176,8.2047,7.9368,8.1736,60050
2006-09-21,8.0805,8.4857,7.9866,8.1426,52966
2006-09-22,8.1115,8.3859,8.0494,8.292,40223
2006-09-25,8.2357,8.5487,8.2357,8.4732,46679
2006-09-26,8.4236,8.4857,8.255,8.3733,27893
2006-09-27,8.1872,8.2357,8.0494,8.0621,38229
2006-09-28,8.1115,8.3481,8.1115,8.292,9592
2006-09-29,8.1494,8.1494,8.1115,8.1426,9019
2006-10-02,8.1426,8.1678,8.1115,8.1115,7337
2006-10-03,8.1115,8.1115,7.9244,8.068,26391
2006-10-04,7.9933,8.0428,7.8618,8.0428,7703
2006-10-05,8.1057,8.1426,7.943,7.9556,38276
2006-10-06,8.0805,8.1736,7.9618,8.1736,25203
2006-10-09,8.4111,8.4111,8.2483,8.2483,10889
2006-10-10,8.2483,8.2667,8.1426,8.2047,10734
2006-10-11,8.2047,8.2861,8.1736,8.2357,18321
2006-10-12,8.1308,8.255,8.1183,8.1426,11770
2006-10-13,8.1494,8.1736,8.0805,8.0805,12903
2006-10-16,8.0621,8.2357,8.0621,8.1115,12181
2006-10-17,8.0805,8.1736,8.0176,8.1678,14758
2006-10-18,8.1736,8.2299,8.099,8.2047,15797
2006-10-19,8.2231,8.4857,8.1611,8.4362,45545
2006-10-20,8.542,8.8541,8.542,8.7359,51027
2006-10-23,8.9786,8.9786,8.5487,8.7107,16958
2006-10-24,8.5671,8.8595,8.4236,8.6105,13379
2006-10-25,8.5545,8.7359,8.5234,8.5924,21348
2006-10-26,8.6736,8.8171,8.6736,8.7909,21894
2006-10-27,8.7981,8.9163,8.7792,8.7981,33841
2006-10-30,8.8658,8.8658,8.698,8.8288,17449
2006-10-31,8.91,8.91,8.7296,8.8288,12206
2006-11-02,8.8288,8.8847,8.7665,8.8288,11108
2006-11-03,8.8288,9.1535,8.8288,9.1031,39343
2006-11-06,9.2344,9.4838,9.2344,9.3287,84226
2006-11-07,9.4533,9.4533,8.891,9.085,35760
2006-11-08,9.0917,9.1107,8.9542,9.0469,13572
2006-11-09,9.0469,9.2725,8.9849,9.0155,14059
2006-11-10,9.0469,9.2658,8.9912,9.1964,9437
2006-11-13,9.1716,9.1716,8.9542,9.1107,18277
2006-11-14,9.0783,9.1031,8.8658,9.1031,19858
2006-11-15,9.0469,9.0469,8.5545,8.7909,16410
2006-11-16,8.68,8.7612,8.6736,8.7359,6739
2006-11-17,8.7413,8.8541,8.7107,8.7359,2823
2006-11-20,8.6736,8.8477,8.6232,8.8477,10885
2006-11-21,8.7612,8.9786,8.754,8.8658,7026
2006-11-22,8.8108,9.0469,8.8108,8.9722,17039
2006-11-23,9.0469,9.1107,8.9849,9.0783,22750
2006-11-24,9.1107,9.2915,8.9849,9.2915,42327
2006-11-27,9.322,9.559,9.1107,9.2973,33921
2006-11-28,9.2973,9.3401,9.1155,9.2973,18341
2006-11-29,9.2973,9.528,9.2344,9.521,25775
2006-11-30,9.609,10.233,9.609,10.17,96518
2006-12-01,10.42,11.138,10.42,10.982,119190
2006-12-04,11.107,11.511,10.67,10.7,42387
2006-12-05,10.583,10.826,10.296,10.308,26904
2006-12-06,10.308,10.308,9.671,10.108,39939
2006-12-07,10.296,10.296,9.934,10.102,3374
2006-12-08,9.984,10.233,9.871,10.233,7084
2006-12-11,10.3,10.346,9.984,10.17,10507
2006-12-12,9.989,10.14,9.766,9.766,17978
2006-12-13,9.766,9.859,9.59,9.671,21953
2006-12-14,9.684,9.766,9.421,9.421,10498
2006-12-15,9.3896,9.421,8.7359,9.421,46692
2006-12-18,9.4277,9.4277,9.2973,9.3601,10616
2006-12-19,9.1716,9.2344,8.4236,8.4236,16103
2006-12-20,8.5545,9.1716,8.5545,8.6484,28568
2006-12-21,8.6736,9.2658,8.6736,8.8288,12707
2006-12-22,8.8658,8.891,8.7855,8.8785,15586
2006-12-27,9.0536,9.64,9.0536,9.59,18111
2006-12-28,9.3601,9.571,9.0783,9.571,5358
2006-12-29,9.2221,9.421,9.2221,9.4086,1804
2007-01-02,9.2658,9.734,9.2658,9.622,9222
2007-01-03,9.609,9.64,9.3896,9.4086,1511
2007-01-04,9.2973,9.3601,9.0407,9.3525,8219
2007-01-05,8.9217,9.2658,8.9217,9.2658,9794
2007-01-08,9.2839,9.2973,9.204,9.2344,6970
2007-01-09,9.1716,9.2973,9.1716,9.2973,14539
2007-01-10,9.2973,9.3601,9.1792,9.3601,13834
2007-01-11,9.3601,9.4771,9.3601,9.4467,6586
2007-01-12,9.4467,9.4838,9.3601,9.4591,5102
2007-01-15,9.515,9.921,9.515,9.79,10691
2007-01-16,9.908,9.984,9.734,9.734,20546
2007-01-17,9.934,9.952,9.734,9.946,23026
2007-01-18,9.964,10.233,9.964,10.014,52113
2007-01-19,9.865,9.952,9.808,9.952,3154
2007-01-22,9.815,9.915,9.3601,9.915,5625
2007-01-23,9.546,9.859,9.521,9.727,6863
2007-01-24,9.559,9.734,9.546,9.671,5547
2007-01-25,9.671,9.671,9.4895,9.609,11346
2007-01-26,9.4838,9.4838,9.303,9.4771,14818
2007-01-29,9.3601,9.3896,9.2915,9.3896,7159
2007-01-30,9.3601,9.3896,9.322,9.322,7577
2007-01-31,9.3287,9.3601,9.2344,9.2344,7508
2007-02-01,9.2478,9.3601,9.1964,9.2973,10733
2007-02-02,9.2097,9.3477,9.2097,9.3401,4108
2007-02-05,9.671,9.671,9.303,9.4838,6638
2007-02-06,9.3096,9.509,9.3096,9.3601,7345
2007-02-07,9.3896,9.3896,9.2973,9.3601,4418
2007-02-08,9.4591,9.859,9.3601,9.609,57399
2007-02-09,9.603,9.722,9.44,9.546,12079
2007-02-12,9.2344,9.2344,8.7665,9.1716,26960
2007-02-13,8.9849,9.0536,8.7413,8.9912,150667
2007-02-14,8.9786,8.9786,8.8288,8.8847,11541
2007-02-15,8.8595,8.891,8.8477,8.891,5186
2007-02-16,8.8595,9.204,8.8595,9.0469,8628
2007-02-19,9.1107,9.3601,8.9849,9.3477,23679
2007-02-20,9.3477,9.671,9.2097,9.566,18388
2007-02-21,9.671,9.671,9.546,9.546,5999
2007-02-22,9.4895,9.4895,9.204,9.3525,6224
2007-02-23,9.2973,9.2973,9.0469,9.1412,11947
2007-02-26,9.2287,9.3601,9.2287,9.3601,4671
2007-02-27,9.3601,9.3601,8.6736,8.891,19975
2007-02-28,8.7107,8.9722,8.6105,8.9416,8636
2007-03-01,8.8595,8.9416,8.6105,8.9416,6971
2007-03-02,8.9163,8.9849,8.6105,8.9849,5381
2007-03-05,8.4983,8.7044,8.4983,8.6736,5493
2007-03-06,8.7359,8.7359,8.6168,8.7296,583
2007-03-07,9.0155,9.0783,8.7413,9.0155,6724
2007-03-08,8.7981,9.1031,8.7981,9.1031,6165
2007-03-09,8.8595,9.1412,8.8595,9.0469,12333
2007-03-12,8.8974,9.0726,8.891,9.0726,5247
2007-03-13,8.8108,9.0593,8.7981,8.9722,12245
2007-03-14,8.7359,9.0536,8.4295,9.0155,16367
2007-03-15,9.0155,9.0155,8.68,8.9217,46657
2007-03-16,9.0155,9.2658,8.7792,9.1792,167499
2007-03-19,9.1792,9.3601,9.1107,9.3601,47903
2007-03-20,9.421,9.4467,9.303,9.3601,13481
2007-03-21,9.3601,9.546,9.3601,9.546,9665
2007-03-22,9.4648,9.541,9.4039,9.421,33519
2007-03-23,9.4039,9.671,9.4039,9.546,41547
2007-03-26,9.671,9.671,9.4838,9.4895,92424
2007-03-27,9.4895,9.659,9.4895,9.609,62179
2007-03-28,9.659,9.659,9.553,9.64,18710
2007-03-29,9.659,9.671,9.4838,9.671,24195
2007-03-30,9.577,9.671,9.3601,9.671,20481
2007-04-02,9.3648,9.64,9.3601,9.64,11737
2007-04-03,9.3648,9.628,9.3601,9.609,13059
