Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,3.0738,3.0738,3.0145,3.0145,34946
2005-01-04,3.0145,3.0738,3.0145,3.0541,24738
2005-01-05,2.9948,3.064,2.9948,3.0343,36262
2005-01-06,2.975,2.9948,2.9453,2.9453,70277
2005-01-07,2.9157,3.0145,2.9157,2.9651,217964
2005-01-10,2.9651,2.9849,2.9453,2.9849,58207
2005-01-11,2.9651,2.9849,2.9256,2.9651,7244
2005-01-12,2.9355,3.064,2.9355,3.0442,14569
2005-01-13,2.975,3.0837,2.975,3.064,65492
2005-01-14,3.0145,3.0541,3.0145,3.0145,23645
2005-01-17,2.9355,3.0244,2.8663,3.0244,41978
2005-01-18,3.0244,3.0244,2.9552,2.9948,21379
2005-01-19,2.886,3.0837,2.886,3.0837,73393
2005-01-20,2.975,3.0837,2.975,3.0738,64186
2005-01-21,3.0145,3.1134,3.0047,3.0837,43384
2005-01-24,3.064,3.1331,3.064,3.1331,11949
2005-01-25,3.1331,3.1331,3.064,3.1134,67303
2005-01-26,3.1233,3.1628,3.1035,3.1628,62588
2005-01-27,3.1727,3.1727,3.0837,3.1628,10735
2005-01-28,3.1331,3.1331,3.064,3.0738,48241
2005-01-31,3.0244,3.1529,3.0145,3.1134,36403
2005-02-01,3.064,3.1529,3.064,3.143,29756
2005-02-02,3.0837,3.0936,3.064,3.0936,25072
2005-02-03,3.0244,3.0541,3.0244,3.0541,9551
2005-02-04,3.0442,3.0837,3.0442,3.064,57600
2005-02-07,3.0442,3.0541,2.9552,3.0343,45651
2005-02-08,3.0442,3.0442,2.9552,2.9651,14377
2005-02-09,2.9651,3.0145,2.9157,3.0145,43739
2005-02-10,3.0343,3.064,2.9651,2.9948,39843
2005-02-11,2.9948,3.064,2.9948,3.064,320355
2005-02-14,3.064,3.0738,2.9948,3.0541,12920
2005-02-15,3.0541,3.064,3.0047,3.0047,8762
2005-02-16,3.0145,3.064,3.0047,3.064,30333
2005-02-17,3.064,3.064,3.0244,3.064,41998
2005-02-18,3.064,3.1134,3.064,3.0936,83926
2005-02-21,3.0936,3.1134,3.0442,3.0541,246243
2005-02-22,2.975,3.0738,2.975,3.0738,116151
2005-02-23,3.0047,3.0541,2.9651,3.0541,44396
2005-02-24,3.064,3.0738,3.0244,3.0738,27874
2005-02-25,3.064,3.1134,3.064,3.0738,79029
2005-02-28,3.1035,3.1233,3.0936,3.0936,81953
2005-03-01,3.0837,3.1134,3.0837,3.0936,23675
2005-03-02,3.064,3.0738,3.064,3.064,37830
2005-03-03,3.0936,3.1134,3.0936,3.1035,25284
2005-03-04,3.0738,3.1035,3.0738,3.1035,3683
2005-03-07,3.1035,3.1331,3.1035,3.1331,35897
2005-03-08,3.143,3.4099,3.143,3.3506,294464
2005-03-09,3.3407,3.4,3.2715,3.3703,120319
2005-03-10,3.3012,3.3308,3.3012,3.3012,23918
2005-03-11,3.3012,3.311,3.2122,3.2122,22036
2005-03-14,3.2616,3.2616,3.1331,3.1331,17048
2005-03-15,3.1233,3.1628,3.1233,3.1331,32609
2005-03-16,3.1134,3.1628,3.064,3.0738,47138
2005-03-17,3.0145,3.2616,2.9948,3.1134,15784
2005-03-18,3.0837,3.143,3.0837,3.1134,109250
2005-03-21,3.0837,3.143,3.0837,3.1134,46440
2005-03-22,3.0738,3.1331,3.0738,3.1331,25689
2005-03-23,3.1331,3.1529,3.064,3.143,23392
2005-03-24,3.143,3.143,3.1134,3.1134,25335
2005-03-29,3.1134,3.1233,3.1134,3.1233,2732
2005-03-30,3.2419,3.2616,3.1134,3.2122,23362
2005-03-31,3.1727,3.2517,3.1529,3.1924,5656
2005-04-01,3.143,3.2419,3.1331,3.2419,7993
2005-04-04,3.2419,3.2419,3.1331,3.143,8833
2005-04-05,3.143,3.232,3.143,3.232,263
2005-04-06,3.1529,3.232,3.1529,3.232,51
2005-04-07,3.1727,3.2419,3.1628,3.2122,15318
2005-04-11,3.2122,3.2715,3.2122,3.2616,119631
2005-04-12,3.232,3.2616,3.232,3.232,24454
2005-04-13,3.2221,3.2616,3.2122,3.2122,30980
2005-04-14,3.2122,3.2122,3.2122,3.2122,17382
2005-04-15,3.2122,3.2419,3.2122,3.2221,5727
2005-04-18,3.2122,3.2122,3.064,3.064,27985
2005-04-19,3.0738,3.1035,3.0738,3.1035,8398
2005-04-20,3.0936,3.1628,3.0936,3.1628,173234
2005-04-21,3.1035,3.1233,3.1035,3.1035,17372
2005-04-22,3.0936,3.2122,3.0936,3.2122,215698
2005-04-25,3.1529,3.1628,3.1529,3.1628,7942
2005-04-26,3.1628,3.1628,3.1529,3.1529,12819
2005-04-27,3.1628,3.1628,3.1628,3.1628,9126
2005-04-28,3.1628,3.1826,3.1529,3.1628,17220
2005-04-29,3.1727,3.2023,3.1727,3.2023,4664
2005-05-04,3.2122,3.2122,3.1529,3.1529,5261
2005-05-05,3.1529,3.2023,3.1529,3.2023,1224
2005-05-06,2.9651,3.1727,2.9157,3.1628,9723
2005-05-09,3.0047,3.1134,3.0047,3.0244,5292
2005-05-10,3.0442,3.0442,2.9948,3.0145,3228
2005-05-11,2.9849,3.064,2.975,3.064,56760
2005-05-12,3.064,3.064,2.975,2.9849,3136
2005-05-13,3.0145,3.0145,2.9651,2.9651,2813
2005-05-16,2.9651,3.0145,2.9157,2.9651,15642
2005-05-17,2.9157,2.9157,2.9157,2.9157,9834
2005-05-18,2.9651,2.9651,2.886,2.9453,46541
2005-05-19,2.9453,3.0145,2.9453,2.9948,19881
2005-05-20,3.0145,3.0343,3.0145,3.0145,16279
2005-05-23,3.0244,3.0541,2.9651,3.0541,1356
2005-05-24,2.975,2.975,2.975,2.975,51
2005-05-25,2.9651,2.975,2.9651,2.9651,9612
2005-05-27,2.9651,3.0047,2.9058,3.0047,5362
2005-05-30,2.8663,3.0244,2.8663,3.0145,6111
2005-05-31,2.9552,3.0145,2.9453,3.0145,25395
2005-06-01,3.0145,3.0145,3.0145,3.0145,607
2005-06-02,3.0145,3.0145,2.9453,2.9651,739
2005-06-03,2.9453,2.9453,2.9453,2.9453,1143
