Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-04,2.2353,2.3026,2.2353,2.3026,1879
2005-01-05,2.2353,2.2606,2.1763,2.2606,6133
2005-01-06,2.1846,2.2606,2.1763,2.2606,1716
2005-01-07,2.3364,2.5644,2.2943,2.5137,46118
2005-01-10,2.4713,2.4713,2.404,2.404,12010
2005-01-12,2.3618,2.5895,2.345,2.4713,11125
2005-01-13,2.5811,2.6486,2.5052,2.5557,31777
2005-01-14,2.5644,2.5726,2.5221,2.5557,12517
2005-01-17,2.5644,2.5644,2.5137,2.5137,4714
2005-01-18,2.5137,2.5388,2.4966,2.4966,4105
2005-01-19,2.4966,2.4966,2.4966,2.4966,1530
2005-01-20,2.4378,2.4378,2.4378,2.4378,238
2005-01-21,2.5137,2.5137,2.4713,2.5137,4767
2005-01-24,2.5137,2.5137,2.5137,2.5137,2267
2005-01-25,2.5137,2.5137,2.3871,2.4884,10413
2005-01-26,2.4884,2.5052,2.4293,2.4293,2874
2005-01-27,2.3871,2.4713,2.3871,2.4713,1530
2005-01-28,2.4209,2.5137,2.4124,2.5137,4668
2005-01-31,2.5137,2.5137,2.4713,2.4713,1653
2005-02-01,2.5137,2.5137,2.4293,2.4293,1967
2005-02-02,2.4378,2.5052,2.4378,2.4713,6108
2005-02-03,2.4461,2.5052,2.4461,2.5052,1911
2005-02-09,2.5811,3.5595,2.5811,3.5595,287352
2005-02-10,3.7452,4.1078,3.2644,3.3402,475803
2005-02-11,3.3571,3.3738,2.9354,2.9354,103835
2005-02-14,2.8174,2.927,2.7245,2.8933,63241
2005-02-15,2.8512,2.8933,2.7751,2.8512,18742
2005-02-16,2.7751,2.9186,2.7667,2.8763,17633
2005-02-17,2.8848,2.8848,2.7667,2.7835,9579
2005-02-18,2.7835,3.0367,2.6824,2.8512,48787
2005-02-21,2.9775,3.3909,2.9775,3.3656,238344
2005-02-22,3.1967,3.2896,3.0788,3.1293,155917
2005-02-23,3.1041,3.1378,3.0197,3.0959,45470
2005-02-24,3.1041,3.2221,3.0028,3.1041,40797
2005-02-25,3.1125,3.1632,3.045,3.1041,10506
2005-02-28,3.0367,3.1041,2.9437,2.986,12893
2005-03-01,2.9775,3.0704,2.8848,2.9775,14824
2005-03-02,2.927,2.927,2.8341,2.8425,12350
2005-03-03,2.9354,3.0112,2.8933,2.9354,12047
2005-03-04,2.9775,3.1041,2.9354,3.0959,16680
2005-03-07,3.0534,3.062,2.9437,3.0028,10979
2005-03-08,3.045,3.062,2.927,3.062,11027
2005-03-09,3.062,3.062,2.9607,3.0197,4858
2005-03-10,3.0197,3.0197,2.9607,3.0112,8892
2005-03-11,3.0112,3.1546,2.9524,3.0871,18608
2005-03-14,3.1378,3.1378,2.9775,3.0112,12978
2005-03-15,3.0534,3.2392,3.0534,3.1125,74552
2005-03-16,3.2305,3.2305,3.0367,3.062,71012
2005-03-17,3.0112,3.1293,3.0112,3.0112,11712
2005-03-18,3.0871,3.0959,3.0112,3.0281,14285
2005-03-21,3.045,3.062,2.9354,2.9437,6645
2005-03-22,2.986,2.986,2.9186,2.927,6706
2005-03-23,2.8848,2.9101,2.8088,2.9015,5151
2005-03-24,2.8257,2.9354,2.8174,2.9354,5163
2005-03-29,2.9524,3.0112,2.9354,2.9354,5197
2005-03-30,3.0028,3.0028,2.9015,2.9693,4042
2005-03-31,2.927,2.986,2.927,2.9354,12715
2005-04-01,2.9607,2.9693,2.9354,2.9354,4521
2005-04-04,2.9693,2.9693,2.8933,2.9354,1496
2005-04-05,2.9015,2.9015,2.7667,2.7667,10784
2005-04-06,2.7667,2.8933,2.7667,2.8088,16892
2005-04-07,2.7921,2.8512,2.7245,2.733,5036
2005-04-11,2.699,2.8341,2.699,2.733,5207
2005-04-12,2.733,2.733,2.733,2.733,1138
2005-04-13,2.6486,2.7582,2.6486,2.733,5702
2005-04-14,2.6824,2.7414,2.6824,2.7245,4278
2005-04-15,2.7245,2.7751,2.7161,2.7582,1348
2005-04-18,2.6233,2.733,2.6233,2.6739,1266
2005-04-19,2.6739,2.6739,2.5305,2.5557,9118
2005-04-20,2.5726,2.5726,2.5137,2.5557,11342
2005-04-21,2.5474,2.5895,2.4378,2.5388,5027
2005-04-22,2.5644,2.5726,2.4966,2.5474,7407
2005-04-25,2.5137,2.5557,2.5137,2.5557,2032
2005-04-26,2.5137,2.5305,2.4378,2.4884,6797
2005-04-27,2.4966,2.4966,2.3113,2.3533,16521
2005-04-28,2.3871,2.4798,2.2774,2.3871,15410
2005-04-29,2.4209,2.7582,2.4124,2.5979,79695
2005-05-02,2.5979,2.6486,2.4631,2.5137,24688
2005-05-04,2.4713,2.5644,2.4293,2.4884,15573
2005-05-05,2.4461,2.5052,2.3618,2.4461,15809
2005-05-06,2.4631,2.4966,2.3954,2.4713,3601
2005-05-09,2.4798,2.5474,2.404,2.4798,12237
2005-05-10,2.5137,2.5137,2.3533,2.4293,9735
2005-05-11,2.4461,2.4461,2.4461,2.4461,119
2005-05-13,2.4461,2.5388,2.3787,2.4378,12982
2005-05-16,2.4293,2.4884,2.3871,2.404,4296
2005-05-17,2.3954,2.4378,2.2606,2.3364,12492
2005-05-18,2.345,2.404,2.3026,2.404,2507
2005-05-19,2.404,2.4631,2.3113,2.4209,11834
2005-05-20,2.4293,2.4293,2.3618,2.4124,2172
2005-05-23,2.4293,2.4293,2.3618,2.4124,5957
2005-05-24,2.4124,2.4631,2.3618,2.3871,4389
2005-05-25,2.4124,2.4124,2.4124,2.4124,15
2005-05-27,2.3871,2.3954,2.3701,2.3787,3209
2005-05-30,2.4124,2.4124,2.345,2.3618,2730
2005-05-31,2.3533,2.3954,2.3281,2.3533,7139
2005-06-01,2.3618,2.3871,2.345,2.3701,6976
2005-06-02,2.3871,2.8341,2.3871,2.5811,109168
2005-06-03,2.5557,2.5895,2.4966,2.5388,30303
2005-06-06,2.5137,2.6824,2.5052,2.6318,38708
2005-06-07,2.6318,2.6401,2.5474,2.5895,20407
2005-06-08,2.5979,2.7161,2.5811,2.6401,8207
2005-06-09,2.5811,2.6401,2.5726,2.6318,2448
2005-06-10,2.5644,2.6401,2.5644,2.6233,12713
