Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.62,2.69,2.61,2.69,21285
2005-01-04,2.71,2.82,2.7,2.8,85251
2005-01-05,2.75,2.8,2.71,2.8,30851
2005-01-06,2.78,2.78,2.72,2.77,34140
2005-01-07,2.77,2.77,2.73,2.76,40809
2005-01-10,2.72,2.74,2.68,2.74,33987
2005-01-11,2.68,2.73,2.68,2.73,3466
2005-01-12,2.7,2.72,2.68,2.72,3957
2005-01-13,2.72,2.73,2.65,2.65,11300
2005-01-14,2.67,2.67,2.59,2.6,61573
2005-01-17,2.6,2.65,2.59,2.64,36104
2005-01-18,2.64,2.65,2.58,2.65,27198
2005-01-19,2.68,2.68,2.64,2.65,7145
2005-01-20,2.62,2.66,2.58,2.66,12123
2005-01-21,2.64,2.65,2.58,2.65,13925
2005-01-24,2.58,2.64,2.57,2.64,12445
2005-01-25,2.64,2.69,2.63,2.68,28245
2005-01-26,2.68,2.69,2.64,2.69,10901
2005-01-27,2.68,2.68,2.64,2.65,30200
2005-01-28,2.66,2.69,2.62,2.69,26149
2005-01-31,2.69,2.75,2.69,2.74,82724
2005-02-01,2.74,2.79,2.7,2.76,75738
2005-02-02,2.75,2.75,2.69,2.71,12782
2005-02-03,2.71,2.71,2.65,2.68,18546
2005-02-04,2.71,2.74,2.64,2.68,24276
2005-02-07,2.68,2.77,2.66,2.75,47110
2005-02-08,2.75,2.78,2.7,2.78,49482
2005-02-09,2.79,3.05,2.75,3.05,484606
2005-02-10,3.07,3.07,2.9,2.92,288552
2005-02-11,2.92,2.92,2.79,2.9,119122
2005-02-14,2.84,2.86,2.77,2.77,74620
2005-02-15,2.75,2.77,2.72,2.77,59468
2005-02-16,2.77,2.82,2.71,2.82,29771
2005-02-17,2.83,2.83,2.74,2.78,35918
2005-02-18,2.75,2.76,2.7,2.74,29509
2005-02-21,2.73,2.73,2.62,2.7,72260
2005-02-22,2.68,2.68,2.65,2.67,25379
2005-02-23,2.65,2.67,2.63,2.67,20110
2005-02-24,2.67,2.7,2.65,2.68,27791
2005-02-25,2.7,2.71,2.61,2.64,43231
2005-02-28,2.68,2.69,2.61,2.66,40517
2005-03-01,2.65,2.65,2.59,2.65,52468
2005-03-02,2.65,2.65,2.6,2.64,55299
2005-03-03,2.63,2.63,2.6,2.63,14095
2005-03-04,2.64,2.64,2.55,2.64,55086
2005-03-07,2.58,2.64,2.57,2.64,9436
2005-03-08,2.63,2.63,2.6,2.6,7701
2005-03-09,2.6,2.6,2.56,2.6,21878
2005-03-10,2.6,2.6,2.54,2.58,36579
2005-03-11,2.54,2.56,2.54,2.56,15977
