Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,75.879,76.616,74.773,74.773,219
2005-01-04,73.668,74.405,71.9,71.9,623
2005-01-05,70.279,72.269,69.397,72.195,606
2005-01-06,72.933,72.933,72.195,72.933,843
2005-01-07,73.668,73.668,72.195,73.52,388
2005-01-10,73.668,73.668,71.825,73.153,200
2005-01-11,72.933,72.933,72.933,72.933,61
2005-01-12,73.447,75.879,73.226,75.51,3391
2005-01-13,75.51,77.352,75.51,76.616,2480
2005-01-14,76.616,79.562,76.616,79.192,5025
2005-01-17,79.562,81.773,78.825,81.773,921
2005-01-18,79.93,82.876,79.93,82.876,5126
2005-01-19,79.93,85.086,79.93,85.086,2642
2005-01-20,85.456,87.3,85.086,87.3,2098
2005-01-21,86.928,88.766,86.928,88.402,3777
2005-01-24,89.14,92.085,89.14,91.347,4560
2005-01-25,91.708,92.085,86.928,86.928,1223
2005-01-26,86.928,86.928,83.245,84.717,1718
2005-01-27,84.717,85.086,83.982,85.086,525
2005-01-28,85.086,85.823,85.086,85.456,1403
2005-01-31,85.823,88.766,85.823,87.667,1529
2005-02-01,88.402,90.245,88.402,89.876,327
2005-02-02,89.876,89.876,88.402,89.14,558
2005-02-03,89.14,89.14,87.667,88.766,2078
2005-02-04,88.766,89.14,85.823,88.766,2845
2005-02-07,87.667,87.667,85.456,86.559,2827
2005-02-08,85.823,86.559,83.982,85.823,601
2005-02-09,85.456,86.559,84.717,86.559,257
2005-02-10,85.086,85.456,84.717,85.086,798
2005-02-11,85.456,85.456,82.876,84.35,908
2005-02-14,82.508,84.35,81.773,84.35,10637
2005-02-15,85.456,88.035,85.456,86.192,3040
2005-02-16,86.559,88.035,84.717,88.035,1045
2005-02-17,87.667,87.667,85.456,86.559,751
2005-02-18,84.717,85.823,82.508,85.086,16846
2005-02-21,83.245,83.982,79.93,79.93,2383
2005-02-22,80.298,80.298,78.825,80.298,2384
2005-02-23,80.298,80.666,79.562,80.298,888
2005-02-24,79.562,79.562,77.719,78.825,3140
2005-02-25,78.825,79.562,75.879,79.562,7074
2005-02-28,79.192,80.666,77.719,80.666,1779
2005-03-01,81.035,81.403,80.298,81.035,1024
2005-03-02,81.403,82.508,81.403,82.508,1995
2005-03-03,82.508,82.508,79.93,82.508,1232
2005-03-04,81.773,82.139,80.666,80.666,7397
2005-03-07,82.139,82.139,81.035,81.035,556
2005-03-08,81.035,81.403,81.035,81.403,805
2005-03-09,81.035,81.403,80.298,81.403,3095
2005-03-10,80.298,81.403,79.562,81.403,96
2005-03-11,81.035,81.035,81.035,81.035,58
2005-03-14,78.825,79.562,78.825,79.192,4230
2005-03-15,78.825,79.562,78.088,78.825,175
2005-03-16,77.352,78.457,77.352,78.457,46
2005-03-17,76.247,76.247,72.343,75.141,3153
2005-03-18,73.668,78.088,73.668,78.088,498
2005-03-21,77.352,78.088,75.141,75.141,1458
2005-03-22,75.141,76.616,75.141,75.141,3839
2005-03-23,75.879,75.879,73.299,75.51,6435
2005-03-24,74.405,75.51,74.036,74.773,2467
2005-03-29,75.141,77.719,75.141,75.141,1340
