Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.7,8.7,8.7,8.7,333
2005-01-05,9,9,7.5,7.5,333
2005-01-07,9,9,9,9,247
2005-02-01,8.7,9,8.7,9,1479
2005-02-02,9,9,9,9,833
2005-02-03,9,9,9,9,117
2005-02-04,9,9,9,9,733
2005-02-07,6,9,6,9,900
2005-02-08,8.7,8.7,8.7,8.7,646
2005-02-10,9.3,9.3,9.3,9.3,27
2005-02-11,7.5,7.5,7.5,7.5,525
2005-02-15,8.7,8.7,8.7,8.7,167
2005-02-17,8.4,8.4,8.4,8.4,383
2005-02-21,9,9.3,9,9.3,1456
2005-02-24,9.3,9.3,9.3,9.3,333
2005-02-25,9,9,9,9,200
2005-03-01,8.4,8.4,8.4,8.4,167
2005-03-03,9,9,9,9,117
2005-03-04,9,9,9,9,163
2005-03-07,9,9,9,9,100
2005-03-10,9.3,9.3,9.3,9.3,50
2005-03-11,9,9,9,9,255
2005-03-16,9,9,9,9,301
2005-03-18,9,9,9,9,250
2005-03-21,7.5,7.5,7.5,7.5,148
2005-03-23,7.8,7.8,7.8,7.8,1
2005-04-01,8.1,8.1,8.1,8.1,20
2005-04-06,9,9,8.1,8.1,400
2005-04-07,9,9,8.4,8.4,6833
2005-04-12,8.7,8.7,8.7,8.7,35
2005-04-14,9.3,9.6,8.4,8.4,714
2005-04-15,9.3,9.6,9.3,9.6,353
2005-04-18,9.6,9.6,9.6,9.6,7
2005-04-19,9.6,10.5,9.6,10.5,1641
2005-04-22,10.5,10.5,10.5,10.5,7
2005-04-25,10.5,10.5,10.5,10.5,100
2005-04-26,9,9,9,9,33
2005-05-04,8.4,8.4,7.5,7.5,967
2005-05-05,8.4,8.4,8.4,8.4,100
2005-05-10,9,9,9,9,555
2005-05-12,7.5,7.5,7.5,7.5,1
2005-05-16,7.8,7.8,7.8,7.8,2667
2005-05-19,8.4,8.4,8.4,8.4,312
2005-05-20,7.8,7.8,7.5,7.5,610
2005-05-23,7.8,9.6,7.8,9.6,283
2005-05-24,9.9,10.5,9.9,10.5,1000
2005-05-25,10.2,10.5,9.9,9.9,694
2005-05-27,10.2,10.2,10.2,10.2,157
2005-05-30,10.5,10.5,10.5,10.5,4
2005-06-01,9,9,8.4,9,449
2005-06-06,8.4,8.4,7.5,7.5,1118
2005-06-07,8.4,8.4,8.4,8.4,300
2005-06-08,8.1,8.1,8.1,8.1,100
2005-06-09,8.7,8.7,8.4,8.4,333
2005-06-10,9,9,9,9,300
2005-06-14,9,9,9,9,500
2005-06-15,8.1,8.1,8.1,8.1,293
2005-06-16,8.1,8.1,8.1,8.1,347
2005-06-17,8.4,8.4,7.5,7.5,301
2005-06-20,7.8,8.7,7.5,7.8,1534
2005-06-21,8.1,8.1,8.1,8.1,167
2005-06-22,8.1,8.1,8.1,8.1,396
2005-06-24,8.4,8.7,8.4,8.4,267
2005-06-27,8.4,8.7,8.4,8.7,383
2005-06-29,8.4,8.4,8.4,8.4,38
2005-06-30,8.4,8.4,8.4,8.4,100
2005-07-07,9,9,8.7,8.7,345
2005-07-08,9,9,9,9,103
2005-07-11,9.3,9.3,9.3,9.3,100
2005-07-12,8.7,8.7,8.7,8.7,33
2005-07-13,9.3,9.9,9.3,9.9,567
2005-07-14,10.2,10.2,9,9,380
2005-07-15,9.9,9.9,9.9,9.9,417
2005-07-20,9.3,9.3,9.3,9.3,358
2005-07-22,9.3,9.6,9.3,9.6,667
2005-07-25,9.9,9.9,9.6,9.9,158
2005-07-26,9.3,9.3,7.5,7.8,544
2005-07-27,7.5,7.5,7.5,7.5,181
2005-08-03,8.4,8.4,8.4,8.4,33
2005-08-19,8.4,8.4,8.4,8.4,333
2005-08-30,8.7,8.7,8.7,8.7,82
2005-09-07,9,9,9,9,1157
2005-09-08,8.7,9,8.7,9,1149
2005-09-13,9,9,9,9,333
2005-09-21,9,9,9,9,123
2005-10-04,7.8,7.8,7.8,7.8,400
