Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-08-03,33.566,36.083,32.167,35.981,95537
2007-08-06,35.99,35.99,32.633,33.566,2813
2007-08-07,34.041,35.897,33.566,35.897,5444
2007-08-08,37.016,37.016,34.228,34.228,1235
2007-08-09,34.032,35.282,33.006,33.1,2465
2007-08-10,32.727,33.566,32.167,32.167,4011
2007-08-13,32.633,33.538,32.307,33.538,477
2007-08-14,33.585,33.752,33.557,33.659,2502
2007-08-16,32.913,32.913,30.023,32.624,7166
2007-08-17,31.608,33.659,29.836,33.081,2135
2007-08-20,30.769,34.498,30.769,33.547,496
2007-08-21,33.547,33.547,32.633,33.212,221
2007-08-22,33.286,37.016,33.212,35.869,32963
2007-08-23,34.964,36.363,34.964,35.524,17239
2007-08-24,34.219,36.27,34.125,36.27,1401
2007-08-27,36.27,36.27,35.431,35.431,1674
2007-08-28,34.592,34.592,34.498,34.498,264
2007-08-29,35.431,35.431,35.431,35.431,2047
2007-08-30,33.752,36.335,33.752,36.335,6143
2007-08-31,36.363,36.363,36.093,36.354,9820
2007-09-03,36.829,37.006,36.363,36.55,549
2007-09-04,37.277,39.16,36.829,39.16,8421
2007-09-05,39.906,40.093,39.3,39.3,1935
2007-09-06,39.999,39.999,39.16,39.16,366
2007-09-07,39.16,39.16,37.398,37.398,155
2007-09-10,36.382,37.389,33.752,37.389,1710
2007-09-11,37.482,39.067,37.482,39.067,452
2007-09-12,41.025,41.025,39.067,39.067,297
2007-09-14,39.067,39.067,39.067,39.067,20
2007-09-17,39.011,39.02,38.228,39.02,60
2007-09-18,39.02,39.02,39.02,39.02,25
2007-09-19,37.295,39.16,37.295,39.151,5561
2007-09-24,39.067,39.114,39.067,39.114,267
2007-09-25,35.533,38.694,35.533,38.694,1145
2007-09-27,36.829,38.135,36.829,38.135,124
2007-09-28,34.545,38.228,34.545,38.228,113
2007-10-01,36.093,37.762,35.897,37.762,966
2007-10-02,35.99,37.668,35.99,37.668,360
2007-10-03,36.55,37.295,36.177,37.295,914
2007-10-04,34.592,37.295,34.592,37.295,2108
2007-10-05,37.202,37.389,37.202,37.295,5417
2007-10-09,38.135,38.228,36.932,38.228,5686
2007-10-10,38.228,39.16,38.228,39.16,42901
2007-10-11,39.626,41.025,38.256,39.16,546
2007-10-12,37.585,40.074,37.585,40.074,110
