Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,183.65,183.65,183.65,183.65,3
2005-01-04,183.65,183.65,183.65,183.65,3
2005-01-05,183.65,187.74,183.65,187.74,51
2005-01-06,187.74,187.74,187.74,187.74,4
2005-01-07,187.74,187.74,187.74,187.74,26
2005-01-10,183.65,183.65,183.65,183.65,49
2005-01-11,183.65,183.65,183.65,183.65,1246
2005-01-12,183.65,183.65,183.65,183.65,33
2005-01-14,183.65,183.65,183.65,183.65,5
2005-01-19,173.45,187.74,173.45,187.74,378
2005-01-20,187.74,187.74,187.74,187.74,5
2005-01-21,187.74,188.15,187.74,187.74,34
2005-01-24,187.74,187.74,187.74,187.74,51
2005-01-26,187.74,187.74,187.74,187.74,49
2005-01-27,187.74,191.82,187.74,191.82,218
2005-01-28,191.82,194.68,191.82,194.68,96
2005-01-31,191.82,194.68,187.74,194.68,363
2005-02-01,189.77,193.45,188.56,193.45,173
2005-02-02,194.68,195.9,193.45,195.9,355
2005-02-03,195.68,195.68,189.77,189.77,50
2005-02-04,189.99,189.99,188.35,188.35,32
2005-02-09,189.37,195.49,189.37,195.49,97
2005-02-10,193.45,193.84,193.45,193.84,56
2005-02-11,189.77,191.82,189.77,190.17,56
2005-02-14,189.99,189.99,188.35,188.35,40
2005-02-15,189.16,189.16,188.56,188.56,85
2005-02-16,193.45,193.84,193.45,193.84,142
2005-02-17,191.82,191.82,190.17,190.17,61
2005-02-18,191.82,191.82,189.77,189.77,239
2005-02-21,189.77,191.82,189.77,189.77,77
2005-02-22,194.88,199.57,193.84,198.76,919
2005-02-23,196.3,197.91,196.3,197.91,153
2005-02-24,199.57,199.99,196.91,197.91,806
2005-02-25,197.91,197.91,197.13,197.52,200
2005-02-28,195.9,204.06,195.9,204.06,1255
2005-03-01,204.88,206.1,204.88,206.1,56
2005-03-02,204.06,204.06,198.16,202.64,175
2005-03-03,202.42,202.42,202.42,202.42,2
2005-03-04,200.4,202.42,200.4,200.4,31
2005-03-07,199.99,202.42,199.99,202.42,27
2005-03-08,202.22,202.22,200.19,200.4,41
2005-03-09,200.59,202.22,200.59,202.22,4
2005-03-10,201.6,201.6,201.2,201.2,73
2005-03-11,200.4,200.4,198.34,198.34,33
2005-03-14,194.68,197.91,194.68,197.91,190
2005-03-15,198.16,204.06,198.16,204.06,184
2005-03-16,202.01,202.01,199.99,199.99,6
2005-03-17,198.16,198.16,197.91,197.91,27
2005-03-18,197.91,197.91,197.91,197.91,74
2005-03-21,199.99,199.99,197.91,197.91,45
2005-03-22,197.91,197.91,197.91,197.91,2698
2005-03-23,199.99,199.99,199.99,199.99,27
2005-03-24,198.16,202.01,198.16,202.01,3
2005-03-29,198.34,202.01,198.34,202.01,56
2005-03-30,199.99,199.99,199.99,199.99,7
2005-03-31,199.99,211.82,199.99,199.99,155
2005-04-01,200.4,202.01,200.4,202.01,40
2005-04-04,202.01,202.01,202.01,202.01,121
2005-04-05,204.06,204.06,204.06,204.06,46
2005-04-06,206.1,210.17,206.1,210.17,31
2005-04-07,211.6,224.46,208.55,220.38,466
2005-04-11,225.29,226.51,216.31,220.38,298
2005-04-12,220.38,224.46,217.11,222.42,692
2005-04-13,224.46,224.46,221.62,224.46,1225
2005-04-14,222.42,223.23,220.79,220.79,321
2005-04-15,224.46,224.46,220.79,220.79,423
2005-04-18,217.52,217.52,210.59,210.59,555
2005-04-19,215.9,215.9,213.85,213.85,99
2005-04-20,214.67,215.09,208.55,208.55,209
2005-04-21,214.26,214.26,206.5,206.5,384
2005-04-22,206.5,209.16,206.5,206.5,50
2005-04-25,205.28,206.5,204.06,206.5,99
2005-04-26,206.1,206.5,204.06,204.06,1056
2005-04-27,204.06,204.06,204.06,204.06,129
2005-04-28,204.06,210.17,204.06,204.06,31
2005-04-29,204.06,204.06,204.06,204.06,1
2005-05-02,198.16,212.63,198.16,206.1,102
2005-05-04,212.23,212.23,209.56,210.59,27
2005-05-05,206.1,206.1,204.26,204.26,32
2005-05-06,204.46,204.46,204.06,204.06,83
2005-05-09,204.26,207.32,204.26,207.32,40
2005-05-10,206.31,206.31,206.1,206.1,102
2005-05-11,208.13,208.13,208.13,208.13,218
2005-05-12,204.68,204.68,204.68,204.68,1
2005-05-13,204.46,204.46,204.06,204.06,219
2005-05-16,204.06,204.06,198.34,204.06,392
2005-05-17,204.06,204.06,204.06,204.06,233
2005-05-18,204.06,204.06,204.06,204.06,34
2005-05-19,204.06,206.5,204.06,204.06,96
2005-05-20,204.06,204.06,204.06,204.06,394
2005-05-23,199.99,204.06,198.34,204.06,282
2005-05-24,204.06,204.06,198.55,202.22,337
2005-05-25,203.85,204.06,203.85,204.06,5
2005-05-27,202.01,202.01,202.01,202.01,2
2005-05-30,206.1,207.74,204.06,204.06,474
2005-05-31,204.06,207.74,204.06,207.74,70
2005-06-01,204.88,204.88,204.06,204.06,61
2005-06-02,204.06,204.06,204.06,204.06,3
2005-06-03,208.13,208.13,204.06,204.06,57
2005-06-07,204.06,204.06,204.06,204.06,125
2005-06-08,204.06,207.92,204.06,207.92,7
2005-06-13,204.26,204.26,204.26,204.26,1
2005-06-14,204.46,206.1,204.46,206.1,493
2005-06-15,205.06,205.06,204.26,204.26,6
2005-06-16,204.46,207.32,204.06,207.32,41
2005-06-20,205.28,205.28,205.28,205.28,1
2005-06-21,205.28,205.28,204.06,204.06,217
2005-06-22,204.06,204.06,204.06,204.06,74
2005-06-23,205.28,205.28,205.28,205.28,31
2005-06-24,204.68,204.68,204.68,204.68,7
2005-06-27,204.46,204.46,204.06,204.06,27
2005-06-28,204.06,204.06,204.06,204.06,31
2005-06-29,204.06,205.69,202.84,204.06,137
2005-06-30,204.26,204.26,204.26,204.26,122
2005-07-01,204.46,204.46,204.46,204.46,5
2005-07-05,204.06,206.1,204.06,206.1,239
2005-07-07,207.74,207.74,207.74,207.74,27
2005-07-08,204.26,207.74,204.26,204.46,81
2005-07-11,204.06,204.06,204.06,204.06,167
2005-07-12,204.06,204.06,204.06,204.06,34
2005-07-13,204.26,204.26,204.26,204.26,26
2005-07-14,204.06,204.06,204.06,204.06,96
2005-07-15,204.06,204.06,204.06,204.06,3
2005-07-18,204.06,204.06,204.06,204.06,7
2005-07-19,204.06,204.06,204.06,204.06,1822
2005-07-20,206.1,206.1,206.1,206.1,74
2005-07-21,206.1,206.1,206.1,206.1,6
2005-07-22,207.74,207.74,207.74,207.74,124
2005-07-25,207.74,207.74,207.74,207.74,44
2005-07-26,206.1,206.1,206.1,206.1,89
2005-07-27,206.1,206.1,206.1,206.1,78
2005-07-28,206.1,207.74,206.1,207.74,122
2005-07-29,206.1,207.53,206.1,207.53,3
2005-08-01,206.1,207.74,206.1,207.74,4
2005-08-02,206.5,206.5,206.1,206.1,85
2005-08-03,206.1,206.1,206.1,206.1,222
2005-08-04,206.1,206.5,206.1,206.5,46
2005-08-05,204.06,206.1,204.06,206.1,253
2005-08-08,206.1,206.1,206.1,206.1,202
2005-08-09,207.32,207.32,207.32,207.32,7
2005-08-10,207.74,207.74,207.74,207.74,20
2005-08-11,206.1,206.1,206.1,206.1,96
2005-08-12,207.53,207.74,207.53,207.74,257
2005-08-16,206.1,206.1,204.06,204.06,2950
2005-08-18,204.26,204.26,204.26,204.26,3
2005-08-19,204.26,204.26,204.06,204.06,63
2005-08-22,204.46,204.46,204.46,204.46,26
2005-08-24,204.46,204.46,204.46,204.46,104
2005-08-25,204.46,205.49,204.46,205.49,74
2005-08-26,205.28,205.28,204.06,204.06,109
2005-08-29,205.28,205.28,205.28,205.28,2
2005-08-30,204.46,204.88,204.46,204.46,78
2005-08-31,204.46,204.88,204.46,204.88,70
2005-09-01,204.46,204.68,204.46,204.68,447
2005-09-02,206.1,206.1,206.1,206.1,5
2005-09-05,204.68,206.1,204.06,204.06,166
2005-09-07,204.06,204.06,204.06,204.06,108
2005-09-12,206.1,206.1,206.1,206.1,102
2005-09-13,206.5,206.5,206.5,206.5,26
2005-09-16,204.26,204.26,204.06,204.06,45
2005-09-19,204.06,206.5,204.06,206.5,88
2005-09-20,206.1,206.1,204.26,204.26,63
2005-09-21,204.46,204.46,204.46,204.46,51
2005-09-22,204.46,204.46,204.46,204.46,34
2005-09-26,204.06,204.06,204.06,204.06,74
2005-09-27,204.06,204.06,204.06,204.06,57
2005-09-28,204.06,204.06,204.06,204.06,73
2005-09-29,205.69,208.13,205.69,208.13,613
2005-09-30,210.17,210.17,208.13,210.17,32
2005-10-03,206.1,212.23,206.1,212.23,85
2005-10-04,211.41,211.41,204.06,204.06,177
2005-10-05,206.1,206.1,206.1,206.1,45
2005-10-06,204.26,204.26,204.06,204.06,31
2005-10-07,204.06,204.06,204.06,204.06,5
2005-10-10,204.06,204.06,204.06,204.06,5
2005-10-11,210.17,210.17,210.17,210.17,1
2005-10-13,203.66,203.66,202.42,202.42,5
2005-10-14,202.42,209.36,202.42,209.36,27
2005-10-17,209.36,209.36,204.88,204.88,77
2005-10-18,204.46,204.46,204.46,204.46,26
2005-10-19,204.88,204.88,204.06,204.46,3
2005-10-20,205.28,205.69,205.28,205.28,34
2005-10-21,208.13,208.13,204.06,204.06,568
2005-10-24,204.06,204.06,203.24,204.06,49
2005-10-25,204.06,204.06,204.06,204.06,4
2005-10-26,203.03,203.03,202.01,202.01,61
2005-10-27,199.99,199.99,199.99,199.99,44
2005-10-28,193.84,199.99,184.47,199.99,77
2005-11-02,199.99,199.99,199.99,199.99,1
2005-11-03,198.34,198.34,195.49,195.9,2177
2005-11-04,199.99,199.99,199.99,199.99,26
2005-11-08,199.99,199.99,199.99,199.99,5
2005-11-09,200.4,202.01,199.99,202.01,44
2005-11-10,203.66,203.66,197.91,197.91,74
2005-11-14,197.91,198.16,197.91,198.16,3
2005-11-15,198.16,198.16,198.16,198.16,1
2005-11-16,198.16,198.16,197.91,197.91,56
2005-11-17,199.99,199.99,199.99,199.99,3
2005-11-18,197.91,197.91,197.91,197.91,139
2005-11-21,197.91,197.91,197.91,197.91,5
2005-11-22,197.91,197.91,196.52,196.52,44
2005-11-23,195.9,195.9,195.07,195.9,129
2005-11-24,197.74,199.76,197.74,199.76,1055
2005-11-25,199.57,204.06,197.91,197.91,1000
2005-11-28,197.91,197.91,197.91,197.91,1
2005-11-29,196.72,204.06,196.72,199.99,890
2005-12-01,199.99,199.99,199.99,199.99,83
2005-12-02,204.06,204.06,204.06,204.06,1
2005-12-05,204.06,206.92,203.24,206.92,122
2005-12-06,206.92,206.92,199.99,199.99,189
2005-12-07,201.82,201.82,199.99,199.99,45
2005-12-08,205.49,205.49,200.4,200.8,85
2005-12-09,199.57,199.99,197.91,197.91,269
2005-12-13,197.91,197.91,197.91,197.91,445
2005-12-14,197.91,197.91,197.91,197.91,3
2005-12-15,197.91,197.91,196.08,196.08,2559
2005-12-16,197.91,197.91,195.07,195.07,202
2005-12-19,197.91,197.91,197.91,197.91,3
2005-12-20,197.74,197.91,195.9,197.74,189
2005-12-21,196.72,196.72,195.9,195.9,83
2005-12-22,196.3,196.3,195.9,195.9,96
2005-12-23,197.74,197.91,197.74,197.91,1046
2005-12-27,201.6,202.01,197.91,197.91,162
2005-12-28,197.91,197.91,195.9,197.91,108
2005-12-30,196.3,197.91,196.3,197.74,40
2006-01-02,197.91,197.91,197.91,197.91,3
2006-01-03,197.52,197.52,196.08,196.08,3
2006-01-04,197.52,198.76,197.52,197.91,33
2006-01-05,197.52,197.52,195.9,196.3,51
2006-01-06,196.3,197.91,195.9,197.91,27
2006-01-09,197.91,197.91,196.3,196.3,155
2006-01-10,196.08,196.3,196.08,196.08,33
