Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,108.62,111.06,107.64,108.13,3722
2005-01-04,109.6,109.6,105.68,106.66,1524
2005-01-05,105.19,106.66,104.22,105.19,27787
2005-01-06,104.7,105.19,102.75,104.22,35264
2005-01-07,103.24,105.19,103.24,104.22,45085
2005-01-10,103.73,104.7,103.73,104.22,1798
2005-01-11,104.7,105.68,103.24,105.68,11155
2005-01-12,106.17,106.66,104.22,106.17,11206
2005-01-13,107.64,109.6,107.15,108.13,11397
2005-01-14,108.62,110.09,108.62,109.6,5478
2005-01-17,110.58,113.02,110.09,111.55,19789
2005-01-18,110.58,111.06,109.6,110.58,7381
2005-01-19,107.64,111.06,107.64,109.6,9717
2005-01-20,108.13,111.06,107.64,108.62,6193
2005-01-21,109.6,109.6,107.64,107.64,4703
2005-01-24,107.15,107.15,103.73,105.68,4322
2005-01-25,106.66,109.6,105.68,107.64,3326
2005-01-26,109.6,109.6,108.13,108.62,6436
2005-01-27,107.64,109.11,107.15,109.11,2618
2005-01-28,110.58,111.55,110.09,111.06,5718
2005-01-31,112.53,114.49,112.53,114,7581
2005-02-01,113.51,115.47,113.51,114.49,6369
2005-02-02,115.47,117.43,114.49,115.47,18926
2005-02-03,115.47,116.94,114.98,116.45,1810
2005-02-04,116.45,117.43,114.98,115.96,4442
2005-02-07,116.45,116.94,115.47,115.47,7232
2005-02-08,114,114.49,113.02,113.51,2977
2005-02-09,113.51,117.92,111.55,116.45,11113
2005-02-10,117.43,122.32,117.43,121.34,26028
2005-02-11,122.32,122.81,117.43,119.87,10595
2005-02-14,119.38,120.85,119.38,119.87,10290
2005-02-15,120.36,120.36,117.43,118.89,4417
2005-02-16,119.38,120.36,117.92,119.38,3156
2005-02-17,119.38,122.32,119.38,120.85,18263
2005-02-18,120.36,123.79,118.89,122.32,20530
2005-02-21,120.85,124.28,120.85,123.3,11066
2005-02-22,122.81,123.79,121.34,122.32,9941
2005-02-23,120.85,123.3,120.85,121.34,11999
2005-02-24,121.34,124.77,121.34,123.79,22976
2005-02-25,124.77,125.74,122.81,123.79,12688
2005-02-28,124.28,126.72,124.28,125.25,24747
2005-03-01,123.3,123.3,118.4,121.34,14128
2005-03-02,121.34,121.34,112.53,115.47,8535
2005-03-03,112.53,119.38,112.53,117.43,15312
