Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,7.7315,7.7315,7.7315,7.7315,673
2005-01-04,7.6766,7.6766,7.6493,7.6493,1688
2005-01-05,7.6493,7.6493,7.5115,7.5115,6285
2005-01-06,7.4026,7.5663,7.4026,7.5663,2118
2005-01-07,7.5115,7.6219,7.5115,7.6219,12640
2005-01-10,7.4575,7.6493,7.4575,7.6493,4458
2005-01-11,7.5115,7.5115,7.5115,7.5115,1084
2005-01-12,7.6219,7.6219,7.6219,7.6219,35
2005-01-13,7.4575,7.6219,7.4575,7.6219,4734
2005-01-14,7.6219,7.6219,7.6219,7.6219,175251
2005-01-17,7.6219,7.6219,7.6219,7.6219,35
2005-01-18,7.6219,7.6766,7.5663,7.5663,7832
2005-01-19,7.4849,7.4849,7.4849,7.4849,1172
2005-01-20,7.5663,7.6219,7.4575,7.4849,562707
2005-01-21,7.4849,7.5663,7.4849,7.5663,846
2005-01-24,7.4849,7.6219,7.4849,7.6219,8851
2005-01-25,7.6219,7.6219,7.5663,7.5937,1480
2005-01-26,7.5937,7.6219,7.5663,7.5663,5956
2005-01-27,7.7041,7.9507,7.6219,7.6766,70236
2005-01-28,7.6766,7.6766,7.5115,7.5115,621
2005-01-31,7.5389,7.5389,7.4575,7.5389,4630
2005-02-01,7.5389,7.6219,7.5389,7.6219,205834
2005-02-02,7.6219,7.6766,7.6219,7.6493,2550
2005-02-03,7.6493,7.7588,7.6493,7.6766,161495
2005-02-04,7.6766,7.6766,7.6766,7.6766,964
2005-02-07,7.7315,7.7315,7.6766,7.6766,2961
2005-02-08,7.6766,7.6766,7.6219,7.6219,26070
2005-02-09,7.5389,7.5389,7.5389,7.5389,724
2005-02-10,7.6219,7.6219,7.2376,7.2376,9438
2005-02-11,7.1828,7.2376,7.1828,7.2376,47403
2005-02-14,7.2376,7.2376,7.1283,7.1283,6835
2005-02-15,7.1828,7.1828,7.1283,7.1283,552
2005-02-16,6.9639,7.2923,6.9639,7.2923,253284
2005-02-17,7.2923,7.4298,7.2923,7.4298,464
2005-02-21,7.2923,7.2923,7.1283,7.1283,3822
2005-02-22,7.1283,7.1283,6.7717,7.0458,28858
2005-02-23,6.8542,6.8542,6.799,6.799,3548
2005-02-24,6.6893,6.6893,6.3605,6.5247,21799
2005-02-25,6.4152,6.4152,6.3331,6.3331,6802
2005-02-28,6.3059,6.3059,6.2234,6.2508,6061
2005-03-01,6.2781,6.2781,6.2781,6.2781,3463
2005-03-02,6.2781,6.4152,6.2781,6.4152,10969
2005-03-03,6.3059,6.3059,6.1962,6.1962,3099
2005-03-04,6.1962,6.1962,6.1138,6.1138,15465
2005-03-07,6.1409,6.1962,5.9766,6.1962,10830
2005-03-09,6.1409,6.1409,5.922,5.922,42786
2005-03-10,5.922,5.9766,5.7572,5.7572,105843
2005-03-11,5.7297,5.7297,5.62,5.6751,152439
2005-03-14,6.0864,6.1689,5.9766,6.0318,21661
2005-03-15,5.922,6.0318,5.922,6.0318,93928
2005-03-16,5.922,6.0318,5.922,5.9766,47869
2005-03-17,5.9494,6.0318,5.9494,6.0318,115727
2005-03-18,6.0318,6.1138,6.0318,6.0318,27292
2005-03-21,6.0593,6.0593,5.922,5.922,14427
2005-03-22,5.922,5.9766,5.922,5.9766,192730
2005-03-23,5.9766,5.9766,5.9766,5.9766,5664
2005-03-24,6.0318,6.1138,6.0318,6.1138,2324
2005-03-29,6.0864,6.1138,6.0864,6.0864,144033
2005-03-30,6.0864,6.1409,6.0864,6.1409,4941
2005-03-31,6.1962,6.2508,6.1962,6.2508,3030
2005-04-01,6.3331,6.3331,6.1409,6.2508,5132
2005-04-04,6.2508,6.2508,6.1409,6.2508,6544
2005-04-05,6.3059,6.3059,6.2508,6.3059,703
2005-04-06,6.3059,6.3059,6.2508,6.3059,3271
2005-04-07,6.2234,6.3877,6.2234,6.3605,9211
2005-04-11,6.3605,6.3605,6.2508,6.3331,3600
2005-04-12,6.3605,6.3605,6.3605,6.3605,846
2005-04-13,6.3331,6.4152,6.3331,6.3331,2650
2005-04-14,6.3331,6.3331,6.3331,6.3331,482
2005-04-15,6.2508,6.2508,6.2508,6.2508,2170
2005-04-18,6.2508,6.2508,6.2508,6.2508,1603
2005-04-19,6.2508,6.2508,6.1409,6.1409,1772
2005-04-20,6.0864,6.0864,5.9766,5.9766,12586
2005-04-21,5.922,5.9766,5.922,5.9766,6698
2005-04-22,5.922,5.9766,5.922,5.9766,11744
2005-04-25,6.0593,6.1138,6.0593,6.1138,20198
2005-04-26,6.1689,6.1689,6.1138,6.1138,29805
2005-04-27,5.9766,6.1689,5.9766,6.1689,6319
2005-04-28,6.1689,6.1962,6.0864,6.1409,8540
2005-04-29,6.1409,6.1689,6.0864,6.1689,808
2005-05-04,6.1689,6.1962,6.0318,6.1962,14568
2005-05-05,6.1138,6.1138,6.1138,6.1138,84
2005-05-06,6.1138,6.1409,6.1138,6.1409,808
2005-05-09,6.0318,6.0318,6.0318,6.0318,897
2005-05-10,6.0318,6.1409,6.0318,6.1409,2186
2005-05-11,6.1962,6.1962,6.1962,6.1962,3392
2005-05-12,6.1409,6.1409,6.1409,6.1409,4271
2005-05-13,6.1409,6.1409,6.1409,6.1409,18596
2005-05-17,6.1962,6.1962,6.0318,6.1409,3498
2005-05-18,6.0593,6.0864,5.9766,6.0864,8419
2005-05-19,6.004,6.1409,6.004,6.1409,3979
2005-05-20,6.0864,6.0864,5.9766,5.9766,18855
2005-05-23,5.9766,6.0593,5.9766,6.0593,11897
2005-05-24,6.0318,6.1138,6.0318,6.1138,14463
2005-05-25,6.1138,6.1689,6.1138,6.1409,3306
2005-05-27,6.1409,6.1409,6.1409,6.1409,361
2005-05-30,6.0864,6.1689,6.0864,6.1689,3822
2005-05-31,6.2234,6.2234,6.1409,6.1962,2084
2005-06-01,6.1962,6.1962,6.1962,6.1962,17478
2005-06-03,6.1409,6.1962,6.1409,6.1962,945
2005-06-06,6.1962,6.2508,6.1962,6.2508,3979
2005-06-07,6.2508,6.443,6.2508,6.443,7767
2005-06-08,6.443,6.443,6.3877,6.3877,2840
2005-06-09,6.3877,6.4152,6.3877,6.4152,1186
2005-06-10,6.4152,6.443,6.4152,6.4152,1379
2005-06-13,6.4152,6.4152,6.3331,6.3331,6577
2005-06-14,6.2508,6.2508,6.2508,6.2508,2134
2005-06-15,6.3331,6.3331,6.2508,6.2508,2186
2005-06-16,6.2508,6.2508,6.2508,6.2508,172
2005-06-17,6.3331,6.3331,6.1962,6.2781,2669
2005-06-20,6.1962,6.3059,6.1962,6.3059,3648
2005-06-21,6.2781,6.3331,6.2781,6.3331,27344
2005-06-22,6.2781,6.3605,6.2781,6.3605,1239
2005-06-23,6.3331,6.3331,6.3059,6.3059,638
2005-06-24,6.3331,6.3605,6.2781,6.3059,558198
2005-06-27,6.2234,6.3059,6.2234,6.3059,1825
2005-06-28,6.3059,6.3877,6.3059,6.3059,45216
2005-06-29,6.3059,6.3331,6.3059,6.3331,387423
2005-06-30,6.3331,6.4152,6.3331,6.4152,4374
2005-07-01,6.3877,6.443,6.3059,6.443,7369
2005-07-04,6.4152,6.6893,6.4152,6.6345,11328
2005-07-05,6.6893,6.799,6.6619,6.799,26396
2005-07-06,6.799,6.8268,6.7717,6.7717,2702
2005-07-07,6.799,6.799,6.6345,6.7444,10639
2005-07-11,6.6345,6.7717,6.6345,6.7717,4098
2005-07-12,6.799,6.799,6.799,6.799,35
2005-07-13,6.6893,6.8268,6.58,6.6345,28806
2005-07-14,6.7172,6.7172,6.6074,6.6074,724
2005-07-15,6.6893,6.7172,6.58,6.58,21524
2005-07-18,6.58,6.58,6.58,6.58,53481
2005-07-19,6.58,6.58,6.58,6.58,12757
2005-07-20,6.58,6.58,6.58,6.58,2995
2005-07-21,6.4976,6.58,6.4976,6.58,1825
2005-07-22,6.6619,6.6619,6.6619,6.6619,499
2005-07-25,6.6619,6.7444,6.6345,6.6345,5457
2005-07-26,6.5247,6.5247,6.443,6.443,207
2005-07-27,6.443,6.6345,6.443,6.6345,2292
2005-07-28,6.6074,6.6345,6.4976,6.6345,4975
2005-07-29,6.5247,6.6619,6.5247,6.6619,5061
2005-08-01,6.6619,6.6893,6.6619,6.6893,2497
2005-08-02,6.6619,6.799,6.6619,6.6893,7782
2005-08-03,6.6893,6.8268,6.6619,6.8268,70614
2005-08-04,6.7172,6.8268,6.58,6.7172,17303
2005-08-05,6.7444,6.9639,6.7444,6.9639,13672
2005-08-08,6.9362,7.1283,6.9089,7.1283,25466
2005-08-09,7.1283,7.1283,7.0185,7.0185,16445
2005-08-10,6.9089,7.0185,6.799,7.0185,1860
2005-08-11,6.9639,7.0732,6.9639,7.0732,1239
2005-08-12,6.9639,7.0732,6.9639,7.0732,1017
2005-08-16,7.0185,7.0185,7.0185,7.0185,1875
2005-08-17,6.9089,6.9089,6.9089,6.9089,2118
2005-08-18,6.8542,6.9911,6.8542,6.9911,447
2005-08-19,6.9639,6.9911,6.9639,6.9639,8385
2005-08-22,7.0185,7.0732,7.0185,7.0732,63829
2005-08-23,6.9639,6.9911,6.8815,6.9911,104
2005-08-24,7.0185,7.0185,7.0185,7.0185,104
2005-08-25,7.0185,7.2376,7.0185,7.2376,13707
2005-08-26,7.2376,7.2651,7.2376,7.2376,3271
2005-08-29,7.1828,7.1828,7.0732,7.0732,13414
2005-08-30,7.1828,7.1828,7.0732,7.0732,482
2005-08-31,7.1283,7.1283,7.0185,7.1283,62452
2005-09-01,7.0185,7.1283,7.0185,7.1283,311
2005-09-02,7.0185,7.1283,6.8268,7.101,17976
2005-09-05,7.101,7.101,7.101,7.101,70
2005-09-06,7.101,7.101,7.0732,7.101,46111
2005-09-07,6.9911,6.9911,6.9911,6.9911,274
2005-09-08,7.0185,7.0185,7.0185,7.0185,15290
2005-09-09,7.1283,7.1283,7.1283,7.1283,16
2005-09-12,7.101,7.101,6.8815,6.8815,2050
2005-09-13,6.9911,6.9911,6.9911,6.9911,413
2005-09-14,6.9639,6.9639,6.9639,6.9639,325
2005-09-15,6.9639,6.9639,6.9362,6.9639,3255
2005-09-16,6.9639,6.9639,6.9639,6.9639,2515
2005-09-19,6.9911,6.9911,6.9639,6.9911,584
2005-09-20,6.8815,6.8815,6.8815,6.8815,172
2005-09-21,6.8815,6.8815,6.8542,6.8542,532
2005-09-22,6.7444,6.7444,6.6619,6.7444,1084
2005-09-23,6.6345,6.6345,6.4976,6.4976,860
2005-09-26,6.4976,6.6619,6.4976,6.5521,2015
2005-09-27,6.4702,6.4702,6.4702,6.4702,981
2005-09-28,6.3877,6.3877,6.3877,6.3877,172
2005-09-29,6.3059,6.3605,6.1409,6.3605,5132
2005-09-30,6.3331,6.3331,6.2508,6.3331,10072
2005-10-03,6.3059,6.3059,6.2508,6.2508,673
2005-10-04,6.3331,6.3331,6.1689,6.1689,2015
2005-10-05,6.0864,6.0864,6.004,6.0864,3926
2005-10-06,6.004,6.004,5.9766,5.9766,998
2005-10-07,5.9766,6.004,5.9766,6.004,3738
2005-10-10,6.0864,6.2234,6.0318,6.0318,1755
2005-10-11,6.1138,6.1409,6.0318,6.1409,6854
2005-10-12,6.1138,6.1138,6.1138,6.1138,552
2005-10-13,6.1138,6.1962,6.0864,6.0864,4441
2005-10-14,6.1138,6.1138,6.0593,6.0593,2066
2005-10-18,6.1409,6.1689,6.0593,6.1409,8729
2005-10-19,6.0593,6.0593,6.0593,6.0593,129073
2005-10-21,6.1962,6.1962,6.1962,6.1962,1809
2005-10-24,6.2234,6.2234,6.0318,6.1138,3770
2005-10-25,6.0318,6.0864,6.0318,6.0864,11141
2005-10-26,6.1689,6.1962,6.1689,6.1962,8833
2005-10-27,6.2234,6.2234,6.2234,6.2234,16
2005-10-28,6.1409,6.1409,6.1409,6.1409,24778
2005-10-31,6.1409,6.1409,6.1409,6.1409,122
2005-11-02,6.0864,6.1409,6.0864,6.1409,773
2005-11-03,6.1409,6.7172,6.1409,6.7172,356771
2005-11-04,6.6074,6.6619,6.58,6.6619,15670
2005-11-07,6.5521,6.5521,6.4702,6.4702,808
2005-11-08,6.5521,6.6074,6.5521,6.6074,4960
2005-11-09,6.6345,6.6345,6.5247,6.6345,3151
2005-11-10,6.6345,6.6345,6.5521,6.58,1860
2005-11-14,6.4976,6.6893,6.443,6.6893,2343
2005-11-15,6.799,6.799,6.6893,6.6893,207
2005-11-16,6.6893,6.6893,6.58,6.6619,2186
2005-11-17,6.5521,6.6619,6.5521,6.6619,1634
2005-11-18,6.6619,6.6619,6.6619,6.6619,1875
2005-11-21,6.7444,6.7444,6.5247,6.5247,274
2005-11-22,6.5247,6.8268,6.5247,6.7444,15873
2005-11-23,6.799,6.799,6.7444,6.7444,7267
2005-11-24,6.7444,6.8268,6.7444,6.8268,2221
2005-11-25,6.8268,7.101,6.8268,7.0458,9728
2005-11-28,7.1555,7.1828,6.8542,7.0185,12363
2005-11-29,6.9089,7.101,6.8268,7.0185,10639
2005-11-30,6.9089,7.0732,6.9089,7.0185,9039
2005-12-01,7.0185,7.101,7.0185,7.101,3186
2005-12-02,7.101,7.101,7.0185,7.101,8453
2005-12-05,6.9911,7.0185,6.9911,7.0185,3632
2005-12-06,6.9089,7.0185,6.9089,7.0185,6147
2005-12-07,6.9089,7.1283,6.9089,7.1283,7715
2005-12-08,7.0732,7.0732,7.0185,7.0732,1138
2005-12-09,6.9639,7.0732,6.9639,7.0732,325
2005-12-12,7.0732,7.0732,7.0185,7.0185,794
2005-12-13,6.9089,6.9089,6.9089,6.9089,3960
2005-12-14,6.9089,6.9362,6.9089,6.9362,2409
2005-12-15,6.9362,7.1283,6.9089,7.1283,140126
2005-12-16,7.0185,7.1828,7.0185,7.1828,4858
2005-12-19,7.1828,7.4026,7.0732,7.4026,15584
