Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,64.279,64.279,63.784,63.784,290
2005-01-04,64.768,64.768,63.784,63.784,3832
2005-01-05,63.784,63.784,61.803,63.369,3123
2005-01-06,62.298,62.875,62.298,62.875,66
2005-01-07,62.054,62.551,61.975,62.551,407
2005-01-10,61.892,61.892,61.316,61.722,124
2005-01-11,61.316,61.316,59.749,60.082,9611
2005-01-12,60.082,60.082,59.253,59.587,6730
2005-01-13,59.587,59.587,57.695,59.253,4477
2005-01-14,57.938,59.587,57.857,59.253,6615
2005-01-17,58.596,59.253,58.596,59.09,286
2005-01-18,58.758,58.758,58.433,58.433,1582
2005-01-19,57.776,58.352,56.785,58.352,835
2005-01-20,57.361,57.361,55.966,55.966,1311
2005-01-21,53.911,56.785,53.911,56.785,3744
2005-01-24,55.389,57.443,54.567,57.443,1336
2005-01-25,57.443,57.615,56.622,57.615,38990
2005-01-26,56.785,59.172,56.785,59.172,1418
2005-01-27,59.253,59.253,58.433,59.253,374
2005-01-28,58.515,59.991,58.433,59.991,1708
2005-01-31,59.668,60.902,58.515,60.082,2119
2005-02-01,60.82,60.902,60.082,60.82,1373
2005-02-02,63.29,65.181,63.037,64.19,8211
2005-02-03,64.19,64.19,62.136,62.136,425
2005-02-04,62.955,62.955,61.316,62.551,471
2005-02-07,63.369,63.369,62.551,62.631,569
2005-02-08,62.631,63.208,60.487,60.487,2182
2005-02-09,60.487,61.478,59.253,59.253,1122
2005-02-10,59.587,59.587,56.785,57.199,2494
2005-02-11,58.191,58.191,56.785,57.037,1054
2005-02-14,57.199,58.1,57.199,58.1,1568
2005-02-15,58.191,59.253,57.037,59.172,847
2005-02-16,59.01,60.74,59.01,60.74,5831
2005-02-17,60.902,60.902,60.245,60.82,2021
2005-02-18,60.082,60.82,60.082,60.74,4792
2005-02-21,59.505,60.245,59.253,60.082,1634
2005-02-22,59.91,60.082,59.425,59.425,1361
2005-02-23,58.847,59.335,58.433,59.335,1252
2005-02-24,59.172,59.253,58.596,59.253,1118
2005-02-25,58.847,59.172,58.433,59.172,513
2005-02-28,58.433,58.433,58.1,58.433,1621
2005-03-01,57.695,57.695,56.785,57.118,947
2005-03-02,56.866,56.866,55.966,56.045,361
2005-03-03,55.803,55.803,53.74,53.74,1073
2005-03-04,53.74,54.317,53.497,53.911,3316
2005-03-07,53.577,55.551,53.082,55.551,615
2005-03-08,55.551,55.966,54.397,55.966,135
2005-03-09,55.966,56.291,55.145,55.966,2522
2005-03-10,55.883,56.207,54.73,56.207,700
2005-03-11,55.966,55.966,55.228,55.966,2398
2005-03-14,55.228,55.803,55.228,55.803,466
2005-03-15,54.893,55.803,54.73,54.893,1195
2005-03-16,55.711,55.711,53.911,53.911,2072
2005-03-17,52.669,53.497,52.669,52.669,8847
2005-03-18,53.082,54.234,53.082,53.163,3619
2005-03-21,52.839,52.839,51.849,51.849,2521
2005-03-22,51.849,51.849,51.686,51.686,911
2005-03-23,51.434,51.434,50.613,50.613,958
2005-03-24,51.028,51.849,51.028,51.028,2658
2005-03-29,50.613,50.613,49.875,49.875,1003
2005-03-30,50.613,50.613,49.135,49.135,1167
2005-03-31,49.38,51.028,49.38,51.028,2415
2005-04-01,52.424,52.586,51.849,52.506,554
2005-04-04,51.928,52.424,51.928,52.424,388
2005-04-05,51.849,51.849,51.849,51.849,51
2005-04-06,50.534,54.73,50.534,54.73,1563
2005-04-07,52.343,55.145,52.343,52.757,1529
2005-04-11,52.669,53.335,51.109,53.335,1808
2005-04-12,52.757,54.155,52.757,54.155,412
2005-04-13,54.073,54.397,53.163,54.397,1162
2005-04-14,54.397,54.397,53.821,53.911,5000
2005-04-15,53.911,53.911,51.604,52.262,6349
2005-04-18,50.289,51.767,50.199,51.109,1035
2005-04-19,51.109,51.191,51.109,51.191,681
2005-04-20,51.028,51.028,50.857,51.028,6461
2005-04-21,50.199,50.199,50.199,50.199,121
2005-04-22,50.371,50.371,50.371,50.371,312
2005-04-25,50.371,50.371,50.371,50.371,21
2005-04-26,50.371,50.371,50.199,50.199,257
2005-04-27,49.793,49.793,49.38,49.38,1781
2005-04-28,49.38,51.604,49.38,51.604,844
2005-04-29,51.028,53.497,51.028,53.497,1379
2005-05-02,54.073,54.073,54.073,54.073,10
2005-05-04,53.497,54.73,53.497,54.73,2001
2005-05-05,54.73,55.966,54.567,55.966,19055
2005-05-06,55.966,56.785,55.307,56.785,638
2005-05-09,57.199,57.615,57.199,57.199,726
2005-05-10,57.615,58.02,57.615,57.615,3952
2005-05-11,55.711,57.615,55.389,57.615,676
2005-05-12,56.46,57.615,56.38,57.615,425
2005-05-13,56.956,58.271,56.38,56.46,4796
2005-05-16,56.785,56.785,55.632,55.632,1280
2005-05-18,55.307,56.785,55.307,56.785,267
2005-05-19,55.551,55.966,55.307,55.307,2722
2005-05-20,55.47,55.47,55.47,55.47,16
2005-05-23,56.291,56.703,56.291,56.703,162
2005-05-25,55.632,55.632,55.47,55.47,121
2005-05-27,56.866,57.199,56.866,56.956,163
2005-05-31,57.037,57.615,55.711,57.615,1511
2005-06-01,58.93,58.93,55.966,56.045,240
2005-06-02,56.785,56.785,56.785,56.785,17
2005-06-03,56.46,57.522,56.46,57.522,22
2005-06-06,57.522,57.615,57.199,57.199,3706
2005-06-07,57.615,57.615,57.615,57.615,304
2005-06-08,57.615,57.615,57.615,57.615,126
2005-06-10,57.522,57.522,57.522,57.522,3
2005-06-13,57.199,57.281,57.199,57.281,84
2005-06-14,57.281,57.281,57.281,57.281,314
2005-06-15,57.443,57.443,57.443,57.443,197
2005-06-16,57.615,57.615,56.785,56.785,1003
2005-06-17,56.128,56.128,55.966,55.966,536
2005-06-20,56.045,56.045,55.966,55.966,633
2005-06-22,56.045,56.703,55.551,56.703,707
2005-06-23,57.037,57.037,57.037,57.037,16
2005-06-24,55.711,55.711,55.551,55.551,243
2005-06-28,55.966,55.966,55.551,55.551,4033
2005-06-29,55.966,55.966,55.551,55.551,375
2005-06-30,55.145,55.145,54.317,54.893,1008
2005-07-01,55.711,55.966,55.307,55.966,453
2005-07-04,57.615,58.02,57.443,57.938,2813
2005-07-05,58.02,58.433,57.615,57.615,2177
2005-07-06,57.615,57.615,57.615,57.615,64
2005-07-07,57.615,57.615,56.785,57.615,13196
2005-07-08,58.02,59.253,58.02,59.253,1519
2005-07-11,60.082,60.902,59.253,59.253,1222
2005-07-12,60.082,60.82,60.082,60.82,320
2005-07-13,60.74,60.82,59.01,60.82,1209
