Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,12.1,12.3,12.1,12.2,3010
2005-01-04,12.1,12.2,12,12.1,807
2005-01-05,12.1,12.2,11.7,11.9,5256
2005-01-06,11.7,11.9,11.7,11.8,3302
2005-01-07,12,12.1,11.9,12,7304
2005-01-10,11.9,12.1,11.9,11.9,4836
2005-01-11,11.9,11.9,11.7,11.7,3538
2005-01-12,11.5,11.6,11.4,11.6,5928
2005-01-13,11.7,11.8,11.5,11.8,6112
2005-01-14,11.7,11.7,11.5,11.7,3234
2005-01-17,11.7,11.7,11.5,11.5,1722
2005-01-18,11.5,11.5,11.2,11.4,3368
2005-01-19,11.3,11.4,11.3,11.3,1762
2005-01-20,11.3,11.6,11.3,11.5,2755
2005-01-21,11.5,11.5,11.1,11.3,2197
2005-01-24,11,11.5,11,11.5,6817
2005-01-25,11.5,11.9,11.5,11.8,7695
2005-01-26,11.8,11.8,11.5,11.5,3940
2005-01-27,11.3,11.6,11.3,11.6,3169
2005-01-28,11.6,11.8,11.6,11.8,6815
2005-01-31,11.8,11.8,11.2,11.4,18167
2005-02-01,11.6,11.6,11.3,11.4,8635
2005-02-02,11.5,11.6,11.3,11.5,6664
2005-02-03,11.5,11.5,11.2,11.5,8942
2005-02-04,11.3,11.5,11.2,11.3,7128
2005-02-07,11.3,11.3,10.4,10.9,101191
2005-02-08,11,11,10.4,10.6,45668
2005-02-09,10.7,10.7,10.6,10.6,24710
2005-02-10,10.6,10.9,10.5,10.6,35473
2005-02-11,10.7,10.7,10.6,10.6,5599
2005-02-14,10.7,10.7,10.5,10.6,5517
2005-02-15,10.6,10.6,10.5,10.6,5400
2005-02-16,10.6,10.7,10.6,10.6,6265
2005-02-17,10.6,10.6,10.4,10.6,12640
2005-02-18,10.6,11.4,10.6,10.7,66463
2005-02-21,11,11.5,11,11.2,47693
2005-02-22,11.3,11.5,10.9,11,28811
2005-02-23,11,11.4,10.9,11.2,10967
2005-02-24,11.3,11.4,11,11,6890
2005-02-25,11,11.2,10.9,11,8229
2005-02-28,10.9,11.1,10.6,11,12796
2005-03-01,11,11,10.8,10.9,1058
2005-03-02,11,11,10.6,10.6,3398
2005-03-03,10.6,10.7,10.6,10.7,3082
2005-03-04,10.6,10.8,10.6,10.6,2220
2005-03-07,10.6,10.7,10.6,10.6,4057
2005-03-08,10.6,10.7,10.4,10.6,3640
2005-03-09,10.6,10.6,10.4,10.6,4193
2005-03-10,10.6,10.6,10.4,10.4,4677
2005-03-11,10.4,10.6,10.4,10.6,2740
2005-03-14,10.4,10.5,10.4,10.4,853
2005-03-15,10.3,10.3,9.9,10,7174
2005-03-16,9.9,9.9,9.3,9.3,12705
2005-03-17,9.2,9.5,9.1,9.4,4943
2005-03-18,9.4,9.5,9.4,9.4,1122
2005-03-21,9.2,9.2,9,9.1,2344
2005-03-22,8.9,9,8.7,9,6009
2005-03-23,9,10.3,9,10.1,38142
2005-03-24,10.1,10.1,9.5,9.5,15656
2005-03-29,9.5,9.5,9.4,9.4,2339
2005-03-30,9.4,9.4,9.2,9.4,3215
2005-03-31,9.4,9.8,9.4,9.5,9655
2005-04-01,9.8,9.8,9.6,9.6,3525
2005-04-04,9.5,9.8,9.5,9.7,3288
2005-04-05,9.6,9.8,9.5,9.8,28997
2005-04-06,9.8,9.9,9.8,9.8,3326
2005-04-07,10.1,10.1,9.9,9.9,3383
2005-04-11,9.9,10.2,9.9,10.1,3912
2005-04-12,10,10.1,9.8,10.1,2657
2005-04-13,10.1,10.2,9.9,10.1,994
2005-04-14,10.1,10.1,9.8,10.1,2952
2005-04-15,10,10.1,9.9,10.1,706
2005-04-18,9.9,9.9,9.6,9.8,1826
2005-04-19,9.6,9.6,9.5,9.5,1076
2005-04-20,9.5,9.5,9.1,9.4,6334
2005-04-21,9.5,9.7,9.5,9.5,2530
2005-04-22,9.5,9.6,9.5,9.5,870
2005-04-25,9.7,10.1,9.3,9.7,1838
2005-04-26,9.7,10.1,9.5,10.1,3696
2005-04-27,9.8,10,9.6,9.8,2365
2005-04-28,9.8,9.8,9.5,9.5,1305
2005-04-29,9.4,9.8,9.4,9.4,1124
2005-05-02,9.4,9.4,9.3,9.3,629
2005-05-04,9.4,9.5,9.4,9.5,1239
2005-05-05,9.2,9.4,9.1,9.2,2786
2005-05-06,9.5,9.5,8.5,9.5,7700
2005-05-09,9.4,9.4,9.4,9.4
2005-05-10,9.2,9.2,9.1,9.1,791
2005-05-11,8.9,9.2,8.9,9.2,2894
2005-05-12,9,9.3,9,9.2,2874
2005-05-13,9.4,9.4,9.2,9.2,1160
2005-05-16,9.2,9.2,8.9,9,5424
2005-05-17,9.2,9.4,8.5,8.5,6386
2005-05-18,8.6,8.9,8,8.4,6672
2005-05-19,8.4,8.7,8.4,8.7,242
2005-05-20,8.5,8.7,8.2,8.4,13199
2005-05-23,8.3,8.4,8.3,8.4,7040
2005-05-24,8.3,8.4,8.3,8.3,2541
2005-05-25,8.3,8.6,8.3,8.6,2761
2005-05-27,8.4,8.9,8.4,8.6,8208
2005-05-30,8.5,8.7,8.4,8.7,4385
2005-05-31,8.6,8.7,8.6,8.6,2567
2005-06-01,8.6,8.6,8.3,8.6,1721
2005-06-02,8.6,9,8.6,8.6,9033
2005-06-03,8.7,8.9,8.7,8.7,5304
2005-06-06,8.8,9.1,8.7,9,11157
2005-06-07,9.2,9.2,8.7,8.7,7959
2005-06-08,8.8,8.8,8.7,8.7,2426
2005-06-09,8.7,8.7,8.4,8.6,4096
2005-06-10,8.6,8.7,8.5,8.7,757
2005-06-13,8.6,8.6,8.4,8.6,4678
2005-06-14,8.6,8.8,8.5,8.7,7903
2005-06-15,8.7,8.7,8.7,8.7,1461
2005-06-16,8.6,8.7,8.5,8.7,3087
2005-06-17,8.6,8.9,8.4,8.6,8215
2005-06-20,8.5,8.7,8.4,8.7,5709
2005-06-21,8.7,8.7,8.5,8.7,3424
2005-06-22,8.5,8.7,8.5,8.5,4221
2005-06-23,8.5,9,8.4,9,15512
2005-06-24,8.9,9,8.8,8.9,4766
2005-06-27,8.8,8.9,8.7,8.9,1169
2005-06-28,8.7,8.7,8.6,8.7,2097
2005-06-29,8.6,8.6,8.5,8.6,3069
2005-06-30,8.6,8.6,8.5,8.5,2107
2005-07-01,8.5,8.6,8.5,8.5,1402
2005-07-04,8.6,8.6,8.3,8.4,4495
2005-07-05,8.4,8.5,8.3,8.4,2146
2005-07-06,8.4,8.5,8.3,8.5,4655
2005-07-07,8.5,8.5,8.3,8.3,4976
2005-07-08,8.4,8.4,8.3,8.4,4929
2005-07-11,8.5,8.5,8.3,8.4,3390
2005-07-12,8.3,8.4,8.3,8.3,2636
2005-07-13,8.5,8.9,8.5,8.5,24327
2005-07-14,8.7,8.7,8.5,8.5,1323
2005-07-15,8.4,8.4,8.4,8.4,360
2005-07-18,8.4,8.7,8.4,8.7,8417
2005-07-19,8.7,10,8.7,9.7,66827
2005-07-20,9.5,9.7,9.2,9.2,15373
2005-07-21,9.3,9.3,8.9,9.1,5391
2005-07-22,9.1,9.3,9,9.3,4337
2005-07-25,9.4,9.6,9,9,5239
2005-07-26,9.3,9.3,8.9,9,1331
2005-07-27,9.3,9.3,8.7,9.1,2905
2005-07-28,9,9.3,8.8,9.1,5077
2005-07-29,9.1,9.7,9,9.4,13347
2005-08-01,9.7,9.7,9.4,9.5,5512
2005-08-02,9.5,9.5,9.2,9.4,4105
2005-08-03,9.4,9.4,9.2,9.4,3832
2005-08-04,9.1,9.4,9.1,9.4,460
2005-08-05,9.1,9.2,9.1,9.2,1901
2005-08-08,9.2,9.5,9.2,9.4,3515
2005-08-09,9.5,10.3,9.5,9.9,30354
2005-08-10,10.1,10.1,9.7,9.8,5488
2005-08-11,9.8,9.8,9.5,9.5,4425
2005-08-12,9.6,10.2,9.5,10.1,13015
2005-08-16,10.1,10.1,9.9,9.9,5798
2005-08-17,10.4,10.5,10,10.1,5121
2005-08-18,10.1,10.3,10,10,2259
2005-08-19,10,10.3,9.8,10.2,2682
2005-08-22,10.2,10.2,9.2,9.8,8287
2005-08-23,9.9,9.9,9.8,9.9,2300
2005-08-24,9.9,9.9,9.2,9.4,9267
2005-08-25,9.4,9.7,9.3,9.3,1684
2005-08-26,9.3,9.6,9.3,9.6,3745
2005-08-29,9.3,10,9.3,10,7392
2005-08-30,10,10,9.6,9.7,1406
2005-08-31,9.8,9.9,9.6,9.6,4770
2005-09-01,9.8,9.8,9.5,9.5,309
2005-09-02,9.6,9.7,9.3,9.6,4617
2005-09-05,9.6,9.6,9.3,9.4,1365
2005-09-06,9.3,9.5,9.3,9.5,1253
2005-09-07,9.4,9.5,9.3,9.5,857
2005-09-08,9.5,9.5,9.3,9.3,1494
2005-09-09,9.5,9.5,9.2,9.4,4264
2005-09-12,9.3,9.3,9,9,2543
2005-09-13,8.9,9.1,8.7,9,3645
2005-09-14,9,9,8.9,8.9,1243
2005-09-15,8.9,9,8.9,8.9,1268
