Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,9.0661,9.1183,8.1299,8.9691,2891
2005-01-04,8.7128,9.0149,8.7128,9.0149,564
2005-01-05,8.9197,9.0149,8.765,9.0149,1023
2005-01-06,8.8666,8.8666,8.8666,8.8666,444
2005-01-07,8.7394,8.8153,8.7394,8.8153,1570
2005-01-10,8.841,8.9197,8.7394,8.7394,1212
2005-01-11,8.7128,8.8666,8.7128,8.8666,268
2005-01-12,8.8666,8.9691,8.8153,8.8153,5290
2005-01-13,8.8666,8.8666,8.7394,8.7394,209
2005-01-14,9.0149,9.3224,8.7394,8.9197,2843
2005-01-19,9.1183,9.1183,8.7394,8.841,8773
2005-01-20,9.0661,9.0661,8.5596,8.6619,4712
2005-01-21,8.6619,8.9691,8.6117,8.8666,246
2005-01-24,8.6619,8.8666,8.6619,8.6619,327
2005-01-25,8.6619,8.8666,8.6619,8.8153,922
2005-01-26,9.0149,9.0149,8.7128,8.8153,913
2005-01-27,8.7128,8.7897,8.7128,8.7897,530
2005-01-28,8.9691,8.9691,8.9691,8.9691,5
2005-01-31,8.7897,8.841,8.6117,8.6117,1929
2005-02-01,8.841,8.841,8.6117,8.841,434
2005-02-02,8.9691,9.0149,8.8931,9.0149,529
2005-02-03,9.0149,9.1183,8.9197,9.0149,16016
2005-02-04,9.0149,9.0149,9.0149,9.0149,937
2005-02-07,9.0149,9.0149,9.0149,9.0149,1796
2005-02-08,9.1183,9.2721,8.6619,8.6619,2544
2005-02-09,9.2721,9.2721,8.5852,8.6619,2588
2005-02-10,8.6117,8.6619,8.6117,8.6117,5224
2005-02-11,8.6117,8.8153,8.5341,8.6117,4311
2005-02-14,8.5341,8.8153,8.5094,8.8153,1609
2005-02-15,8.8153,8.8153,8.5341,8.6117,1545
2005-02-16,8.7394,8.7394,8.5852,8.5852,1815
2005-02-17,8.488,8.488,8.3857,8.4377,4864
2005-02-18,8.1299,8.5852,8.0286,8.1043,10311
2005-02-21,8.1043,8.1043,7.6485,8.0286,6707
2005-02-22,7.8025,8.0069,7.6747,8.0069,3887
2005-02-23,7.8534,8.3089,7.8534,8.3089,4249
2005-02-24,8.3089,8.3089,8.1043,8.3089,1835
2005-02-25,8.2075,8.4377,7.8783,8.1555,5100
2005-02-28,8.1555,8.2322,8.0069,8.1299,1672
2005-03-01,8.1299,8.1299,8.1299,8.1299,1627
2005-03-02,8.1555,8.1555,8.1555,8.1555,96
2005-03-03,8.1043,8.1299,7.8534,8.1043,922
2005-03-04,7.956,8.0537,7.956,8.0537,259
2005-03-07,7.7765,7.956,7.7765,7.8534,1696
2005-03-08,7.7265,7.7265,7.0646,7.0646,4170
2005-03-09,7.5972,7.6485,7.5005,7.6485,1358
2005-03-10,7.5972,7.8025,7.5259,7.8025,2395
2005-03-11,7.5005,7.7765,7.5005,7.7765,1760
2005-03-14,7.8534,7.8534,7.8534,7.8534,5
2005-03-15,7.905,7.905,7.4752,7.8534,115
2005-03-16,7.6998,7.6998,7.4492,7.6998,458
2005-03-17,7.6747,7.6747,7.3725,7.6747,1440
2005-03-18,7.6485,7.6485,7.1671,7.6485,177
2005-03-21,7.5718,7.5718,7.5718,7.5718,42
2005-03-22,7.2695,7.5466,7.1671,7.5466,664
2005-03-23,7.5005,7.5972,7.5005,7.5972,188
2005-03-24,7.5972,7.6485,7.5972,7.6485,199
2005-03-29,7.3977,7.5005,7.3977,7.5005,484
2005-03-30,7.5972,7.5972,7.1671,7.5466,415
2005-03-31,7.5972,7.5972,7.1926,7.5005,2050
2005-04-01,7.5466,7.5972,7.2949,7.5005,1708
2005-04-04,7.2695,7.3463,7.2695,7.3463,654
2005-04-05,7.2695,7.2695,6.5835,6.6862,34576
2005-04-06,6.6353,6.6606,6.3074,6.3074,28289
2005-04-07,6.4099,6.4354,6.1793,6.1793,31312
2005-04-11,6.1793,6.1793,5.8518,6.082,8041
2005-04-12,6.082,6.082,5.9286,6.0308,4096
2005-04-13,5.9797,5.9797,5.775,5.775,6045
2005-04-14,5.8772,5.8772,5.6981,5.6981,2515
2005-04-15,5.6214,5.6214,5.3961,5.6214,6858
2005-04-18,5.4473,5.4728,5.217,5.3706,10017
2005-04-19,5.3706,5.4217,5.2424,5.3706,6700
2005-04-20,5.4217,5.4217,5.3961,5.3961,404
2005-04-21,5.4217,5.4217,5.3706,5.4217,826
2005-04-22,5.6981,5.8518,5.4217,5.6724,5123
2005-04-25,5.6981,5.8261,5.6214,5.8261,894
2005-04-26,5.8261,5.8261,5.4217,5.4217,5282
2005-04-27,5.5752,5.6724,5.1401,5.2681,5273
2005-04-28,5.0683,5.5241,5.0173,5.2424,7497
2005-04-29,5.2424,5.2424,5.2424,5.2424,5
2005-05-02,5.2424,5.3706,5.0173,5.2424,3930
2005-05-04,5.0173,5.217,5.0173,5.0683,2043
2005-05-05,5.0683,5.1401,4.9404,5.0683,7058
2005-05-06,4.8893,4.8893,4.5615,4.7611,22179
2005-05-09,4.5615,4.9148,4.5104,4.7611,1243
2005-05-10,4.7611,4.7611,4.4591,4.6332,4144
2005-05-11,4.5615,4.6126,4.4336,4.6126,1194
2005-05-12,4.6126,4.8637,4.4847,4.8124,15342
2005-05-13,4.7356,4.8893,4.6588,4.8637,595
