Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,334.33,335.11,332.01,332.79,4207651
2005-01-04,332.2,334.52,332.2,333.75,1714325
2005-01-05,337.24,339.74,336.46,338.01,2070909
2005-01-06,336.46,338.78,336.46,338.78,67739
2005-01-07,337.63,339.95,334.33,336.08,47242
2005-01-10,333.36,335.69,333.36,334.13,2949150
2005-01-11,333.57,333.57,327.36,328.14,5216131
2005-01-12,327.96,328.92,323.31,324.86,8264159
2005-01-13,326.6,329.11,325.82,329.11,7922098
2005-01-14,326.6,328.92,323.5,324.27,2437194
2005-01-17,326.22,328.53,324.66,327.76,1329225
2005-01-18,328.34,328.34,325.06,326.78,4817368
2005-01-19,328.73,331.04,327.18,329.49,1694809
2005-01-20,328.92,336.85,328.14,336.08,4957061
2005-01-21,333.57,336.66,332.79,334.33,1162197
2005-01-24,332.4,333.17,330.85,332.4,1108154
2005-01-25,332.6,334.92,331.62,334.13,5225699
2005-01-26,334.72,335.49,332.2,332.98,3105473
2005-01-27,332.98,333.75,329.89,330.66,3170354
2005-01-28,331.62,333.17,330.85,331.62,577562
2005-01-31,330.47,332.01,329.69,330.47,3966226
2005-02-01,331.62,336.27,330.85,336.27,3204653
2005-02-02,336.66,339.74,335.88,338.2,1325666
2005-02-03,332.98,334.52,331.44,333.75,698843
2005-02-04,333.75,336.08,333.75,335.3,1877848
2005-02-07,333.75,335.3,332.98,333.75,2490543
2005-02-08,334.52,336.08,334.52,335.3,1971274
2005-02-09,339.36,340.91,335.49,339.36,1035568
2005-02-10,338.78,341.87,338.78,338.78,1963610
2005-02-11,342.46,344.19,341.68,343.24,1069979
2005-02-14,342.65,342.65,340.33,341.87,1082940
2005-02-15,339.95,346.12,338.4,345.36,1778916
2005-02-16,345.16,345.16,339.95,339.95,2145285
2005-02-17,342.46,348.64,342.46,347.87,2279691
2005-02-18,347.49,347.49,345.94,346.7,1710126
2005-02-21,345.94,348.26,342.84,344.38,861548
2005-02-22,342.26,343.81,339.16,341.49,1079215
2005-02-23,337.63,338.4,333.75,335.3,1388937
2005-02-24,334.72,337.81,331.62,334.72,4297883
2005-02-25,333.57,335.11,331.44,335.11,725382
2005-02-28,332.79,335.11,332.01,332.79,1457125
2005-03-01,331.24,332.79,330.47,331.24,890136
2005-03-02,332.79,332.79,329.11,332.01,1435366
2005-03-03,332.2,333.75,330.85,331.44,1164803
2005-03-04,331.24,332.6,328.92,331.82,408196
2005-03-07,329.69,332.01,326.6,331.24,872233
2005-03-08,332.2,337.42,331.44,335.3,2633576
2005-03-09,336.66,338.2,335.11,335.88,3495052
2005-03-10,343.42,344.19,338.78,340.33,3838397
2005-03-11,341.1,342.65,337.42,338.2,1275051
2005-03-14,339.36,344,339.36,343.24,2363293
2005-03-15,349.8,358.32,349.8,356.75,3897217
2005-03-16,364.3,365.08,357.15,357.93,1119689
2005-03-17,363.72,364.5,358.89,363.72,906467
2005-03-18,358.12,358.89,353.47,354.26,1501695
2005-03-21,350.77,355.61,350.77,354.05,1939957
2005-03-22,355.22,361.6,355.22,359.29,1046605
2005-03-23,358.89,365.27,358.89,364.5,1146021
2005-03-24,364.89,367.21,364.11,364.89,71103
2005-03-29,368.95,369.72,366.43,369.72,256350
2005-03-30,364.89,364.89,359.29,362.38,709880
2005-03-31,360.83,361.6,357.72,357.72,1738518
2005-04-01,359.29,360.05,354.45,356.18,963747
2005-04-04,359.08,359.08,355.79,358.12,598133
2005-04-05,360.05,362.38,359.29,360.05,855768
2005-04-06,359.85,362.96,358.12,362.96,1788929
2005-04-07,363.53,364.3,361.02,362.57,1035600
2005-04-08,364.3,365.85,363.53,364.3,1284182
2005-04-11,363.72,366.05,362.76,364.5,1330757
2005-04-12,364.3,365.27,360.44,361.21,1371683
2005-04-13,361.6,363.93,361.6,363.14,556295
2005-04-14,365.47,367.79,364.69,364.69,1254674
2005-04-15,367.6,367.6,359.46,359.46,1350647
2005-04-18,356.18,362.76,352.9,361.02,701967
2005-04-19,366.05,366.05,363.72,364.5,1786313
2005-04-20,363.14,363.93,355.79,355.79,1855993
2005-04-21,354.26,357.54,354.26,357.54,1714966
2005-04-22,361.79,361.79,356.96,357.72,41775
2005-04-25,359.46,360.25,356.18,359.46,68642
2005-04-26,358.89,358.89,354.83,355.79,1010144
2005-04-27,358.89,363.14,357.34,361.4,1533302
2005-04-28,362.96,363.93,356.38,358.12,626411
2005-04-29,357.93,361.21,357.15,357.93,51996
2005-05-02,359.29,362.57,357.54,360.83,163119
2005-05-03,360.83,364.11,359.29,364.11,443197
2005-05-04,361.02,363.53,358.7,362.76,1194239
2005-05-05,359.67,361.99,357.15,358.89,2648573
2005-05-06,357.72,358.7,355.41,357.72,843096
2005-05-09,355.99,355.99,352.9,353.67,45445
2005-05-10,358.7,359.67,353.09,354.83,6850845
2005-05-11,356.96,361.02,355.22,360.25,5563494
2005-05-12,358.7,362.76,357.93,360.25,5528914
2005-05-13,360.25,364.3,358.7,360.25,4218813
2005-05-16,362.76,363.53,361.02,362.76,9786257
2005-05-17,363.72,363.72,353.86,355.61,7196323
2005-05-18,356.18,365.85,355.41,365.08,6533453
2005-05-19,363.53,365.08,359.46,361.21,3357139
2005-05-20,359.67,362.18,356.58,358.89,1688977
2005-05-23,349.8,349.8,346.51,349.03,1574976
2005-05-24,348.06,351.35,344.78,350.59,5544629
2005-05-25,349.61,350.38,341.49,343.03,7958840
2005-05-26,343.03,343.81,332.6,337.42,7907350
2005-05-27,338.01,338.01,329.89,335.69,6277596
2005-05-30,333.57,335.88,332.79,335.88,2324922
2005-05-31,333.17,337.81,330.66,335.49,4457540
2005-06-01,337.24,339.56,332.4,336.27,2803530
2005-06-02,333.95,333.95,329.11,329.11,2197854
2005-06-03,329.11,329.89,321.95,322.73,3998292
2005-06-06,321.19,326.02,320.41,321.95,3254774
2005-06-07,320.6,326.78,318.28,326.02,5025275
2005-06-08,326.22,330.85,324.66,326.98,4757720
2005-06-09,324.86,325.64,323.31,324.86,3161229
2005-06-10,324.66,324.66,317.51,318.28,3761721
2005-06-13,322.14,333.17,317.51,329.31,18708289
2005-06-14,333.17,333.95,327.76,331.62,9033215
2005-06-15,329.89,346.12,329.89,345.36,21053824
2005-06-16,347.87,354.26,347.87,350.2,19196272
2005-06-17,353.47,353.47,345.55,347.3,12280804
2005-06-20,349.61,352.71,346.33,352.71,4443623
2005-06-21,351.73,353.29,350.2,352.5,5026445
2005-06-22,352.9,354.45,349.03,350.59,3649316
