Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.0072,8.2896,7.8309,8.1128,2914
2005-01-04,8.2188,8.3251,7.9016,8.2896,3760
2005-01-05,8.2896,9.1013,8.2896,8.4306,9250
2005-01-06,8.5006,10.159,8.5006,10.018,20542
2005-01-07,9.876,11.922,9.876,11.641,34035
2005-01-10,11.429,13.792,11.429,12.276,64317
2005-01-11,12.699,13.333,12.276,12.629,29875
2005-01-12,12.417,12.417,11.5,11.853,14746
2005-01-13,11.782,11.922,11.287,11.605,10644
2005-01-14,11.535,11.605,11.218,11.5,5250
2005-01-17,11.605,11.782,11.218,11.57,5972
2005-01-18,11.287,11.712,11.218,11.641,5157
2005-01-19,11.395,13.264,11.358,13.264,13187
2005-01-20,13.122,13.122,12.557,12.982,4861
2005-01-21,12.982,12.982,11.922,12.805,10643
2005-01-24,12.805,12.805,11.993,12.487,4979
2005-01-25,12.699,12.699,12.346,12.699,1780
2005-01-26,12.699,12.699,12.17,12.663,2212
2005-01-27,12.663,15.521,12.381,15.38,45355
2005-01-28,15.874,19.049,15.874,17.214,47200
2005-01-31,18.06,18.907,17.214,17.92,28504
2005-02-01,18.342,18.907,17.92,18.202,16825
2005-02-02,18.202,18.624,17.426,18.342,8672
2005-02-03,18.342,19.049,17.708,18.907,14676
2005-02-04,20.177,22.083,20.177,21.164,18935
2005-02-07,23.987,26.456,23.634,26.456,21767
2005-02-08,31.747,36.191,28.149,28.149,48694
2005-02-09,28.643,31.606,28.22,31.606,39563
2005-02-10,34.569,34.922,28.926,30.617,27295
2005-02-11,30.617,31.747,28.22,28.361,9966
2005-02-14,28.22,28.22,22.152,25.68,49806
2005-02-15,24.48,26.245,23.704,24.832,11632
2005-02-16,26.033,30.971,25.961,30.266,32696
2005-02-17,31.042,32.805,29.771,29.771,43236
2005-02-18,29.63,29.63,26.809,27.797,16310
2005-02-21,27.514,28.854,26.738,27.585,8563
2005-02-22,28.149,28.149,26.88,27.303,6051
2005-02-23,27.303,27.303,25.961,26.456,7334
2005-02-24,26.596,27.09,26.033,26.596,3810
2005-02-25,27.303,28.643,26.596,27.303,21384
2005-02-28,27.373,27.514,26.103,26.809,9198
2005-03-01,26.668,26.738,26.174,26.738,1661
2005-03-02,26.738,26.738,25.116,25.609,4838
2005-03-03,25.327,25.397,23.846,24.41,8048
2005-03-04,24.129,25.961,24.129,24.269,6839
2005-03-07,24.129,24.551,22.858,23.776,6246
2005-03-08,23.704,23.704,22.858,22.858,7204
2005-03-09,22.576,22.787,20.671,21.164,17443
2005-03-10,21.659,25.397,21.517,23.776,40994
2005-03-11,24.198,26.809,24.198,25.257,34330
2005-03-14,26.103,26.245,23.493,23.776,14065
2005-03-15,22.928,24.198,22.716,23.704,4564
2005-03-16,23.352,23.704,21.729,22.083,12921
2005-03-17,22.505,24.198,21.517,22.293,16571
2005-03-18,22.505,23.776,22.505,23.352,10648
2005-03-21,23.987,23.987,22.787,22.928,8100
2005-03-22,22.928,23.634,22.928,23.493,1488
2005-03-23,22.999,23.422,22.787,23.28,1186
2005-03-24,22.787,23.352,22.787,22.787,1419
2005-03-29,23.493,23.493,22.576,22.647,4074
2005-03-30,23.212,23.634,22.576,22.928,4999
2005-03-31,22.999,23.493,22.858,22.858,5376
2005-04-01,22.999,23.563,22.576,22.858,4414
2005-04-04,22.858,23.28,22.716,22.787,1841
2005-04-05,23.212,23.28,22.716,22.787,2944
2005-04-06,23.069,23.28,23.069,23.14,1225
2005-04-07,22.928,23.28,22.928,22.999,931
2005-04-11,22.999,22.999,22.716,22.716,2186
2005-04-12,22.716,22.787,22.716,22.787,607
2005-04-13,22.716,22.787,22.647,22.716,1191
2005-04-14,22.647,22.647,21.588,22.224,5311
2005-04-15,22.505,22.505,21.87,22.083,658
2005-04-18,21.164,21.517,20.671,21.164,4283
2005-04-19,21.517,21.517,19.824,21.095,1021
2005-04-20,21.023,21.87,20.459,21.164,3818
2005-04-22,20.459,20.812,19.824,20.671,1366
2005-04-25,20.671,20.812,19.543,20.319,1304
2005-04-26,20.388,20.388,19.331,19.895,1993
2005-04-27,19.543,19.754,19.331,19.331,819
2005-04-28,18.484,19.754,17.849,17.849,3320
2005-04-29,17.779,17.849,16.932,17.779,3326
2005-05-02,19.049,21.448,18.695,21.095,10877
2005-05-04,21.941,22.716,19.824,19.824,8529
2005-05-05,19.471,20.388,19.331,19.401,1382
2005-05-06,19.049,20.036,19.049,19.259,1110
2005-05-09,19.401,19.754,19.259,19.683,525
2005-05-10,19.612,19.612,18.766,19.612,1195
2005-05-11,18.695,19.049,18.695,19.049,327
2005-05-12,18.695,19.049,18.342,18.837,2224
2005-05-16,18.837,18.978,17.779,18.907,650
2005-05-17,18.837,18.907,17.991,17.991,1829
2005-05-18,17.496,18.555,17.496,18.342,1822
2005-05-19,20.319,22.928,20.177,22.576,33434
2005-05-20,22.576,22.647,21.306,22.505,16280
2005-05-23,23.28,23.28,22.152,23.212,5870
2005-05-24,22.716,24.551,22.364,24.057,13798
2005-05-25,24.551,24.551,23.28,23.28,5403
2005-05-27,23.28,23.987,22.716,23.987,3190
2005-05-30,23.704,23.916,23.14,23.916,2294
2005-05-31,23.28,23.634,22.999,23.14,964
2005-06-01,22.858,23.634,22.858,23.634,605
2005-06-03,22.999,25.116,22.858,24.269,6470
2005-06-06,25.044,25.044,23.422,24.622,2939
2005-06-07,24.339,24.339,23.634,23.634,2588
2005-06-08,23.634,23.987,22.928,23.704,2778
2005-06-09,23.634,23.634,23.634,23.634,1
2005-06-10,23.704,24.269,23.352,23.776,3431
2005-06-13,23.634,23.634,22.716,23.069,2997
2005-06-14,22.999,22.999,21.448,21.448,3438
2005-06-15,21.448,22.716,21.448,21.87,1320
2005-06-16,21.87,22.999,21.87,21.87,2303
2005-06-17,21.87,22.434,21.306,21.588,856
2005-06-20,21.306,22.364,21.306,22.152,726
2005-06-21,22.152,22.647,21.659,22.152,517
2005-06-22,22.224,22.224,21.517,22.224,1232
2005-06-23,22.224,22.224,21.588,22.012,349
2005-06-24,21.87,21.87,21.235,21.235,2059
2005-06-27,21.87,22.152,21.306,21.729,861
2005-06-28,21.799,22.012,21.164,21.659,985
2005-06-29,21.235,21.659,21.164,21.448,1152
2005-06-30,21.235,21.799,21.164,21.799,620
2005-07-01,21.799,22.012,21.729,22.012,843
2005-07-04,22.576,22.576,22.576,22.576,410
2005-07-05,21.87,22.224,21.729,22.083,484
2005-07-06,21.941,22.083,21.659,22.083,379
2005-07-07,21.941,21.941,21.376,21.729,309
2005-07-08,21.87,22.152,21.87,22.152,292
2005-07-11,22.224,22.224,21.729,22.012,1008
2005-07-12,21.729,22.434,21.164,22.224,1901
2005-07-13,21.729,21.87,21.448,21.799,715
2005-07-14,21.588,21.87,21.448,21.87,619
2005-07-15,21.023,21.87,21.023,21.448,2025
