Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-29,54.345,54.345,48.772,51.582,726915
2007-01-30,51.351,51.49,49.739,49.832,181209
2007-01-31,50.016,51.029,49.97,50.66,76856
2007-02-01,51.121,51.121,50.523,50.569,43149
2007-02-02,50.845,50.845,49.602,49.694,36681
2007-02-05,50.66,50.66,47.252,47.437,93043
2007-02-06,47.345,47.897,46.561,47.252,116635
2007-02-07,47.298,47.391,47.068,47.068,71839
2007-02-08,47.252,47.252,45.595,45.871,109729
2007-02-09,45.788,46.976,45.788,46.377,18898
2007-02-12,46.424,47.206,46.424,46.607,30233
2007-02-13,46.976,46.976,46.101,46.976,8341
2007-02-14,47.161,47.252,46.792,47.252,25973
2007-02-15,47.851,47.851,47.022,47.483,11447
2007-02-16,47.621,47.621,46.976,47.298,35867
2007-02-19,47.252,47.252,46.147,46.93,43238
2007-02-20,46.976,46.976,46.101,46.607,165247
2007-02-21,46.607,46.607,46.055,46.377,109066
2007-02-22,46.424,46.424,46.101,46.239,20887
2007-02-23,46.147,46.147,45.595,45.779,17960
2007-02-26,44.406,46.47,44.406,46.055,26703
2007-02-27,46.055,46.516,44.628,45.042,111169
2007-02-28,41.45,44.121,41.45,43.752,18816
2007-03-01,43.752,44.941,42.371,42.472,14327
2007-03-02,42.426,43.107,42.095,42.831,8285
2007-03-05,42.085,42.085,41.45,41.68,14570
2007-03-06,41.652,42.555,41.265,42.371,23178
2007-03-07,42.462,43.181,42.371,42.923,4812
2007-03-08,43.31,43.752,43.31,43.725,25844
2007-03-09,44.213,44.213,43.292,43.476,6993
2007-03-12,43.734,43.752,43.016,43.016,54886
2007-03-13,42.831,42.831,42.186,42.371,21166
2007-03-14,41.91,41.91,41.081,41.219,54254
2007-03-15,41.238,41.809,41.219,41.67,5528
2007-03-16,41.541,42.279,41.293,41.91,37114
2007-03-19,41.956,42.555,41.404,41.541,25620
2007-03-20,41.726,41.91,41.45,41.541,32676
2007-03-21,41.541,42.279,41.541,41.91,40583
2007-03-22,42.361,42.361,41.634,41.91,16692
2007-03-23,42.186,42.186,41.45,41.901,6640
2007-03-26,43.485,45.41,41.91,44.673,160596
2007-03-27,45.595,48.127,45.595,45.595,97567
2007-03-28,46.47,46.47,43.973,43.973,57953
2007-03-29,44.213,45.134,43.752,44.305,14033
2007-03-30,45.033,45.033,43.522,44.655,85175
2007-04-02,44.848,44.848,42.831,43.393,27993
2007-04-03,43.467,43.752,43.024,43.661,12557
2007-04-04,44.185,44.185,43.2,43.752,23804
2007-04-05,43.983,43.983,43.2,43.31,5631
2007-04-10,43.365,43.365,42.482,42.647,65495
2007-04-11,42.831,42.831,42.26,42.371,25877
2007-04-12,42.371,42.462,41.541,41.984,11335
2007-04-13,41.615,42.325,41.339,41.947,16281
2007-04-16,41.901,42.002,41.45,41.56,14010
2007-04-17,42.712,42.923,41.956,42.831,79688
2007-04-18,43.274,47.897,42.371,44.664,318976
2007-04-19,44.664,47.437,44.121,46.055,64440
2007-04-20,46.93,47.667,46.055,46.47,65183
2007-04-23,46.93,47.252,44.397,44.95,39079
2007-04-24,45.595,45.595,44.305,44.453,12431
2007-04-25,44.453,44.544,43.752,44.544,13730
2007-04-26,45.088,45.134,43.762,43.762,8013
2007-04-27,44.213,44.213,43.384,43.697,9380
2007-04-30,43.697,44.121,43.476,43.522,6200
2007-05-02,43.522,43.522,42.877,43.016,5699
2007-05-04,42.647,42.794,41.358,42.095,49821
2007-05-07,42.095,42.831,42.095,42.371,19334
2007-05-08,42.279,42.371,41.809,41.827,8471
2007-05-09,41.634,41.708,40.62,41.164,16663
2007-05-10,40.584,40.584,39.985,40.068,19052
2007-05-11,39.607,39.607,38.502,39.368,27249
2007-05-14,39.395,40.989,39.395,40.529,13065
2007-05-15,40.62,40.62,39.607,39.792,14008
2007-05-16,39.792,40.335,38.77,38.824,13384
2007-05-17,39.377,39.699,38.824,39.258,4478
2007-05-18,39.147,39.423,38.824,39.147,7668
2007-05-21,38.871,40.519,38.502,40.519,11067
2007-05-22,40.62,40.62,38.686,39.054,12058
2007-05-23,39.331,40.078,38.723,38.871,9224
2007-05-24,38.714,38.917,38.594,38.686,11290
2007-05-25,38.686,38.686,37.867,38.585,14815
2007-05-28,39.147,39.147,38.613,38.972,6343
2007-05-29,39.147,39.147,38.41,38.686,13113
2007-05-30,38.686,40.805,38.419,39.727,43110
2007-05-31,40.851,40.878,40.068,40.123,30496
2007-06-01,40.519,40.519,39.607,39.718,10286
2007-06-04,39.607,40.16,38.705,39.782,16839
2007-06-05,39.792,39.792,38.824,39.054,6733
2007-06-06,38.824,39.239,38.41,39.137,106841
2007-06-08,38.677,38.677,38.133,38.594,12007
2007-06-11,39.137,39.745,37.489,39.745,24327
2007-06-12,39.423,39.423,38.318,38.677,7703
2007-06-13,38.594,38.732,37.95,38.53,27454
2007-06-14,38.778,38.963,37.95,38.014,18158
2007-06-15,38.216,38.585,37.673,37.747,33384
2007-06-18,37.305,37.95,37.305,37.489,23069
2007-06-19,37.821,38.208,37.259,37.581,10156
2007-06-20,37.599,37.599,36.982,37.12,10769
2007-06-21,37.12,37.305,36.384,36.798,9037
2007-06-22,36.66,36.706,36.015,36.264,21851
2007-06-25,36.19,37.093,35.205,37.047,46499
2007-06-26,37.305,37.765,36.384,37.36,26403
2007-06-27,36.844,37.397,36.66,36.973,4645
2007-06-28,36.844,36.844,36.116,36.384,13245
2007-06-29,36.733,36.844,36.033,36.697,9857
2007-07-02,36.384,37.305,36.384,36.752,10924
2007-07-03,37.029,37.075,35.932,36.061,11282
2007-07-04,36.108,38.363,36.015,37.664,14240
2007-07-05,38.226,38.272,36.844,37.489,57762
2007-07-06,37.535,38.189,37.434,37.434,12676
2007-07-09,37.581,38.106,37.166,37.305,70466
2007-07-10,37.719,37.719,36.752,36.752,44042
2007-07-11,36.669,37.075,36.66,36.761,11565
2007-07-12,36.844,37.305,36.392,36.392,2996
2007-07-13,36.42,37.268,36.384,37.158,7707
2007-07-16,37.204,37.204,36.108,36.366,5039
2007-07-17,36.135,36.66,36.061,36.384,4868
2007-07-18,35.923,36.733,35.49,36.374,40402
2007-07-19,36.43,36.604,35.739,36.291,4702
2007-07-20,36.291,36.291,35.923,36.291,1933
2007-07-23,35.785,36.291,35.739,36.291,6167
2007-07-24,36.015,36.199,35.739,36.098,4105
2007-07-25,36.061,36.153,35.739,35.923,8259
2007-07-26,36.153,36.153,34.357,34.375,7835
2007-07-27,33.62,35.463,33.178,35.463,9205
2007-07-30,35.094,35.094,33.832,33.988,3959
2007-07-31,34.449,35.923,34.081,35.923,18529
2007-08-01,34.449,35.278,34.449,34.542,9498
2007-08-02,35.094,35.094,34.458,34.909,2357
2007-08-03,35.186,35.186,34.081,34.542,3207
2007-08-06,34.09,34.173,33.279,33.952,6603
2007-08-07,33.952,34.421,33.952,34.081,3221
2007-08-08,34.265,34.542,33.897,34.081,5271
2007-08-09,34.081,34.081,33.344,33.62,6286
2007-08-10,33.16,33.16,31.824,32.239,15264
2007-08-13,31.88,32.791,31.787,32.423,6765
2007-08-14,32.239,32.469,31.778,32.146,1747
2007-08-16,31.318,31.318,26.905,29.015,22306
2007-08-17,28.277,29.706,27.725,29.374,10222
2007-08-20,29.936,29.936,29.107,29.198,3295
2007-08-21,29.198,29.476,28.14,28.646,6968
2007-08-22,29.448,31.179,29.42,30.397,8182
2007-08-23,30.949,31.723,30.949,31.318,8752
2007-08-24,30.949,32.229,30.387,31.87,14285
2007-08-27,32.229,33.16,32.229,32.791,4873
2007-08-28,32.763,34.542,32.239,34.542,15012
2007-08-29,32.285,33.805,32.285,33.666,7645
2007-08-30,33.722,34.449,33.436,34.081,7057
2007-08-31,34.542,34.542,32.543,33.805,19121
2007-09-03,33.988,34.081,33.16,33.62,8938
2007-09-04,33.62,33.62,33.16,33.611,1098
2007-09-05,33.252,33.252,31.713,31.778,11856
2007-09-06,31.778,31.806,31.318,31.732,1678
2007-09-07,31.326,31.769,30.534,30.949,3452
2007-09-10,30.534,30.534,29.024,29.65,6164
2007-09-11,29.567,31.133,29.567,30.268,6532
2007-09-12,29.936,30.405,29.936,30.397,4695
2007-09-13,30.765,30.765,29.936,30.627,2126
2007-09-14,30.701,30.857,29.632,30.397,1604
2007-09-17,30.857,30.857,29.945,30.765,1299
2007-09-18,30.488,32.699,29.476,32.699,8098
2007-09-19,32.957,33.132,31.778,32.146,4110
2007-09-20,31.778,32.239,31.502,32.239,7370
2007-09-21,31.824,31.824,31.326,31.686,1318
2007-09-24,31.548,31.686,30.765,31.318,6631
2007-09-25,30.857,31.538,30.682,30.866,4344
2007-09-26,30.857,31.318,30.848,31.308,4175
2007-09-27,31.502,32.138,31.272,31.769,7941
2007-09-28,31.382,31.925,30.58,30.599,5282
2007-10-01,30.838,31.318,30.636,30.636,27992
2007-10-02,31.133,31.778,31.042,31.658,2342
2007-10-03,31.778,31.778,30.765,30.949,15143
2007-10-04,31.133,31.455,30.949,31.318,5429
2007-10-05,31.769,32.054,31.409,31.87,5734
2007-10-08,32.1,32.699,32.1,32.515,19864
2007-10-09,32.791,33.998,32.303,33.436,8318
2007-10-10,33.851,34.081,33.16,33.298,7748
2007-10-11,33.62,33.887,32.699,32.976,6365
2007-10-12,32.699,32.976,32.331,32.976,3958
2007-10-15,33.178,33.851,33.067,33.067,2592
2007-10-16,33.344,33.62,32.441,33.252,2483
2007-10-17,32.708,33.426,32.699,32.976,3099
2007-10-18,33.418,33.426,32.146,32.239,2131
2007-10-19,32.11,32.239,32.1,32.229,1858
2007-10-22,31.318,31.511,31.042,31.318,4339
2007-10-23,31.409,32.009,31.318,31.354,1835
2007-10-24,31.594,31.778,31.354,31.732,1637
2007-10-25,32.118,32.118,30.397,30.857,5387
2007-10-26,30.857,32.118,30.397,30.405,7188
2007-10-29,30.58,30.857,29.945,30.857,5150
2007-10-30,30.405,30.958,30.405,30.958,1726
2007-10-31,30.405,30.488,30.397,30.488,3427
2007-11-02,29.761,30.295,29.567,30.24,1693
2007-11-05,29.476,29.752,28.555,29.263,7661
2007-11-06,28.6,29.567,28.555,29.54,9392
2007-11-07,29.291,29.291,27.181,28.094,20319
2007-11-08,26.712,27.725,26.712,27.725,9805
2007-11-09,27.91,28.001,27.219,27.817,5700
2007-11-12,27.173,27.633,27.034,27.633,6198
2007-11-13,27.624,28.001,26.435,27.191,9172
2007-11-14,27.633,27.633,26.712,27.338,3216
2007-11-15,27.338,27.338,25.331,25.957,5206
2007-11-16,25.339,25.699,25.017,25.589,6631
2007-11-19,24.98,25.284,24.87,24.962,4438
2007-11-20,24.787,24.787,22.669,23.58,17222
