Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-10-19,31.049,31.049,29.372,29.546,962712
2005-10-20,29.777,30.181,28.795,29.199,315378
2005-10-21,29.199,29.199,28.737,29.083,153616
2005-10-24,28.91,29.488,28.795,28.968,197523
2005-10-25,28.91,30.067,28.91,30.067,127179
2005-10-26,30.298,30.413,29.604,30.298,156019
2005-10-27,29.777,30.067,29.488,30.067,32575
2005-10-28,29.72,29.777,29.546,29.662,55130
2005-10-31,29.488,29.893,29.488,29.72,9745
2005-11-02,29.777,29.951,29.488,29.72,19016
2005-11-03,29.777,29.777,29.257,29.315,61324
2005-11-04,29.257,29.257,28.101,28.332,77278
2005-11-07,28.332,28.332,26.828,27.753,105448
2005-11-08,27.464,27.985,27.464,27.753,66898
2005-11-09,27.985,28.737,27.985,28.737,97899
2005-11-10,28.91,29.025,28.564,28.91,104231
2005-11-14,28.91,29.604,28.91,29.604,38357
2005-11-15,29.488,29.893,29.372,29.893,55819
2005-11-16,29.604,30.355,29.546,30.298,84835
2005-11-17,30.355,31.223,30.298,30.935,78420
2005-11-18,30.991,31.281,30.702,31.223,65332
2005-11-21,31.223,31.223,30.645,30.877,29574
2005-11-22,30.991,31.395,30.759,31.281,122159
2005-11-23,30.818,31.281,30.818,31.165,79948
2005-11-24,30.818,31.395,30.818,31.281,83334
2005-11-25,30.935,31.339,30.935,31.339,52095
2005-11-28,31.223,31.395,31.107,31.339,41988
2005-11-29,31.281,32.553,31.223,32.379,117732
2005-11-30,32.263,32.668,31.974,32.668,37752
2005-12-01,32.379,32.9,32.263,32.322,18184
2005-12-02,32.379,32.495,32.205,32.379,39375
2005-12-05,32.322,32.379,31.859,32.379,45836
2005-12-06,31.917,32.379,31.859,32.379,48334
2005-12-07,32.091,32.379,31.917,32.379,81434
2005-12-08,32.379,32.379,31.917,32.149,13709
2005-12-09,32.091,32.091,31.743,31.917,53205
2005-12-12,32.263,32.263,31.513,31.801,23355
2005-12-13,31.57,31.57,31.281,31.454,17845
2005-12-14,31.223,31.513,31.223,31.513,28264
2005-12-15,31.513,31.513,31.165,31.513,33131
2005-12-16,31.339,31.57,31.281,31.513,15086
2005-12-19,31.513,31.513,31.223,31.223,22189
2005-12-20,31.223,31.454,31.165,31.395,29970
2005-12-21,31.281,31.627,31.281,31.627,21115
2005-12-22,31.395,31.801,31.281,31.513,34239
2005-12-23,31.627,31.627,31.339,31.627,16096
2005-12-27,31.395,31.454,31.339,31.454,40087
2005-12-28,31.339,31.513,31.339,31.513,15927
2005-12-29,31.395,31.513,31.395,31.513,28688
2005-12-30,31.339,31.57,31.281,31.57,20789
2006-01-02,31.395,31.395,30.759,31.223,22133
2006-01-03,31.165,31.281,30.991,31.223,92034
2006-01-04,31.223,31.339,31.165,31.281,65056
2006-01-05,31.223,31.339,31.165,31.281,48687
2006-01-06,31.165,31.454,31.165,31.454,59401
2006-01-09,31.627,31.686,31.223,31.339,17734
2006-01-10,31.223,31.339,31.165,31.339,22549
2006-01-11,31.223,31.57,31.223,31.513,36773
2006-01-12,31.454,32.091,31.454,32.091,57677
2006-01-13,32.091,32.091,31.686,32.032,24406
2006-01-16,32.263,32.322,32.091,32.149,18199
2006-01-17,32.091,32.091,31.801,31.974,16660
2006-01-18,31.223,33.94,31.223,33.594,290929
2006-01-19,34.287,35.79,34.287,35.501,424582
2006-01-20,35.79,39.722,35.79,39.085,522183
2006-01-23,37.756,38.451,37.005,37.872,295481
2006-01-24,37.583,37.872,37.293,37.293,157864
2006-01-25,37.293,38.392,37.293,38.276,520890
2006-01-26,38.276,38.276,37.293,37.583,43093
2006-01-27,37.293,37.583,37.293,37.352,27610
2006-01-30,37.062,37.698,37.005,37.641,25001
2006-01-31,37.293,37.583,37.12,37.583,49332
2006-02-01,37.12,37.525,37.12,37.525,18871
2006-02-02,37.525,37.525,36.715,37.352,22542
2006-02-03,37.352,37.352,36.948,37.005,121049
2006-02-06,37.005,38.162,36.832,37.583,51112
2006-02-07,37.641,37.698,37.062,37.698,46314
2006-02-08,37.641,37.698,37.005,37.698,35066
2006-02-09,37.525,38.739,37.12,38.625,79836
2006-02-10,37.929,38.566,37.929,38.451,49060
2006-02-13,38.508,38.739,38.334,38.508,35935
2006-02-14,38.451,41.283,38.392,40.822,158309
2006-02-15,40.822,40.937,39.664,39.896,67422
2006-02-16,39.838,39.896,39.029,39.318,64062
2006-02-17,39.318,39.433,39.029,39.318,41843
2006-02-20,39.318,39.433,39.029,39.318,90390
2006-02-21,39.318,39.318,38.162,38.796,18848
2006-02-22,38.796,39.029,38.276,38.971,21858
2006-02-23,39.26,39.26,38.566,38.855,3426
2006-02-24,38.855,38.971,38.451,38.971,22547
2006-02-27,39.202,39.896,38.739,39.896,57272
2006-02-28,39.896,39.896,39.085,39.144,36091
2006-03-01,39.144,39.144,38.451,38.451,63236
2006-03-02,38.739,40.011,38.739,39.664,53019
2006-03-03,39.318,39.838,39.085,39.318,36254
2006-03-06,39.318,39.607,38.681,38.796,10444
2006-03-07,38.971,38.971,36.774,38.162,18244
2006-03-08,38.162,38.276,37.352,37.468,31125
2006-03-09,37.12,38.046,37.12,38.046,25843
2006-03-10,38.162,38.334,37.988,38.334,29182
2006-03-13,37.756,38.334,37.756,38.334,9330
2006-03-14,38.162,38.162,37.929,37.988,22178
2006-03-15,37.583,38.103,37.583,37.929,3950
2006-03-16,38.392,39.202,37.756,38.913,34395
2006-03-17,38.971,39.896,38.971,39.375,31043
2006-03-20,39.838,39.838,39.029,39.318,74796
2006-03-21,39.318,39.318,38.392,38.625,4638
2006-03-22,38.22,38.625,38.046,38.046,4821
2006-03-23,37.988,38.508,37.988,38.276,9015
2006-03-24,38.276,38.451,37.929,38.046,13560
2006-03-27,38.046,39.318,38.046,39.26,15618
2006-03-28,39.664,39.954,38.855,39.144,23795
2006-03-29,39.202,39.202,38.508,39.144,10280
